Player_Name,Tournament,Team,Price,Status
pawan-kumar-,Pro Kabaddi Season 9,Tamil Thalaivas,226.00 L,SOLD
pawan-kumar-sehrawat?,Pro Kabaddi Season 8,Bengaluru Bulls,86.60 L,RETAINED
pawan-kumar-sehrawat?,Pro Kabaddi Season 7,Bengaluru Bulls,78.00 L,RETAINED
pawan-kumar-sehrawat?,Pro Kabaddi Season 6,Bengaluru Bulls,52.80 L,SOLD
pawan-kumar-sehrawat?,Pro Kabaddi Season 5,Gujarat Fortunegiants,13.80 L,SOLD
pawan-kumar-sehrawat?,Pro Kabaddi Season 4,Bengaluru Bulls,8.00 L,SOLD
pardeep-narwal,Pro Kabaddi Season 9,UP Yoddhas,90.00 L,FBM
pardeep-narwal,Pro Kabaddi Season 8,UP Yoddha,165.00 L,SOLD
pardeep-narwal,Pro Kabaddi Season 7,Patna Pirates,77.83 L,RETAINED
pardeep-narwal,Pro Kabaddi Season 6,Patna Pirates,60.50 L,RETAINED
pardeep-narwal,Pro Kabaddi Season 5,Patna Pirates,55.00 L,RETAINED
pardeep-narwal,Pro Kabaddi Season 4,Patna Pirates,20.00 L,SOLD
/deepak-niwas-hooda,Pro Kabaddi Season 9,Bengal Warriors,43.00 L,SOLD
/deepak-niwas-hooda,Pro Kabaddi Season 8,Jaipur Pink Panthers,55.00 L,FBM
/deepak-niwas-hooda,Pro Kabaddi Season 7,Jaipur Pink Panthers,126.50 L,RETAINED
/deepak-niwas-hooda,Pro Kabaddi Season 6,Jaipur Pink Panthers,115.00 L,SOLD
/deepak-niwas-hooda,Pro Kabaddi Season 5,Puneri Paltan,72.60 L,RETAINED
/deepak-niwas-hooda,Pro Kabaddi Season 4,Puneri Paltan,22.00 L,SOLD
/rahul-chaudhari,Pro Kabaddi Season 9,Jaipur Pink Panthers,10.00 L,SOLD
/rahul-chaudhari,Pro Kabaddi Season 8,Puneri Paltan,40.00 L,SOLD
/rahul-chaudhari,Pro Kabaddi Season 7,Tamil Thalaivas,94.00 L,SOLD
/rahul-chaudhari,Pro Kabaddi Season 6,Telugu Titans,129.00 L,SOLD
/rahul-chaudhari,Pro Kabaddi Season 5,Telugu Titans,53.90 L,RETAINED
/rahul-chaudhari,Pro Kabaddi Season 4,Telugu Titans,20.00 L,SOLD
/maninder-singh,Pro Kabaddi Season 9,Bengal Warriors,95.30 L,RETAINED
/maninder-singh,Pro Kabaddi Season 8,Bengal Warriors,87.00 L,RETAINED
/maninder-singh,Pro Kabaddi Season 7,Bengal Warriors,78.00 L,RETAINED
/maninder-singh,Pro Kabaddi Season 6,Bengal Warriors,56.80 L,RETAINED
/maninder-singh,Pro Kabaddi Season 5,Bengal Warriors,45.50 L,SOLD
/naveen-kumar,Pro Kabaddi Season 9,Dabang Delhi KC,100.00 L,RETAINED
/naveen-kumar,Pro Kabaddi Season 8,Dabang Delhi KC,90.00 L,RETAINED
/naveen-kumar,Pro Kabaddi Season 7,Dabang Delhi KC,30.00 L,RETAINED
/naveen-kumar,Pro Kabaddi Season 6,Dabang Delhi KC,6.60 L,RETAINED
/sachin,Pro Kabaddi Season 9,Patna Pirates,81.00 L,FBM
/sachin,Pro Kabaddi Season 8,Patna Pirates,84.00 L,SOLD
/sachin,Pro Kabaddi Season 7,Gujarat Fortunegiants,78.00 L,RETAINED
/sachin,Pro Kabaddi Season 6,Gujarat Fortunegiants,56.87 L,RETAINED
/sachin,Pro Kabaddi Season 5,Gujarat Fortunegiants,36.00 L,SOLD
/sandeep-narwal,Pro Kabaddi Season 8,Dabang Delhi KC,60.00 L,SOLD
/sandeep-narwal,Pro Kabaddi Season 7,U Mumba,89.00 L,SOLD
/sandeep-narwal,Pro Kabaddi Season 6,Puneri Paltan,72.60 L,RETAINED
/sandeep-narwal,Pro Kabaddi Season 5,Puneri Paltan,66.00 L,SOLD
/sandeep-narwal,Pro Kabaddi Season 4,Telugu Titans,45.50 L,SOLD
/manjeet-chhillar,Pro Kabaddi Season 8,Dabang Delhi KC,20.00 L,SOLD
/manjeet-chhillar,Pro Kabaddi Season 7,Tamil Thalaivas,23.00 L,RETAINED
/manjeet-chhillar,Pro Kabaddi Season 6,Tamil Thalaivas,20.00 L,SOLD
/manjeet-chhillar,Pro Kabaddi Season 5,Jaipur Pink Panthers,75.50 L,SOLD
/manjeet-chhillar,Pro Kabaddi Season 4,Puneri Paltan,27.00 L,SOLD
/ajay-thakur,Pro Kabaddi Season 8,Dabang Delhi KC,46.00 L,SOLD
/ajay-thakur,Pro Kabaddi Season 7,Tamil Thalaivas,84.00 L,RETAINED
/ajay-thakur,Pro Kabaddi Season 6,Tamil Thalaivas,76.23 L,RETAINED
/ajay-thakur,Pro Kabaddi Season 5,Tamil Thalaivas,69.30 L,SOLD
/ajay-thakur,Pro Kabaddi Season 4,Puneri Paltan,19.00 L,SOLD
/vikas-kandola,Pro Kabaddi Season 9,Bengaluru Bulls,170.00 L,SOLD
/vikas-kandola,Pro Kabaddi Season 8,Haryana Steelers,87.00 L,RETAINED
/vikas-kandola,Pro Kabaddi Season 7,Haryana Steelers,77.83 L,RETAINED
/vikas-kandola,Pro Kabaddi Season 6,Haryana Steelers,47.00 L,SOLD
/vikas-kandola,Pro Kabaddi Season 5,Haryana Steelers,15.20 L,SOLD
/po-surjeet-singh,Pro Kabaddi Season 9,Telugu Titans,50.00 L,SOLD
/po-surjeet-singh,Pro Kabaddi Season 8,Tamil Thalaivas,75.00 L,SOLD
/po-surjeet-singh,Pro Kabaddi Season 7,Puneri Paltan,56.00 L,SOLD
/po-surjeet-singh,Pro Kabaddi Season 6,Bengal Warriors,80.30 L,RETAINED
/po-surjeet-singh,Pro Kabaddi Season 5,Bengal Warriors,73.00 L,SOLD
/rishank-devadiga,Pro Kabaddi Season 8,Bengal Warriors,20.00 L,SOLD
/rishank-devadiga,Pro Kabaddi Season 7,UP Yoddha,61.00 L,FBM
/rishank-devadiga,Pro Kabaddi Season 6,UP Yoddha,111.00 L,SOLD
/rishank-devadiga,Pro Kabaddi Season 5,UP Yoddha,45.50 L,SOLD
/rishank-devadiga,Pro Kabaddi Season 4,U Mumba,17.40 L,SOLD
/shrikant-jadhav,Pro Kabaddi Season 9,Bengal Warriors,26.00 L,SOLD
/shrikant-jadhav,Pro Kabaddi Season 8,UP Yoddha,72.00 L,FBM
/shrikant-jadhav,Pro Kabaddi Season 7,UP Yoddha,68.00 L,FBM
/shrikant-jadhav,Pro Kabaddi Season 6,UP Yoddha,37.00 L,SOLD
/shrikant-jadhav,Pro Kabaddi Season 5,U Mumba,8.00 L,SOLD
/shrikant-jadhav,Pro Kabaddi Season 4,Bengal Warriors,5.00 L,SOLD
/fazel-atrachali,Pro Kabaddi Season 9,Puneri Paltan,138.00 L,SOLD
/fazel-atrachali,Pro Kabaddi Season 8,U Mumba,121.00 L,RETAINED
/fazel-atrachali,Pro Kabaddi Season 7,U Mumba,110.00 L,RETAINED
/fazel-atrachali,Pro Kabaddi Season 6,U Mumba,100.00 L,SOLD
/fazel-atrachali,Pro Kabaddi Season 5,Gujarat Fortunegiants,55.00 L,SOLD
/fazel-atrachali,Pro Kabaddi Season 4,Patna Pirates,38.00 L,SOLD
/anup-kumar,Pro Kabaddi Season 6,Jaipur Pink Panthers,30.00 L,SOLD
/anup-kumar,Pro Kabaddi Season 5,U Mumba,56.65 L,RETAINED
/anup-kumar,Pro Kabaddi Season 4,U Mumba,22.00 L,SOLD
/kashiling-adake,Pro Kabaddi Season 6,Bengaluru Bulls,32.00 L,SOLD
/kashiling-adake,Pro Kabaddi Season 5,U Mumba,48.00 L,SOLD
/kashiling-adake,Pro Kabaddi Season 4,Dabang Delhi KC,19.00 L,SOLD
/nitesh-kumar,Pro Kabaddi Season 9,UP Yoddhas,66.80 L,RETAINED
/nitesh-kumar,Pro Kabaddi Season 8,UP Yoddha,37.50 L,RETAINED
/nitesh-kumar,Pro Kabaddi Season 7,UP Yoddha,37.50 L,RETAINED
/nitesh-kumar,Pro Kabaddi Season 6,UP Yoddha,6.60 L,RETAINED
/arjun-deshwal,Pro Kabaddi Season 9,Jaipur Pink Panthers,105.60 L,RETAINED
/arjun-deshwal,Pro Kabaddi Season 8,Jaipur Pink Panthers,96.00 L,SOLD
/arjun-deshwal,Pro Kabaddi Season 7,U Mumba,19.46 L,RETAINED
/arjun-deshwal,Pro Kabaddi Season 6,U Mumba,8.00 L,SOLD
/nitin-tomar,Pro Kabaddi Season 9,UP Yoddhas,20.00 L,SOLD
/nitin-tomar,Pro Kabaddi Season 8,Puneri Paltan,61.00 L,FBM
/nitin-tomar,Pro Kabaddi Season 7,Puneri Paltan,120.00 L,FBM
/nitin-tomar,Pro Kabaddi Season 6,Puneri Paltan,115.00 L,SOLD
/nitin-tomar,Pro Kabaddi Season 5,UP Yoddha,93.00 L,SOLD
/rohit-kumar,Pro Kabaddi Season 8,Telugu Titans,36.00 L,SOLD
/rohit-kumar,Pro Kabaddi Season 7,Bengaluru Bulls,98.00 L,RETAINED
/rohit-kumar,Pro Kabaddi Season 6,Bengaluru Bulls,89.10 L,RETAINED
/rohit-kumar,Pro Kabaddi Season 5,Bengaluru Bulls,81.00 L,SOLD
/ravinder-pahal,Pro Kabaddi Season 9,Telugu Titans,23.00 L,SOLD
/ravinder-pahal,Pro Kabaddi Season 8,Gujarat Giants,74.00 L,SOLD
/ravinder-pahal,Pro Kabaddi Season 7,Dabang Delhi KC,61.00 L,FBM
/ravinder-pahal,Pro Kabaddi Season 6,Dabang Delhi KC,20.00 L,SOLD
/ravinder-pahal,Pro Kabaddi Season 5,Bengaluru Bulls,50.00 L,SOLD
/ravinder-pahal,Pro Kabaddi Season 4,Puneri Paltan,17.00 L,SOLD
/mohit-goyat,Pro Kabaddi Season 9,Puneri Paltan,20.00 L,RETAINED
/mohit-goyat,Pro Kabaddi Season 8,Puneri Paltan,8.00 L,SOLD
/siddharth-sirish-desai,Pro Kabaddi Season 9,Telugu Titans,20.00 L,SOLD
/siddharth-sirish-desai,Pro Kabaddi Season 8,Telugu Titans,130.00 L,FBM
/siddharth-sirish-desai,Pro Kabaddi Season 7,Telugu Titans,145.00 L,SOLD
/siddharth-sirish-desai,Pro Kabaddi Season 6,U Mumba,36.40 L,SOLD
/sandeep-dhull,Pro Kabaddi Season 9,Dabang Delhi KC,40.00 L,SOLD
/sandeep-dhull,Pro Kabaddi Season 8,Jaipur Pink Panthers,45.00 L,FBM
/sandeep-dhull,Pro Kabaddi Season 7,Jaipur Pink Panthers,33.83 L,RETAINED
/sandeep-dhull,Pro Kabaddi Season 6,Jaipur Pink Panthers,66.00 L,SOLD
/sandeep-dhull,Pro Kabaddi Season 4,Telugu Titans,13.00 L,SOLD
/rohit-gulia,Pro Kabaddi Season 9,Patna Pirates,30.00 L,SOLD
/rohit-gulia,Pro Kabaddi Season 8,Haryana Steelers,83.00 L,SOLD
/rohit-gulia,Pro Kabaddi Season 7,Gujarat Fortunegiants,25.00 L,RETAINED
/rohit-gulia,Pro Kabaddi Season 6,Gujarat Fortunegiants,6.60 L,RETAINED
/sunil-kumar,Pro Kabaddi Season 9,Jaipur Pink Panthers,90.00 L,SOLD
/sunil-kumar,Pro Kabaddi Season 8,Gujarat Giants,74.40 L,RETAINED
/sunil-kumar,Pro Kabaddi Season 7,Gujarat Fortunegiants,67.00 L,RETAINED
/sunil-kumar,Pro Kabaddi Season 6,Gujarat Fortunegiants,49.10 L,RETAINED
/sunil-kumar,Pro Kabaddi Season 5,Gujarat Fortunegiants,30.40 L,SOLD
/monu-goyat,Pro Kabaddi Season 9,Telugu Titans,20.00 L,SOLD
/monu-goyat,Pro Kabaddi Season 8,Patna Pirates,20.00 L,SOLD
/monu-goyat,Pro Kabaddi Season 7,UP Yoddha,93.00 L,SOLD
/monu-goyat,Pro Kabaddi Season 6,Haryana Steelers,151.00 L,SOLD
/monu-goyat,Pro Kabaddi Season 5,Patna Pirates,44.50 L,SOLD
/ashu-malik,Pro Kabaddi Season 9,Dabang Delhi KC,8.80 L,RETAINED
/ran-singh,Pro Kabaddi Season 7,Tamil Thalaivas,55.00 L,SOLD
/ran-singh,Pro Kabaddi Season 6,Bengal Warriors,43.00 L,SOLD
/ran-singh,Pro Kabaddi Season 5,Bengal Warriors,47.50 L,SOLD
/ran-singh,Pro Kabaddi Season 4,Jaipur Pink Panthers,30.00 L,SOLD
/parvesh-bhainswal,Pro Kabaddi Season 9,Telugu Titans,62.00 L,SOLD
/parvesh-bhainswal,Pro Kabaddi Season 8,Gujarat Giants,84.50 L,RETAINED
/parvesh-bhainswal,Pro Kabaddi Season 7,Gujarat Fortunegiants,75.00 L,FBM
/parvesh-bhainswal,Pro Kabaddi Season 6,Gujarat Fortunegiants,35.00 L,SOLD
/parvesh-bhainswal,Pro Kabaddi Season 5,Gujarat Fortunegiants,25.00 L,SOLD
/girish-maruti-ernak,Pro Kabaddi Season 9,Bengal Warriors,20.00 L,SOLD
/girish-maruti-ernak,Pro Kabaddi Season 8,Gujarat Giants,20.00 L,SOLD
/girish-maruti-ernak,Pro Kabaddi Season 7,Puneri Paltan,33.00 L,FBM
/girish-maruti-ernak,Pro Kabaddi Season 6,Puneri Paltan,49.10 L,RETAINED
/girish-maruti-ernak,Pro Kabaddi Season 5,Puneri Paltan,33.50 L,SOLD
/girish-maruti-ernak,Pro Kabaddi Season 4,Bengal Warriors,15.00 L,SOLD
/sukesh-hegde,Pro Kabaddi Season 8,Bengal Warriors,30.00 L,FBM
/sukesh-hegde,Pro Kabaddi Season 7,Bengal Warriors,20.00 L,SOLD
/sukesh-hegde,Pro Kabaddi Season 6,Tamil Thalaivas,28.00 L,SOLD
/sukesh-hegde,Pro Kabaddi Season 5,Gujarat Fortunegiants,31.50 L,SOLD
/sukesh-hegde,Pro Kabaddi Season 4,Telugu Titans,16.00 L,SOLD
/jang-kun-lee,Pro Kabaddi Season 8,Patna Pirates,20.50 L,FBM
/jang-kun-lee,Pro Kabaddi Season 7,Patna Pirates,40.00 L,SOLD
/jang-kun-lee,Pro Kabaddi Season 6,Bengal Warriors,33.00 L,SOLD
/jang-kun-lee,Pro Kabaddi Season 5,Bengal Warriors,80.30 L,RETAINED
/jang-kun-lee,Pro Kabaddi Season 4,Bengal Warriors,22.00 L,SOLD
/chandran-ranjit,Pro Kabaddi Season 9,Gujarat Giants,30.00 L,SOLD
/chandran-ranjit,Pro Kabaddi Season 8,Bengaluru Bulls,80.00 L,SOLD
/chandran-ranjit,Pro Kabaddi Season 7,Dabang Delhi KC,70.00 L,FBM
/chandran-ranjit,Pro Kabaddi Season 6,Dabang Delhi KC,61.25 L,SOLD
/chandran-ranjit,Pro Kabaddi Season 5,Gujarat Fortunegiants,8.00 L,SOLD
/vishal-bharadwaj,Pro Kabaddi Season 8,Puneri Paltan,60.00 L,SOLD
/vishal-bharadwaj,Pro Kabaddi Season 7,Telugu Titans,60.00 L,FBM
/vishal-bharadwaj,Pro Kabaddi Season 6,Telugu Titans,6.60 L,RETAINED
/rajesh-narwal,Pro Kabaddi Season 8,Haryana Steelers,10.00 L,SOLD
/rajesh-narwal,Pro Kabaddi Season 6,Dabang Delhi KC,16.00 L,SOLD
/rajesh-narwal,Pro Kabaddi Season 5,UP Yoddha,69.00 L,SOLD
/rajesh-narwal,Pro Kabaddi Season 4,Jaipur Pink Panthers,18.00 L,SOLD
/prashanth-kumar-rai,Pro Kabaddi Season 8,Patna Pirates,55.00 L,SOLD
/prashanth-kumar-rai,Pro Kabaddi Season 7,Haryana Steelers,77.00 L,SOLD
/prashanth-kumar-rai,Pro Kabaddi Season 6,UP Yoddha,79.00 L,SOLD
/prashanth-kumar-rai,Pro Kabaddi Season 5,Haryana Steelers,21.00 L,SOLD
/prashanth-kumar-rai,Pro Kabaddi Season 4,Dabang Delhi KC,13.80 L,SOLD
/vijay,Pro Kabaddi Season 9,Dabang Delhi KC,74.60 L,RETAINED
/vijay,Pro Kabaddi Season 8,Dabang Delhi KC,45.10 L,RETAINED
/vijay,Pro Kabaddi Season 7,Dabang Delhi KC,41.00 L,SOLD
/vijay,Pro Kabaddi Season 6,Patna Pirates,6.60 L,RETAINED
/dharmaraj-cheralathan,Pro Kabaddi Season 8,Jaipur Pink Panthers,20.00 L,SOLD
/dharmaraj-cheralathan,Pro Kabaddi Season 7,Haryana Steelers,38.50 L,SOLD
/dharmaraj-cheralathan,Pro Kabaddi Season 6,U Mumba,46.00 L,SOLD
/dharmaraj-cheralathan,Pro Kabaddi Season 5,Puneri Paltan,46.00 L,SOLD
/dharmaraj-cheralathan,Pro Kabaddi Season 4,Patna Pirates,29.00 L,SOLD
/mahender-singh,Pro Kabaddi Season 9,Bengaluru Bulls,28.80 L,RETAINED
/mahender-singh,Pro Kabaddi Season 8,Bengaluru Bulls,50.00 L,FBM
/mahender-singh,Pro Kabaddi Season 7,Bengaluru Bulls,80.00 L,FBM
/mahender-singh,Pro Kabaddi Season 6,Bengaluru Bulls,40.00 L,SOLD
/mahender-singh,Pro Kabaddi Season 5,Bengaluru Bulls,20.00 L,SOLD
/manjeet,Pro Kabaddi Season 9,Haryana Steelers,80.00 L,SOLD
/manjeet,Pro Kabaddi Season 8,Tamil Thalaivas,92.00 L,SOLD
/manjeet,Pro Kabaddi Season 7,Puneri Paltan,63.00 L,SOLD
/manjeet,Pro Kabaddi Season 6,Patna Pirates,20.40 L,SOLD
/jasvir-singh,Pro Kabaddi Season 6,Tamil Thalaivas,12.00 L,SOLD
/jasvir-singh,Pro Kabaddi Season 5,Jaipur Pink Panthers,51.00 L,SOLD
/jasvir-singh,Pro Kabaddi Season 4,Jaipur Pink Panthers,18.00 L,SOLD
/surender-gill,Pro Kabaddi Season 9,UP Yoddhas,37.50 L,RETAINED
/surender-gill,Pro Kabaddi Season 8,UP Yoddha,25.00 L,RETAINED
/meetu-mahender-sharma,Pro Kabaddi Season 9,Haryana Steelers,8.80 L,RETAINED
/surinder-singh,Pro Kabaddi Season 9,U Mumba,35.50 L,SOLD
/surinder-singh,Pro Kabaddi Season 8,Telugu Titans,55.00 L,SOLD
/surinder-singh,Pro Kabaddi Season 7,U Mumba,37.50 L,RETAINED
/surinder-singh,Pro Kabaddi Season 6,U Mumba,6.60 L,RETAINED
/abhishek-singh,Pro Kabaddi Season 9,Telugu Titans,60.00 L,SOLD
/abhishek-singh,Pro Kabaddi Season 8,U Mumba,87.00 L,RETAINED
/abhishek-singh,Pro Kabaddi Season 7,U Mumba,10.00 L,FBM
/abhishek-singh,Pro Kabaddi Season 6,U Mumba,42.80 L,SOLD
/jeeva-kumar,Pro Kabaddi Season 8,Dabang Delhi KC,44.00 L,SOLD
/jeeva-kumar,Pro Kabaddi Season 7,Bengal Warriors,31.00 L,SOLD
/jeeva-kumar,Pro Kabaddi Season 6,UP Yoddha,45.00 L,SOLD
/jeeva-kumar,Pro Kabaddi Season 5,UP Yoddha,52.00 L,SOLD
/jeeva-kumar,Pro Kabaddi Season 4,U Mumba,40.00 L,SOLD
/deepak-narwal,Pro Kabaddi Season 8,Bengaluru Bulls,26.50 L,SOLD
/deepak-narwal,Pro Kabaddi Season 7,Jaipur Pink Panthers,30.50 L,SOLD
/deepak-narwal,Pro Kabaddi Season 6,Patna Pirates,57.00 L,SOLD
/deepak-narwal,Pro Kabaddi Season 5,Bengal Warriors,25.50 L,SOLD
/deepak-narwal,Pro Kabaddi Season 4,Dabang Delhi KC,28.40 L,SOLD
/rakesh-sangroya,Pro Kabaddi Season 9,Gujarat Giants,20.00 L,RETAINED
