Season,Team Name,Total matches,Total touch points,Total bonus points,Total tackle points,Total super raids,Total touch points per match,Bonus raid points per match,Tackle points per match,Super raids per match
PKL5,Bengal Warriors,24,333,122,193,10,13.9,5.1,8,0.4
PKL5,Bengaluru Bulls,22,294,99,202,4,13.4,4.5,9.2,0.2
PKL5,Dabang Delhi,22,260,84,171,5,11.8,3.8,7.8,0.2
PKL5,Gujarat Fortunegiants,24,346,59,254,10,14.4,2.5,10.6,0.4
PKL5,Haryana Steelers,23,324,80,227,11,14.1,3.5,9.9,0.5
PKL5,Jaipur Pink Panthers,22,297,56,172,13,13.5,2.5,7.8,0.6
PKL5,Patna Pirates,26,508,129,253,26,19.5,5,9.7,1
PKL5,Puneri Paltan,24,321,58,273,12,13.4,2.4,11.4,0.5
PKL5,Tamil Thalaivas,22,309,101,201,5,14,4.6,9.1,0.2
PKL5,Telugu Titans,22,301,99,208,10,13.7,4.5,9.5,0.5
PKL5,U Mumba,22,298,121,202,10,13.5,5.5,9.2,0.5
PKL5,UP Yoddha,23,347,114,202,21,15.1,5,8.8,0.9
PKL6,Bengal Warriors,23,341,95,200,15,14.8,4.1,8.7,0.7
PKL6,Bengaluru Bulls,24,428,119,230,20,17.8,5,9.6,0.8
PKL6,Dabang Delhi,24,367,116,216,10,15.3,4.8,9,0.4
PKL6,Gujarat Fortunegiants,25,385,95,274,11,15.4,3.8,11,0.4
PKL6,Haryana Steelers,22,306,141,193,12,13.9,6.4,8.8,0.5
PKL6,Jaipur Pink Panthers,22,313,102,225,12,14.2,4.6,10.2,0.5
PKL6,Patna Pirates,22,376,120,201,12,17.1,5.5,9.1,0.5
PKL6,Puneri Paltan,22,235,111,219,6,10.7,5,10,0.3
PKL6,Tamil Thalaivas,22,315,105,189,8,14.3,4.8,8.6,0.4
PKL6,Telugu Titans,22,246,107,233,9,11.2,4.9,10.6,0.4
PKL6,U Mumba,23,372,87,289,14,16.2,3.8,12.6,0.6
PKL6,UP Yoddha,25,318,131,265,11,12.7,5.2,10.6,0.4
PKL7,Bengal Warriors,24,416,97,229,15,17.3,4,9.5,0.6
PKL7,Bengaluru Bulls,24,402,131,232,13,16.8,5.5,9.7,0.5
PKL7,Dabang Delhi,24,385,147,222,8,16,6.1,9.3,0.3
PKL7,Gujarat Fortunegiants,22,300,72,224,7,13.6,3.3,10.2,0.3
PKL7,Haryana Steelers,23,384,106,225,15,16.7,4.6,9.8,0.7
PKL7,Jaipur Pink Panthers,22,278,107,240,11,12.6,4.9,10.9,0.5
PKL7,Patna Pirates,22,359,88,225,14,16.3,4,10.2,0.6
PKL7,Puneri Paltan,22,307,102,264,9,14,4.6,12,0.4
PKL7,Tamil Thalaivas,22,291,87,192,4,13.2,4,8.7,0.2
PKL7,Telugu Titans,22,307,129,224,11,14,5.9,10.2,0.5
PKL7,U Mumba,24,336,102,233,10,14,4.3,9.7,0.4
PKL7,UP Yoddha,23,312,96,260,6,13.6,4.2,11.3,0.3
PKL8,Bengal Warriors,22,336,141,178,17,15.3,6.4,8.1,0.8
PKL8,Bengaluru Bulls,24,377,158,261,12,15.7,6.6,10.9,0.5
PKL8,Dabang Delhi,24,353,152,200,10,14.7,6.3,8.3,0.4
PKL8,Gujarat Fortunegiants,23,338,106,207,11,14.7,4.6,9,0.5
PKL8,Haryana Steelers,22,322,118,218,11,14.6,5.4,9.9,0.5
PKL8,Jaipur Pink Panthers,22,329,122,209,9,15,5.5,9.5,0.4
PKL8,Patna Pirates,24,372,97,289,9,15.5,4,12,0.4
PKL8,Puneri Paltan,23,330,119,253,10,14.3,5.2,11,0.4
PKL8,Tamil Thalaivas,22,287,130,227,8,13,5.9,10.3,0.4
PKL8,Telugu Titans,22,303,127,207,14,13.8,5.8,9.4,0.6
PKL8,U Mumba,22,323,99,216,9,14.7,4.5,9.8,0.4
PKL8,UP Yoddha,24,399,116,242,22,16.6,4.8,10.1,0.9
PKL9,Bengal Warriors,22,357,132,214,22,16.2,6,9.7,1
PKL9,Bengaluru Bulls,24,415,135,254,20,17.3,5.6,10.6,0.8
PKL9,Dabang Delhi,23,363,179,245,13,15.8,7.8,10.7,0.6
PKL9,Gujarat Fortunegiants,22,405,144,180,16,18.4,6.5,8.2,0.7
PKL9,Haryana Steelers,22,347,111,224,13,15.8,5,10.2,0.6
PKL9,Jaipur Pink Panthers,24,401,118,290,11,16.7,4.9,12.1,0.5
PKL9,Patna Pirates,22,318,100,214,9,14.5,4.5,9.7,0.4
PKL9,Puneri Paltan,24,395,112,252,11,16.5,4.7,10.5,0.5
PKL9,Tamil Thalaivas,24,351,136,271,11,14.6,5.7,11.3,0.5
PKL9,Telugu Titans,22,261,115,202,6,11.9,5.2,9.2,0.3
PKL9,U Mumba,22,283,101,246,12,12.9,4.6,11.2,0.5
PKL9,UP Yoddha,23,372,132,224,20,16.2,5.7,9.7,0.9
