Unique_ID,Season_Lookup,Season,season_num,team_id,Team Name,player_id_notclean,player_id_clean,Player Name,Position,Total Played,Total Starts
team_id_4|Season5|Surjeet Singh,Season5,PKL_S5,5,4,Bengal Warriors,322,322,Surjeet Singh,Right Cover,24,24
team_id_4|Season5|Shrikant Tewthia,Season5,PKL_S5,5,4,Bengal Warriors,107,107,Shrikant Tewthia,All Rounder,23,23
team_id_4|Season5|Ran Singh,Season5,PKL_S5,5,4,Bengal Warriors,160,160,Ran Singh,All Rounder,23,23
team_id_4|Season5|Maninder Singh,Season5,PKL_S5,5,4,Bengal Warriors,143,143,Maninder Singh,Raider,21,21
team_id_4|Season5|Jang Kun Lee,Season5,PKL_S5,5,4,Bengal Warriors,12,12,Jang Kun Lee,Raider,21,20
team_id_4|Season5|Vinod Kumar,Season5,PKL_S5,5,4,Bengal Warriors,387,387,Vinod Kumar,Raider,19,15
team_id_4|Season5|Bhupender Singh,Season5,PKL_S5,5,4,Bengal Warriors,34,34,Bhupender Singh,All Rounder,17,4
team_id_4|Season5|Deepak Narwal,Season5,PKL_S5,5,4,Bengal Warriors,211,211,Deepak Narwal,Raider,16,11
team_id_4|Season5|Young Chang Ko,Season5,PKL_S5,5,4,Bengal Warriors,519,519,Young Chang Ko,Left Cover,14,12
team_id_4|Season5|Rahul Kumar,Season5,PKL_S5,5,4,Bengal Warriors,288,288,Rahul Kumar,Right Cover,10,9
team_id_4|Season5|Kuldeep,Season5,PKL_S5,5,4,Bengal Warriors,#N/A,-1,Kuldeep,Raider,5,0
team_id_4|Season5|Vikash,Season5,PKL_S5,5,4,Bengal Warriors,741,741,Vikash,Defender,4,1
team_id_4|Season5|Virender,Season5,PKL_S5,5,4,Bengal Warriors,#N/A,-1,Virender,Raider,3,0
team_id_4|Season5|Shashank Wankhede,Season5,PKL_S5,5,4,Bengal Warriors,279,279,Shashank Wankhede,Left Cover,3,3
team_id_4|Season5|Ravindra Kumawat,Season5,PKL_S5,5,4,Bengal Warriors,#N/A,-1,Ravindra Kumawat,All Rounder,2,1
team_id_4|Season5|Anil Kumar,Season5,PKL_S5,5,4,Bengal Warriors,765,765,Anil Kumar,Raider,2,0
team_id_4|Season5|Sandeep Malik,Season5,PKL_S5,5,4,Bengal Warriors,#N/A,-1,Sandeep Malik,Right Corner,1,1
team_id_4|Season5|Amaresh Mondal,Season5,PKL_S5,5,4,Bengal Warriors,#N/A,-1,Amaresh Mondal,Left Cover,0,0
team_id_1|Season5|Rohit Kumar,Season5,PKL_S5,5,1,Bengaluru Bulls,326,326,Rohit Kumar,Raider,22,22
team_id_1|Season5|Mahender Singh,Season5,PKL_S5,5,1,Bengaluru Bulls,769,769,Mahender Singh,Left Cover,22,22
team_id_1|Season5|Ajay Kumar,Season5,PKL_S5,5,1,Bengaluru Bulls,389,389,Ajay Kumar,Raider,22,20
team_id_1|Season5|Ashish Kumar,Season5,PKL_S5,5,1,Bengaluru Bulls,#N/A,-1,Ashish Kumar,Right Cover,20,17
team_id_1|Season5|Ravinder Pahal,Season5,PKL_S5,5,1,Bengaluru Bulls,157,157,Ravinder Pahal,Right Corner,19,19
team_id_1|Season5|Preetam Chhillar,Season5,PKL_S5,5,1,Bengaluru Bulls,167,167,Preetam Chhillar,All Rounder,16,13
team_id_1|Season5|Kuldeep Singh,Season5,PKL_S5,5,1,Bengaluru Bulls,61,61,Kuldeep Singh,Left Corner,16,13
team_id_1|Season5|Harish Naik,Season5,PKL_S5,5,1,Bengaluru Bulls,3091,3091,Harish Naik,Raider,14,7
team_id_1|Season5|Sunil Jaipal,Season5,PKL_S5,5,1,Bengaluru Bulls,141,141,Sunil Jaipal,All Rounder,13,5
team_id_1|Season5|Sachin Kumar,Season5,PKL_S5,5,1,Bengaluru Bulls,218,218,Sachin Kumar,Left Corner,9,8
team_id_1|Season5|Gurvinder Singh,Season5,PKL_S5,5,1,Bengaluru Bulls,46,46,Gurvinder Singh,Raider,9,5
team_id_1|Season5|Sumit Singh,Season5,PKL_S5,5,1,Bengaluru Bulls,#N/A,-1,Sumit Singh,Raider,4,0
team_id_1|Season5|Amit Sheoran,Season5,PKL_S5,5,1,Bengaluru Bulls,#N/A,-1,Amit Sheoran,Defender,4,1
team_id_1|Season5|Pardeep Kandola,Season5,PKL_S5,5,1,Bengaluru Bulls,#N/A,-1,Pardeep Kandola,All Rounder,3,2
team_id_1|Season5|Rohit,Season5,PKL_S5,5,1,Bengaluru Bulls,3066,3066,Rohit,Raider,2,0
team_id_1|Season5|Sanjay Shrestha,Season5,PKL_S5,5,1,Bengaluru Bulls,#N/A,-1,Sanjay Shrestha,All Rounder,0,0
team_id_1|Season5|Ankit Sangwan,Season5,PKL_S5,5,1,Bengaluru Bulls,#N/A,-1,Ankit Sangwan,Raider,0,0
team_id_2|Season5|Meraj Sheykh,Season5,PKL_S5,5,2,Dabang Delhi,251,251,Meraj Sheykh,All Rounder,20,19
team_id_2|Season5|Viraj Landge,Season5,PKL_S5,5,2,Dabang Delhi,#N/A,-1,Viraj Landge,Left Cover,19,17
team_id_2|Season5|Anand Patil,Season5,PKL_S5,5,2,Dabang Delhi,576,576,Anand Patil,Raider,19,4
team_id_2|Season5|Abolfazl Maghsodlou,Season5,PKL_S5,5,2,Dabang Delhi,#N/A,-1,Abolfazl Maghsodlou,Raider,19,16
team_id_2|Season5|Sunil,Season5,PKL_S5,5,2,Dabang Delhi,207,207,Sunil,Left Corner,18,15
team_id_2|Season5|Rohit Baliyan,Season5,PKL_S5,5,2,Dabang Delhi,261,261,Rohit Baliyan,Raider,17,14
team_id_2|Season5|Nilesh Shinde,Season5,PKL_S5,5,2,Dabang Delhi,73,73,Nilesh Shinde,Right Corner,15,15
team_id_2|Season5|Swapnil Shinde,Season5,PKL_S5,5,2,Dabang Delhi,170,170,Swapnil Shinde,Right Cover,13,7
team_id_2|Season5|Bajirao Hodage,Season5,PKL_S5,5,2,Dabang Delhi,164,164,Bajirao Hodage,Right Cover,12,10
team_id_2|Season5|R. Sriram,Season5,PKL_S5,5,2,Dabang Delhi,718,718,R. Sriram,Raider,11,5
team_id_2|Season5|Satpal,Season5,PKL_S5,5,2,Dabang Delhi,773,773,Satpal,Defender,10,6
team_id_2|Season5|Tushar Bhoir,Season5,PKL_S5,5,2,Dabang Delhi,792,792,Tushar Bhoir,Right Cover,8,6
team_id_2|Season5|Shubham Palkar,Season5,PKL_S5,5,2,Dabang Delhi,605,605,Shubham Palkar,Raider,8,4
team_id_2|Season5|Yatharth,Season5,PKL_S5,5,2,Dabang Delhi,736,736,Yatharth,All Rounder,6,6
team_id_2|Season5|Vishal,Season5,PKL_S5,5,2,Dabang Delhi,3159,3159,Vishal,All Rounder,5,4
team_id_2|Season5|Tapas Pal,Season5,PKL_S5,5,2,Dabang Delhi,661,661,Tapas Pal,All Rounder,5,1
team_id_2|Season5|Ravi Dalal,Season5,PKL_S5,5,2,Dabang Delhi,92,92,Ravi Dalal,Raider,5,4
team_id_2|Season5|Suresu Kumar,Season5,PKL_S5,5,2,Dabang Delhi,173,173,Suresu Kumar,Raider,3,0
