Season,Tackle Type,Skill Type,Skill Name,Bengal Warriors (4),Bengaluru Bulls (1),Dabang Delhi (2),Gujarat Giants (31),Haryana Steelers (28),Jaipur Pink Panthers (3),Patna Pirates (6),Puneri Paltan (7),Tamil Thalaivas (29),Telugu Titans (8),U Mumba (5),U.P. Yoddha (30)
5,Successful Tackles,Defensive Skill,Ankle,42,65,54,75,86,41,65,40,58,64,54,52
5,Successful Tackles,Defensive Skill,Other,47,37,33,51,40,33,42,41,40,47,39,45
5,Successful Tackles,Defensive Skill,Push,37,22,23,15,21,24,33,31,33,27,28,27
5,Successful Tackles,Defensive Skill,Thigh,10,18,14,19,12,5,17,14,7,18,11,20
5,Successful Tackles,Defensive Skill,self out,,1,1,3,4,3,4,1,4,2,2,4
5,Successful Tackles,Defensive Skill,Knee Hold,,,,,,,,4,2,,2,
5,Successful Tackles,Defensive Skill,Follow,,,,,,,,,,,1,
5,Successful Tackles,Defensive Skill,Ankle Hold,,,,,,,,1,,2,1,
5,Successful Tackles,Defensive Skill,Block,,,,,,,,4,1,3,,
5,Successful Tackles,Defensive Skill,Thigh Hold,,,,,,,,,2,2,,
5,Successful Tackles,Defensive Skill,Dive,,,,,,,,1,1,2,,
5,Successful Tackles,Defensive Skill,Chain,,,,,,,,1,,1,,
5,Unsuccessful Tackes,Attacking Skill,Hand Touch,,,,,,,,1,5,2,2,
5,Unsuccessful Tackes,Attacking Skill,Struggle,,,,,,,,4,4,3,4,
5,Unsuccessful Tackes,Attacking Skill,Running Hand Touch,,,,,,,,1,2,3,2,
5,Unsuccessful Tackes,Attacking Skill,Toe Touch,,,,,,,,,1,1,2,
6,Successful Tackles,Defensive Skill,Block,46,54,40,63,23,41,26,43,47,24,57,37
6,Successful Tackles,Defensive Skill,Dive,35,47,47,74,19,43,36,30,30,72,70,28
6,Successful Tackles,Defensive Skill,Thigh Hold,26,29,35,40,42,25,24,29,24,36,42,59
6,Successful Tackles,Defensive Skill,Ankle Hold,21,32,38,11,33,32,47,30,16,39,48,70
6,Successful Tackles,Defensive Skill,Body Hold,20,18,14,26,18,18,12,17,22,8,15,22
6,Successful Tackles,Defensive Skill,Push,17,24,22,22,31,25,32,32,27,12,31,15
6,Successful Tackles,Defensive Skill,Follow,5,1,1,,,,1,,,,1,1
6,Successful Tackles,Defensive Skill,Self-out,3,1,2,3,1,2,2,3,3,,3,3
6,Unsuccessful Tackles,Counter Action Skill,Release,80,92,102,79,100,97,81,71,81,95,83,81
6,Unsuccessful Tackles,Counter Action Skill,Struggle,26,30,27,39,20,16,26,19,13,15,21,21
6,Unsuccessful Tackles,Counter Action Skill,Out Turn,26,22,16,19,28,25,41,24,20,17,22,24
6,Unsuccessful Tackles,Counter Action Skill,Jump,12,8,15,9,14,4,12,9,16,8,6,8
6,Unsuccessful Tackles,Counter Action Skill,Dubki,8,2,1,10,5,0,1,3,5,3,5,2
6,Unsuccessful Tackles,Counter Action Skill,In Turn,5,12,6,5,4,6,6,5,8,4,3,8
6,Unsuccessful Tackles,Counter Action Skill,Create Gap,2,2,4,2,6,3,5,2,5,3,0,1
6,Unsuccessful Tackles,Counter Action Skill,Chain,,,,,,,0,,,,,
6,Unsuccessful Tackles,Attacking Skill,Running Hand Touch,66,79,57,70,70,72,54,69,74,46,47,74
6,Unsuccessful Tackles,Attacking Skill,Hand Touch,36,32,41,32,42,37,52,39,44,36,25,57
6,Unsuccessful Tackles,Attacking Skill,Defender self out,18,14,9,13,9,10,10,9,6,11,17,20
6,Unsuccessful Tackles,Attacking Skill,Leg Thrust,14,17,11,9,26,9,22,16,17,21,23,20
6,Unsuccessful Tackles,Attacking Skill,Reverse Kick,13,8,13,8,14,10,11,13,6,5,7,13
6,Unsuccessful Tackles,Attacking Skill,Toe Touch,12,11,18,16,18,17,18,17,20,7,20,26
6,Unsuccessful Tackles,Attacking Skill,Side Kick,7,3,9,2,12,7,7,7,3,4,1,4
6,Unsuccessful Tackles,Attacking Skill,Running Kick,,4,6,3,3,8,2,2,3,2,,3
7,Successful Tackles,Defensive Skill,Thigh Hold,57,49,57,48,43,33,43,50,35,44,31,68
7,Successful Tackles,Defensive Skill,Block,51,42,42,30,49,23,46,51,52,43,66,37
7,Successful Tackles,Defensive Skill,Dive,42,49,50,73,27,80,46,31,35,72,56,43
7,Successful Tackles,Defensive Skill,Ankle Hold,8,34,33,17,40,42,27,43,15,15,13,54
7,Successful Tackles,Defensive Skill,Push,28,10,21,13,31,16,22,29,24,15,30,22
7,Successful Tackles,Defensive Skill,Body Hold,24,14,6,12,4,9,9,21,13,7,10,8
7,Successful Tackles,Defensive Skill,Self-out,7,3,6,1,4,2,2,2,4,2,6,5
7,Successful Tackles,Defensive Skill,Chain_def,3,5,2,9,16,6,3,9,2,3,7,8
7,Successful Tackles,Defensive Skill,Follow,3,,1,,0,,,,,3,,
7,Unsuccessful Tackles,Counter Action Skill,Release,86,87,105,71,111,93,118,123,81,88,77,82
7,Unsuccessful Tackles,Counter Action Skill,Struggle,23,27,30,17,28,15,23,14,25,28,36,20
7,Unsuccessful Tackles,Counter Action Skill,Out Turn,27,24,23,14,30,19,24,38,25,42,37,24
7,Unsuccessful Tackles,Counter Action Skill,Jump,14,10,13,7,14,8,10,16,7,10,3,12
7,Unsuccessful Tackles,Counter Action Skill,Dubki,3,8,4,5,5,7,3,4,3,3,7,4
7,Unsuccessful Tackles,Counter Action Skill,In Turn,2,3,7,1,4,2,5,7,2,4,2,3
7,Unsuccessful Tackles,Counter Action Skill,Create Gap,4,2,3,4,6,4,1,3,4,7,4,0
