Season,Skill Type,Skill Name,Bengal Warriors (4),Bengaluru Bulls (1),Dabang Delhi (2),Gujarat Giants (31),Haryana Steelers (28),Jaipur Pink Panthers (3),Patna Pirates (6),Puneri Paltan (7),Tamil Thalaivas (29),Telugu Titans (8),U Mumba (5),U.P. Yoddha (30)
6,Counter Action Skill,Release,104,86,99,118,75,97,97,48,49,64,109,96
6,Counter Action Skill,Struggle,25,27,18,27,25,17,21,21,17,14,36,25
6,Counter Action Skill,Out Turn,14,35,29,35,24,17,30,26,19,22,19,14
6,Counter Action Skill,Jump,9,19,14,12,8,3,6,13,17,5,8,7
6,Counter Action Skill,In Turn,6,7,10,2,7,2,6,5,9,5,6,7
6,Counter Action Skill,Create Gap,4,,,4,6,1,1,1,9,3,1,3
6,Counter Action Skill,Dubki,0,9,5,5,1,1,10,2,3,3,4,2
6,Attacking Skill,Running Hand Touch,57,97,69,75,58,73,95,34,91,37,33,59
6,Attacking Skill,Hand Touch,29,62,36,45,41,35,43,27,56,32,34,33
6,Attacking Skill,Leg Thrust,24,11,15,11,27,11,30,12,14,4,24,22
6,Attacking Skill,Toe Touch,23,12,23,19,23,18,13,19,10,9,19,12
6,Attacking Skill,Defender self out,16,10,19,19,13,7,13,15,6,9,8,11
6,Attacking Skill,Reverse Kick,9,15,21,7,9,9,4,6,7,12,16,6
6,Attacking Skill,Side Kick,6,2,7,0,2,8,3,5,3,7,17,6
6,Attacking Skill,Running Kick,1,1,3,2,0,,3,4,,6,16,
6,Defensive Skill,Dive,44,44,43,61,46,41,49,52,28,39,33,51
6,Defensive Skill,Block,33,37,41,30,45,57,39,52,41,49,23,54
6,Defensive Skill,Ankle Hold,37,30,26,39,33,29,38,31,37,34,35,48
6,Defensive Skill,Thigh Hold,33,38,28,38,39,34,42,32,24,32,39,32
6,Defensive Skill,Push,20,22,27,28,30,24,15,18,28,23,28,27
6,Defensive Skill,Body Hold,8,15,24,17,19,15,20,21,24,19,10,18
6,Defensive Skill,Self-out,11,11,24,26,10,12,8,11,16,24,13,10
6,Defensive Skill,Follow,1,2,1,1,,,,1,2,2,2,1
6,Defensive Skill,Chain_def,,,,3,2,,,2,1,,,2
7,Counter Action Skill,Release,124,121,93,85,108,87,96,84,70,79,75,100
7,Counter Action Skill,Out Turn,34,29,30,29,29,21,20,29,32,18,29,27
7,Counter Action Skill,Struggle,32,25,27,25,25,19,19,14,14,30,30,26
7,Counter Action Skill,Jump,6,18,20,11,10,4,13,10,9,5,12,6
7,Counter Action Skill,Dubki,6,10,7,2,2,3,12,5,0,2,3,4
7,Counter Action Skill,In Turn,5,4,4,2,0,1,5,4,3,4,5,5
7,Counter Action Skill,Create Gap,5,4,5,4,2,4,2,3,1,4,7,1
7,Attacking Skill,Running Hand Touch,84,68,61,41,58,53,53,55,74,29,67,40
7,Attacking Skill,Hand Touch,26,30,49,21,34,35,31,32,35,19,36,24
7,Attacking Skill,Toe Touch,18,10,22,14,19,10,29,12,11,31,16,20
7,Attacking Skill,Defender self out,9,10,12,9,8,6,10,11,7,8,6,9
7,Attacking Skill,Defender self out (lobby shirt pull),4,6,3,0,2,1,1,,,3,2,5
7,Attacking Skill,Running Kick,5,3,6,2,0,,5,3,2,23,5,2
7,Attacking Skill,Leg Thrust,4,,,2,1,,,,4,1,3,2
7,Attacking Skill,Reverse Kick,3,8,10,6,18,3,10,3,5,11,1,7
7,Attacking Skill,Side Kick,1,10,6,9,12,2,1,8,1,11,9,4
7,Defensive Skill,Block,43,63,40,38,46,46,44,55,40,49,34,34
7,Defensive Skill,Thigh Hold,39,62,33,53,35,54,47,60,48,53,31,43
7,Defensive Skill,Dive,31,48,54,59,55,56,40,45,55,46,49,66
7,Defensive Skill,Ankle Hold,26,30,22,31,26,18,29,32,24,34,45,24
7,Defensive Skill,Push,17,27,19,31,15,19,16,19,30,17,25,26
7,Defensive Skill,Body Hold,14,19,13,9,13,10,9,6,12,14,8,10
7,Defensive Skill,Self-out,10,14,15,14,16,14,13,17,27,10,21,13
7,Defensive Skill,Chain_def,9,3,7,4,6,6,10,9,3,5,3,8
7,Defensive Skill,Follow,,,,1,3,,,,,,1,2
7,Defensive Skill,Raider self out,,,,,,,,,,,,
8,Counter Action Skill,Release,86,82,90,80,63,59,75,61,61,63,55,88
8,Counter Action Skill,Struggle,47,61,31,41,40,34,43,32,32,47,34,59
8,Counter Action Skill,Out Turn,21,24,20,16,13,19,18,23,12,15,18,17
8,Counter Action Skill,Jump,10,29,21,11,20,5,14,20,8,7,27,19
8,Counter Action Skill,Create Gap,11,9,5,7,8,5,8,4,9,12,3,12
8,Counter Action Skill,In Turn,4,4,2,8,1,10,5,1,1,2,6,1
8,Counter Action Skill,Dubki,0,1,6,5,3,2,4,5,1,0,5,8
8,Attacking Skill,Running Hand Touch,47,58,38,30,55,49,67,67,71,27,76,44
8,Attacking Skill,Hand Touch,22,35,52,17,28,51,36,47,35,17,33,31
8,Attacking Skill,Defender self out (lobby shirt pull),8,15,14,8,10,14,4,14,12,8,10,12
8,Attacking Skill,Toe Touch,7,8,15,13,18,23,22,15,5,17,8,14
