,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
0,"Pro Kabaddi League Season 3, 2016",W,3,01/30/2016 8:00:00 ,U Mumba beat Telugu Titans (27-25),01/30/2016 8:00:00 ,Completed,2,8,kabaddi,Rajiv Gandhi Indoor Stadium,122,League,Match 1,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Telugu Titans,25,false,U Mumba,27,true,U Mumba,Sukesh Hegde,111,9,,Rahul Chaudhari,81,6,,Dharmaraj Cheralathan,42,4,,Meraj Sheykh,251,2,,D. Gopu,152,1,,Rishank Devadiga,94,8,,Anup Kumar,29,6,,Jeeva Kumar,54,2,,Mohit Chhillar,71,2,,Rakesh Kumar,88,2,Raider,,False,False
1,"Pro Kabaddi League Season 3, 2016",W,3,01/30/2016 9:00:00 ,Bengaluru Bulls beat Dabang Delhi (35-29),01/30/2016 9:00:00 ,Completed,6,8,kabaddi,Rajiv Gandhi Indoor Stadium,123,League,Match 2,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Dabang Delhi,29,false,Bengaluru Bulls,35,true,Bengaluru Bulls,Surjeet Singh,119,10,,Kashiling Adake,58,8,,Ravinder Pahal,157,2,,Rajaguru Subramanian,84,2,,Pravin Niwale,79,1,Raider,Amit Om Prakash Rathi,231,7,Raider,Deepak Kumar Dahiya,174,5,,Shrikant Tewthia,107,5,,Surjeet Narwal,118,5,Raider,Deepak Kumar Rathee,275,3,Defender,,False,False
2,"Pro Kabaddi League Season 3, 2016",W,3,01/31/2016 8:00:00 ,Jaipur Pink Panthers beat U Mumba (27-18),01/31/2016 8:00:00 ,Completed,9,8,kabaddi,Rajiv Gandhi Indoor Stadium,124,League,Match 3,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Jaipur Pink Panthers,27,true,U Mumba,18,false,Jaipur Pink Panthers,Rohit Rana,96,9,,Jasvir Singh,52,6,,Sonu Narwal,190,4,Raider,Kuldeep Singh,252,2,,Navneet Gautam,72,1,Defender,Mohit Chhillar,71,4,,Anup Kumar,29,3,,Surender Nada,146,3,Defender,Rakesh Kumar,88,2,Raider,Rishank Devadiga,94,2,,,False,False
3,"Pro Kabaddi League Season 3, 2016",W,3,01/31/2016 9:00:00 ,Telugu Titans beat Puneri Paltan (27-26),01/31/2016 9:00:00 ,Completed,1,8,kabaddi,Rajiv Gandhi Indoor Stadium,125,League,Match 4,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Telugu Titans,27,true,Puneri Paltan,26,false,Telugu Titans,Manoj Kumar,70,5,Defender,Meraj Sheykh,251,5,,Dharmaraj Cheralathan,42,4,,Rahul Chaudhari,81,3,,Sukesh Hegde,111,2,,Manjeet Chhillar,69,7,,Ajay Thakur,26,6,,Deepak Niwas Hooda,41,3,,Surjeet Singh,322,2,,Jasmer Singh Gulia,51,2,,,False,False
4,"Pro Kabaddi League Season 3, 2016",W,3,02/01/2016 8:00:00 ,Patna Pirates beat Jaipur Pink Panthers (29-28),02/01/2016 8:00:00 ,Completed,1,8,kabaddi,Rajiv Gandhi Indoor Stadium,126,League,Match 5,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Patna Pirates,29,true,Jaipur Pink Panthers,28,false,Patna Pirates,Pardeep Narwal,197,11,,Sunil,207,5,,Sandeep Narwal,142,5,,Rohit Kumar,326,4,,D. Suresh Kumar,162,2,Defender,Jasvir Singh,52,11,,Kuldeep Singh,252,4,,Rajesh Narwal,86,4,,Ran Singh,160,2,,C. Arun,191,2,,,False,False
5,"Pro Kabaddi League Season 3, 2016",W,3,02/01/2016 9:00:00 ,Telugu Titans beat Dabang Delhi (45-34),02/01/2016 9:00:00 ,Completed,11,8,kabaddi,Rajiv Gandhi Indoor Stadium,127,League,Match 6,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Telugu Titans,45,true,Dabang Delhi,34,false,Telugu Titans,Rahul Chaudhari,81,11,,Rohit Baliyan,261,11,,Dharmaraj Cheralathan,42,5,,Sukesh Hegde,111,4,,Vikas Kale,179,3,,Kashiling Adake,58,12,,Surjeet Singh,119,10,,Ravinder Pahal,157,3,,Rohit Kumar Choudary,217,3,,Rajaguru Subramanian,84,1,,,False,False
6,"Pro Kabaddi League Season 3, 2016",W,3,02/02/2016 8:00:00 ,Bengal Warriors beat Telugu Titans (25-17),02/02/2016 8:00:00 ,Completed,8,8,kabaddi,Rajiv Gandhi Indoor Stadium,128,League,Match 7,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Telugu Titans,17,false,Bengal Warriors,25,true,Bengal Warriors,Rohit Baliyan,261,4,,Rahul Chaudhari,81,4,,Meraj Sheykh,251,3,,Rahul Kumar,288,2,Defender,Vikas Kale,179,1,,Nitin Tomar,320,6,,Girish Maruti Ernak,161,5,,Mahendra Ganesh Rajput,163,3,,Mahesh Goud,66,3,,Nilesh Shinde,73,3,Defender,,False,False
7,"Pro Kabaddi League Season 3, 2016",W,3,02/03/2016 8:00:00 ,Patna Pirates beat Bengaluru Bulls (33-24),02/03/2016 8:00:00 ,Completed,9,1,kabaddi,Kanteerava Indoor Stadium,129,League,Match 8,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengaluru Bulls,24,false,Patna Pirates,33,true,Patna Pirates,Amit Om Prakash Rathi,231,10,Raider,Shrikant Tewthia,107,4,,Deepak Kumar Rathee,275,2,Defender,Pawan Kumar Sehrawat,318,2,,Deepak Kumar Dahiya,174,1,,Rohit Kumar,326,8,,Sandeep Narwal,142,5,,Rajesh Mondal,85,5,,Manpreet Singh,309,4,Raider,D. Suresh Kumar,162,3,Defender,,False,False
8,"Pro Kabaddi League Season 3, 2016",W,3,02/03/2016 9:00:00 ,Puneri Paltan beat Dabang Delhi (38-20),02/03/2016 9:00:00 ,Completed,18,1,kabaddi,Kanteerava Indoor Stadium,130,League,Match 9,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Dabang Delhi,20,false,Puneri Paltan,38,true,Puneri Paltan,Kashiling Adake,58,5,,Seong Ryeol Kim,13,3,All Rounder,Rohit Kumar Choudary,217,3,,Ravinder Pahal,157,2,,Rajaguru Subramanian,84,2,,Deepak Niwas Hooda,41,9,,Manjeet Chhillar,69,8,,Surjeet Singh,322,6,,Yogesh Hooda,245,4,,Tushar Patil,242,3,,,False,False
9,"Pro Kabaddi League Season 3, 2016",W,3,02/04/2016 8:00:00 ,Bengal Warriors beat Bengaluru Bulls (34-24),02/04/2016 8:00:00 ,Completed,10,1,kabaddi,Kanteerava Indoor Stadium,131,League,Match 10,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengaluru Bulls,24,false,Bengal Warriors,34,true,Bengal Warriors,Amit Om Prakash Rathi,231,6,Raider,Surjeet Narwal,118,5,Raider,Somvir,314,4,Defender,Deepak Kumar Rathee,275,2,Defender,Deepak Kumar Dahiya,174,2,,Jang Kun Lee,12,11,,Nitin Tomar,320,7,,Girish Maruti Ernak,161,4,,Nilesh Shinde,73,3,Defender,Bajirao Hodage,164,2,,,False,False
10,"Pro Kabaddi League Season 3, 2016",W,3,02/05/2016 8:00:00 ,U Mumba beat Dabang Delhi (30-17),02/05/2016 8:00:00 ,Completed,13,1,kabaddi,Kanteerava Indoor Stadium,132,League,Match 11,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Dabang Delhi,17,false,U Mumba,30,true,U Mumba,Kuldeep Singh,61,3,Defender,Anil Kumar,311,3,,Surjeet Singh,119,2,,Rohit Kumar Choudary,217,2,,Kashiling Adake,58,2,,Rishank Devadiga,94,8,,Anup Kumar,29,6,,Mohit Chhillar,71,5,,Surender Nada,146,3,Defender,Bhupender Singh,34,2,,,False,False
11,"Pro Kabaddi League Season 3, 2016",W,3,02/05/2016 9:00:00 ,Bengaluru Bulls beat Jaipur Pink Panthers (36-26),02/05/2016 9:00:00 ,Completed,10,1,kabaddi,Kanteerava Indoor Stadium,133,League,Match 12,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengaluru Bulls,36,true,Jaipur Pink Panthers,26,false,Bengaluru Bulls,Ashish Kumar,202,7,,Pawan Kumar Sehrawat,318,7,,Amit Om Prakash Rathi,231,6,Raider,Shrikant Tewthia,107,5,,Surjeet Narwal,118,2,Raider,Rajesh Narwal,86,11,,Sonu Narwal,190,4,Raider,Ran Singh,160,3,,Navneet Gautam,72,2,Defender,Kuldeep Singh,252,2,,,False,False
12,"Pro Kabaddi League Season 3, 2016",W,3,02/06/2016 8:00:00 ,Patna Pirates beat U Mumba (40-26),02/06/2016 8:00:00 ,Completed,14,1,kabaddi,Kanteerava Indoor Stadium,134,League,Match 13,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,26,false,Patna Pirates,40,true,Patna Pirates,Anup Kumar,29,9,,Rakesh Kumar,88,4,Raider,Jeeva Kumar,54,3,,Bhupender Singh,34,3,,Surender Nada,146,2,Defender,Rajesh Mondal,85,8,,Pardeep Narwal,197,8,,Sandeep Narwal,142,4,,D. Suresh Kumar,162,3,Defender,Sunil,207,3,,,False,False
13,"Pro Kabaddi League Season 3, 2016",W,3,02/06/2016 9:00:00 ,Telugu Titans beat Bengaluru Bulls (35-26),02/06/2016 9:00:00 ,Completed,9,1,kabaddi,Kanteerava Indoor Stadium,135,League,Match 14,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengaluru Bulls,26,false,Telugu Titans,35,true,Telugu Titans,Surjeet Narwal,118,5,Raider,Vinoth Kumar,172,3,,Shrikant Tewthia,107,3,,Ashish Kumar,202,3,,Pawan Kumar Sehrawat,318,3,,Rahul Chaudhari,81,11,,Sukesh Hegde,111,4,,Vikas Kale,179,3,,Dharmaraj Cheralathan,42,3,,Rohit Baliyan,261,3,,,False,False
14,"Pro Kabaddi League Season 3, 2016",W,3,02/07/2016 8:00:00 ,Bengal Warriors beat Puneri Paltan (33-28),02/07/2016 8:00:00 ,Completed,5,4,kabaddi,Netaji Indoor Stadium,136,League,Match 15,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengal Warriors,33,true,Puneri Paltan,28,false,Bengal Warriors,Nitin Tomar,320,11,,Bajirao Hodage,164,4,,Mahesh Goud,66,4,,Girish Maruti Ernak,161,3,,Jang Kun Lee,12,3,,Manjeet Chhillar,69,13,,Deepak Niwas Hooda,41,4,,Ajay Thakur,26,2,,Prashant Chavan,147,1,All Rounder,Yogesh Hooda,245,1,,,False,False
15,"Pro Kabaddi League Season 3, 2016",W,3,02/07/2016 9:00:00 ,Jaipur Pink Panthers beat Dabang Delhi (39-34),02/07/2016 9:00:00 ,Completed,5,4,kabaddi,Netaji Indoor Stadium,137,League,Match 16,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Jaipur Pink Panthers,39,true,Dabang Delhi,34,false,Jaipur Pink Panthers,Sonu Narwal,190,9,Raider,Rajesh Narwal,86,9,,Samarjeet Singh,159,5,Defender,Ran Singh,160,3,,C. Arun,191,2,,Kashiling Adake,58,9,,Ravinder Pahal,157,9,,Surjeet Singh,119,6,,Amit Singh Chhillar,28,2,Defender,Rohit Kumar Choudary,217,2,,,False,False
