player-total-points_player_name,super-10s_player_name,player-dod-raid-points_player_name,player-successful-raids_player_name,player-raid-points_player_name,player-super-raids_player_name,player-successful-tackles_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-super-tackles_player_name,high-5s_player_name,player-total-points_match_played,super-10s_match_played,player-dod-raid-points_match_played,player-successful-raids_match_played,player-raid-points_match_played,player-super-raids_match_played,player-successful-tackles_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-super-tackles_match_played,high-5s_match_played,player-total-points_position_name,super-10s_position_name,player-dod-raid-points_position_name,player-successful-raids_position_name,player-raid-points_position_name,player-super-raids_position_name,player-successful-tackles_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-super-tackles_position_name,high-5s_position_name,player-total-points_team,super-10s_team,player-dod-raid-points_team,player-successful-raids_team,player-raid-points_team,player-super-raids_team,player-successful-tackles_team,player-tackle-points_team,player-avg-tackle-points_team,player-super-tackles_team,high-5s_team,player-total-points_team_name,super-10s_team_name,player-dod-raid-points_team_name,player-successful-raids_team_name,player-raid-points_team_name,player-super-raids_team_name,player-successful-tackles_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-super-tackles_team_name,high-5s_team_name,player-total-points_team_full_name,super-10s_team_full_name,player-dod-raid-points_team_full_name,player-successful-raids_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,player-successful-tackles_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-super-tackles_team_full_name,high-5s_team_full_name,player-total-points_rank,super-10s_rank,player-dod-raid-points_rank,player-successful-raids_rank,player-raid-points_rank,player-super-raids_rank,player-successful-tackles_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-super-tackles_rank,high-5s_rank,player-total-points_value,super-10s_value,player-dod-raid-points_value,player-successful-raids_value,player-raid-points_value,player-super-raids_value,player-successful-tackles_value,player-tackle-points_value,player-avg-tackle-points_value,player-super-tackles_value,high-5s_value,player-total-points_points_per_match,super-10s_points_per_match,player-dod-raid-points_points_per_match,player-successful-raids_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,player-successful-tackles_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-super-tackles_points_per_match,high-5s_points_per_match,player-total-points_team_id,super-10s_team_id,player-dod-raid-points_team_id,player-successful-raids_team_id,player-raid-points_team_id,player-super-raids_team_id,player-successful-tackles_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-super-tackles_team_id,high-5s_team_id,player-total-points_position_id,super-10s_position_id,player-dod-raid-points_position_id,player-successful-raids_position_id,player-raid-points_position_id,player-super-raids_position_id,player-successful-tackles_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-super-tackles_position_id,high-5s_position_id
Ehsan Zamani Fard,,,Ehsan Zamani Fard,Ehsan Zamani Fard,,Ehsan Zamani Fard,Ehsan Zamani Fard,Ehsan Zamani Fard,,,8,,,8,8,,8,8,8,,,Defender,,,Defender,Defender,,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,,,DEL,DEL,,DEL,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,70,,,49,51,,71,72,78,,,6,,,3,4,,2,2,0.25,,,0.75,,,0.375,0.5,,0.25,0.25,0.03125,,,2,,,2,2,,2,2,2,,,9,,,9,9,,9,9,9,,
Farhad Kamal Gharibi,,,,,,Farhad Kamal Gharibi,Farhad Kamal Gharibi,Farhad Kamal Gharibi,Farhad Kamal Gharibi,,2,,,,,,2,2,2,2,,Defender,,,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,KOL,,,,,,KOL,KOL,KOL,KOL,,Bengal Warriors,,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,92,,,,,,76,73,38,44,,2,,,,,,1,2,1,1,,1,,,,,,0.5,1,0.5,0.5,,4,,,,,,4,4,4,4,,9,,,,,,9,9,9,9,
Takamitsu Kono,,,Takamitsu Kono,Takamitsu Kono,,Takamitsu Kono,Takamitsu Kono,Takamitsu Kono,,,1,,,1,1,,1,1,1,,,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,DEL,,,DEL,DEL,,DEL,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,93,,,61,64,,77,78,39,,,2,,,1,1,,1,1,1,,,2,,,1,1,,1,1,1,,,2,,,2,2,,2,2,2,,,0,,,0,0,,0,0,0,,
Simon Kibura,,Simon Kibura,Simon Kibura,Simon Kibura,,Simon Kibura,Simon Kibura,Simon Kibura,,,4,,4,4,4,,4,4,4,,,Raider,,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,PUN,,PUN,PUN,PUN,,PUN,PUN,PUN,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,67,,39,44,46,,72,74,60,,,8,,1,5,6,,2,2,0.5,,,2,,0.25,1.25,1.5,,0.5,0.5,0.125,,,7,,7,7,7,,7,7,7,,,8,,8,8,8,,8,8,8,,
Dong Ju Hong,,,Dong Ju Hong,Dong Ju Hong,,,,,,,2,,,2,2,,,,,,,All Rounder,,,All Rounder,All Rounder,,,,,,,,,,,,,,,,,,DEL,,,DEL,DEL,,,,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,94,,,62,65,,,,,,,1,,,1,1,,,,,,,0.5,,,0.5,0.5,,,,,,,2,,,2,2,,,,,,,0,,,0,0,,,,,,
Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,,,11,11,11,11,11,11,11,11,11,,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,KOL,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,21,13,8,20,19,3,73,75,80,,,57,2,11,39,55,5,2,2,0.18,,,5.181818181818182,0.1818181818181818,1,3.5454545454545454,5,0.4545454545454545,0.1818181818181818,0.1818181818181818,0.016363636,,,4,4,4,4,4,4,4,4,4,,,8,8,8,8,8,8,8,8,8,,
Seong Ryeol Kim,,,,,,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,,,3,,,,,,3,3,3,,,Defender,,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,KOL,,,,,,KOL,KOL,KOL,,,Bengal Warriors,,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,86,,,,,,59,60,33,,,4,,,,,,4,4,1.33,,,1.3333333333333333,,,,,,1.3333333333333333,1.3333333333333333,0.4433333333333333,,,4,,,,,,4,4,4,,,9,,,,,,9,9,9,,
Tae Deok Eom,,Tae Deok Eom,Tae Deok Eom,Tae Deok Eom,,Tae Deok Eom,Tae Deok Eom,Tae Deok Eom,Tae Deok Eom,,9,,9,9,9,,9,9,9,9,,Defender,,Defender,Defender,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,87,,40,60,62,,78,71,79,45,,4,,1,1,2,,1,2,0.22,1,,0.4444444444444444,,0.1111111111111111,0.1111111111111111,0.2222222222222222,,0.1111111111111111,0.2222222222222222,0.024444444,0.1111111111111111,,6,,6,6,6,,6,6,6,6,,9,,9,9,9,,9,9,9,9,
Waleed Al Hasani,,Waleed Al Hasani,Waleed Al Hasani,Waleed Al Hasani,Waleed Al Hasani,,,,,,6,,6,6,6,6,,,,,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,,,,PUN,,PUN,PUN,PUN,PUN,,,,,,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,,,,,59,,41,32,32,27,,,,,,14,,1,10,14,1,,,,,,2.3333333333333335,,0.1666666666666666,1.6666666666666667,2.3333333333333335,0.1666666666666666,,,,,,7,,7,7,7,7,,,,,,8,,8,8,8,8,,,,,
Atif Waheed,,,,,,Atif Waheed,Atif Waheed,Atif Waheed,,,3,,,,,,3,3,3,,,All Rounder,,,,,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,HYD,,,,,,HYD,HYD,HYD,,,Telugu Titans,,,,,,Telugu Titans,Telugu Titans,Telugu Titans,,,95,,,,,,79,79,70,,,1,,,,,,1,1,0.33,,,0.3333333333333333,,,,,,0.3333333333333333,0.3333333333333333,0.11,,,8,,,,,,8,8,8,,,0,,,,,,0,0,0,,
Wajid Ali,,,Wajid Ali,Wajid Ali,,Wajid Ali,Wajid Ali,Wajid Ali,,,4,,,4,4,,4,4,4,,,All Rounder,,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,HYD,,,HYD,HYD,,HYD,HYD,HYD,,,Telugu Titans,,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,,,73,,,50,52,,80,80,77,,,5,,,3,4,,1,1,0.25,,,1.25,,,0.75,1,,0.25,0.25,0.0625,,,8,,,8,8,,8,8,8,,,0,,,0,0,,0,0,0,,
Wasim Sajjad,,,,,,Wasim Sajjad,Wasim Sajjad,Wasim Sajjad,Wasim Sajjad,,15,,,,,,15,15,15,15,,Defender,,,,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,,,,,,PAT,PAT,PAT,PAT,,Patna Pirates,,,,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,44,,,,,,13,12,17,12,,27,,,,,,24,27,1.8,3,,1.8,,,,,,1.6,1.8,0.12,0.2,,6,,,,,,6,6,6,6,,9,,,,,,9,9,9,9,
Sinotharan Kanesharajah,,,Sinotharan Kanesharajah,Sinotharan Kanesharajah,Sinotharan Kanesharajah,Sinotharan Kanesharajah,Sinotharan Kanesharajah,Sinotharan Kanesharajah,,,1,,,1,1,1,1,1,1,,,Raider,,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,BLR,,,BLR,BLR,BLR,BLR,BLR,BLR,,,Bengaluru Bulls,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,76,,,59,53,28,81,81,40,,,5,,,2,4,1,1,1,1,,,5,,,2,4,1,1,1,1,,,1,,,1,1,1,1,1,1,,,8,,,8,8,8,8,8,8,,
Dovlet Boshimov,,Dovlet Boshimov,Dovlet Boshimov,Dovlet Boshimov,,,,,,,2,,2,2,2,,,,,,,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,,,,,,PAT,,PAT,PAT,PAT,,,,,,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,,,,,,,85,,42,51,54,,,,,,,4,,1,3,4,,,,,,,2,,0.5,1.5,2,,,,,,,6,,6,6,6,,,,,,,8,,8,8,8,,,,,,
Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,,15,15,15,15,15,15,15,15,15,,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,BLR,,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,,4,5,18,5,4,21,52,56,71,,,127,5,8,96,122,2,5,5,0.33,,,8.466666666666667,0.3333333333333333,0.5333333333333333,6.4,8.133333333333333,0.1333333333333333,0.3333333333333333,0.3333333333333333,0.022,,,1,1,1,1,1,1,1,1,1,,,8,8,8,8,8,8,8,8,8,,
