player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4947,Ashu Malik,23,41,2,,DEL,1,8,Raider,Dabang Delhi K.C.,1.7826086956521738
3054,Vinay,23,40,28,,HAR,2,8,Raider,Haryana Steelers,1.7391304347826086
757,Sachin,22,38,6,,PAT,3,8,Raider,Patna Pirates,1.7272727272727273
2024,Arjun Deshwal,23,36,3,,JAI,4,8,Raider,Jaipur Pink Panthers,1.565217391304348
4022,Mohit Goyat,22,33,7,,PUN,5,8,Raider,Puneri Paltan,1.5
5124,Parteek Dahiya,20,33,31,,GUJ,6,8,Raider,Gujarat Giants,1.65
3233,Pankaj Mohite,22,32,7,,PUN,7,8,Raider,Puneri Paltan,1.4545454545454546
3097,Ajinkya Pawar,21,28,29,,CHE,8,8,Raider,Tamil Thalaivas,1.3333333333333333
660,Bhavani Rajput,20,26,3,,JAI,9,8,Raider,Jaipur Pink Panthers,1.3
5093,Narender,21,24,29,,CHE,10,8,Raider,Tamil Thalaivas,1.1428571428571428
763,Manjeet,22,22,6,,PAT,11,8,Raider,Patna Pirates,1.0
318,Pawan Sehrawat,21,21,8,,HYD,12,8,Raider,Telugu Titans,1.0
143,Maninder Singh,21,18,4,,KOL,13,8,Raider,Bengal Warriors,0.8571428571428571
4960,Aslam Mustafa Inamdar,23,18,7,,PUN,14,0,All-rounder,Puneri Paltan,0.782608695652174
3966,Rakesh,21,18,31,,GUJ,15,8,Raider,Gujarat Giants,0.8571428571428571
4183,Meetu Sharma,22,18,2,,DEL,16,8,Raider,Dabang Delhi K.C.,0.8181818181818182
197,Pardeep Narwal,17,17,30,,U.P.,17,8,Raider,U.P. Yoddhas,1.0
366,Vikash Kandola,19,16,1,,BLR,18,8,Raider,Bengaluru Bulls,0.8421052631578947
3053,V Ajith Kumar,19,16,3,,JAI,19,8,Raider,Jaipur Pink Panthers,0.8421052631578947
5282,Sandeep Kumar ,20,16,6,,PAT,20,8,Raider,Patna Pirates,0.8
5252,Amirmohammad Zafardanesh,20,15,5,,MUM,21,0,All-Rounder,U Mumba,0.75
5138,Akshit ,10,15,1,,BLR,22,0,Left Raider,Bengaluru Bulls,1.5
4179,Sushil,16,15,1,,BLR,23,8,Raider,Bengaluru Bulls,0.9375
4944,Bharat,18,14,1,,BLR,24,8,Raider,Bengaluru Bulls,0.7777777777777778
3128,Sonu,18,14,31,,GUJ,25,8,Raider,Gujarat Giants,0.7777777777777778
3032,Guman Singh,18,13,5,,MUM,26,8,Raider,U Mumba,0.7222222222222222
3023,Rohit Gulia,16,12,31,,GUJ,27,0,All-Rounder,Gujarat Giants,0.75
4757,Vishwas S,16,12,4,,KOL,28,8,Raider,Bengal Warriors,0.75
5158,Omkar Patil,10,12,8,,HYD,29,0,Right Raider,Telugu Titans,1.2
5185,Nitin Kumar,20,12,4,,KOL,30,0,Right Raider,Bengal Warriors,0.6
5163,Gagana Gowda,13,11,30,,U.P.,31,0,Right Raider,U.P. Yoddhas,0.8461538461538461
4108,Shivam Patare,23,10,28,,HAR,32,0,Left Raider,Haryana Steelers,0.43478260869565216
3241,Surender Gill,10,10,30,,U.P.,33,8,Raider,U.P. Yoddhas,1.0
4959,Akash Shinde,13,10,7,,PUN,34,8,Raider,Puneri Paltan,0.7692307692307693
3965,Manjeet,20,9,2,,DEL,35,8,Raider,Dabang Delhi K.C.,0.45
3970,Himanshu Narwal,6,9,29,,CHE,36,8,Raider,Tamil Thalaivas,1.5
4193,Sudhakar M ,19,9,6,,PAT,37,8,Raider,Patna Pirates,0.47368421052631576
106,Shrikant Jadhav,15,9,4,,KOL,38,8,Raider,Bengal Warriors,0.6
3038,Neeraj Narwal,12,8,1,,BLR,39,8,Raider,Bengaluru Bulls,0.6666666666666666
