player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4925,Mohammadreza Chiyaneh,24,99,7,,PUN,1,0,All-Rounder,Puneri Paltan,4.125
4949,Krishan,24,78,6,,PAT,2,9,Defender,Patna Pirates,3.25
5144,Yogesh ,23,74,2,,DEL,3,0,Defender - Right Corner,Dabang Delhi K.C.,3.217391304347826
4186,Rahul Sethpal,23,73,28,,HAR,4,0,Defender - Right Corner,Haryana Steelers,3.1739130434782608
4954,Mohit Nandal,24,70,28,,HAR,5,0,Defender - Right Cover,Haryana Steelers,2.9166666666666665
3574,Ankush,22,70,3,,JAI,6,0,Defender - Left Corner,Jaipur Pink Panthers,3.1818181818181817
4965,Sahil Gulia,22,69,29,,CHE,7,0,Defender - Left Corner,Tamil Thalaivas,3.1363636363636362
5128,Gaurav Khatri,24,69,7,,PUN,8,0,Defender - Right Corner,Puneri Paltan,2.875
4184,Jaideep Dahiya,23,68,28,,HAR,9,0,Defender - Left Cover,Haryana Steelers,2.9565217391304346
3236,Sagar,18,66,29,,CHE,10,0,Defender - Right Corner,Tamil Thalaivas,3.6666666666666665
5169,Ankit ,23,66,6,,PAT,11,0,All-Rounder,Patna Pirates,2.869565217391304
3103,Shubham Shinde,22,62,4,,KOL,12,0,Defender - Right Corner,Bengal Warriors,2.8181818181818183
259,Fazel Atrachali,23,62,31,,GUJ,13,9,Defender,Gujarat Giants,2.6956521739130435
3240,Sumit,22,61,30,,U.P.,14,0,Defender - Left Corner,U.P. Yoddhas,2.772727272727273
5022,Reza Mirbagheri,22,60,3,,JAI,15,9,Defender,Jaipur Pink Panthers,2.727272727272727
4192,Abinesh Nadarajan,24,57,7,,PUN,16,0,Defender - Right Cover,Puneri Paltan,2.375
322,Surjeet Singh,21,56,1,,BLR,17,0,Defender - Right Cover,Bengaluru Bulls,2.6666666666666665
368,Sunil Kumar,23,55,3,,JAI,18,9,Defender,Jaipur Pink Panthers,2.391304347826087
3000,Sombir,22,52,31,,GUJ,19,9,Defender,Gujarat Giants,2.3636363636363638
5114,Vaibhav Garje,22,52,4,,KOL,20,0,Defender - Right Cover,Bengal Warriors,2.3636363636363638
3228,Saurabh Nandal,21,49,1,,BLR,21,0,Defender - Right Corner,Bengaluru Bulls,2.3333333333333335
5141,Ashish ,19,48,2,,DEL,22,0,Defender - Left Corner,Dabang Delhi K.C.,2.526315789473684
5032,Mohit,22,47,28,,HAR,23,0,Defender - Left Corner,Haryana Steelers,2.1363636363636362
5160,Sombir ,15,44,5,,MUM,24,0,Defender - Left Corner,U Mumba,2.933333333333333
4956,Deepak Singh,14,43,31,,GUJ,25,0,Defender - Right Cover,Gujarat Giants,3.0714285714285716
4769,Sahul Kumar,21,39,3,,JAI,26,0,Defender - Right Corner,Jaipur Pink Panthers,1.8571428571428572
3014,M. Abishek,22,39,29,,CHE,27,0,Defender - Right Cover,Tamil Thalaivas,1.7727272727272727
290,Sandeep Dhull,16,37,8,,HYD,28,0,Defender - Left Corner,Telugu Titans,2.3125
3088,Nitesh Kumar,16,37,30,,U.P.,29,9,Defender,U.P. Yoddhas,2.3125
3083,Vishal Bhardwaj,19,36,2,,DEL,30,9,Defender,Dabang Delhi K.C.,1.894736842105263
5187,Mohit ,14,36,8,,HYD,31,0,Defender - Right Corner,Telugu Titans,2.5714285714285716
5254,Milad Jabbari,13,33,8,,HYD,32,9,Defender,Telugu Titans,2.5384615384615383
3234,Sanket Sawant,22,32,7,,PUN,33,0,Defender - Left Cover,Puneri Paltan,1.4545454545454546
3107,Neeraj Kumar,14,31,6,,PAT,34,0,Defender - Right Cover,Patna Pirates,2.2142857142857144
769,Mahender Singh,16,31,5,,MUM,35,0,Defender - Left Cover,U Mumba,1.9375
5162,Hitesh ,17,31,30,,U.P.,36,0,Defender - Right Corner,U.P. Yoddhas,1.8235294117647058
5174,Ajit Pawar,20,30,8,,HYD,37,0,Defender - Left Cover,Telugu Titans,1.5
2041,Gurdeep,16,29,30,,U.P.,38,0,All-Rounder,U.P. Yoddhas,1.8125
3086,Surinder Singh,18,29,5,,MUM,39,9,Defender,U Mumba,1.6111111111111112
4022,Mohit Goyat,22,29,7,,PUN,40,8,Raider,Puneri Paltan,1.3181818181818181
3964,Rinku,9,28,5,,MUM,41,0,Defender - Right Corner,U Mumba,3.111111111111111
5137,Parteek ,13,27,1,,BLR,42,0,Defender - Left Cover,Bengaluru Bulls,2.076923076923077
