player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
3083,Vishal Bharadwaj,17,9,8,,HYD,1,9,defender,Telugu Titans,0.5294117647058824
3088,Nitesh Kumar,25,8,30,,U.P.,2,9,Defender,U.P. Yoddha,0.32
489,Abozar Mighani,21,8,8,,HYD,3,9,Defender,Telugu Titans,0.38095238095238093
142,Sandeep Narwal,18,7,7,,PUN,4,0,All Rounder,Puneri Paltan,0.3888888888888889
240,Ravi Kumar,22,7,7,,PUN,5,9,Defender,Puneri Paltan,0.3181818181818182
290,Sandeep Dhull,22,5,3,,JAI,6,9,Defender,Jaipur Pink Panthers,0.22727272727272727
69,Manjeet Chhillar,19,5,29,,CHE,7,0,All Rounder,Tamil Thalaivas,0.2631578947368421
778,Narender ,25,5,30,,U.P.,8,0,,U.P. Yoddha,0.2
3100,Parveen ,19,5,28,,HAR,9,0,Defender - Left Cover,Haryana Steelers,0.2631578947368421
773,Satpal ,12,4,2,,DEL,10,9,Defender,Dabang Delhi K.C.,0.3333333333333333
732,Kuldeep Singh (732),22,4,28,,HAR,11,0,All Rounder,Haryana Steelers,0.18181818181818182
764,Vinod Kumar,17,4,5,,MUM,12,8,Raider,U Mumba,0.23529411764705882
519,Young Chang Ko,12,4,3,,JAI,13,9,Defender,Jaipur Pink Panthers,0.3333333333333333
482,Farhad Milaghardan,22,4,8,,HYD,14,9,Defender,Telugu Titans,0.18181818181818182
311,Anil Kumar,18,4,8,,HYD,15,0,,Telugu Titans,0.2222222222222222
357,Parvesh Bhainswal,25,4,31,,GUJ,16,9,defender,Gujarat Giants,0.16
368,Sunil Kumar,25,4,31,,GUJ,17,9,Defender,Gujarat Giants,0.16
54,Jeeva Kumar,19,4,30,,U.P.,18,9,Defender,U.P. Yoddha,0.21052631578947367
194,Joginder Narwal,22,4,2,,DEL,19,9,Defender,Dabang Delhi K.C.,0.18181818181818182
161,Girish Maruti Ernak,20,4,7,,PUN,20,9,Defender,Puneri Paltan,0.2
212,Amit Hooda,18,4,29,,CHE,21,9,Defender,Tamil Thalaivas,0.2222222222222222
218,Sachin Kumar,25,4,30,,U.P.,22,9,Defender,U.P. Yoddha,0.16
179,Vikas kale,22,3,6,,PAT,23,9,Defender,Patna Pirates,0.13636363636363635
202,Ashish Kumar,24,3,1,,BLR,24,0,All Rounder,Bengaluru Bulls,0.125
259,Fazel Atrachali,23,3,5,,MUM,25,9,defender,U Mumba,0.13043478260869565
