player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
Arjun Deshwal,2024,24,296,3,,JAI,1,8,Raider,Jaipur Pink Panthers,12.333333333333334
Bharat,4944,23,282,1,,BLR,2,8,Raider,Bengaluru Bulls,12.26086956521739
Naveen Kumar,2296,23,258,2,,DEL,3,8,Raider,Dabang Delhi K.C.,11.217391304347826
Narender,5093,23,249,29,,CHE,4,8,Raider,Tamil Thalaivas,10.826086956521738
Maninder Singh,143,21,240,4,,KOL,5,8,Raider,Bengal Warriors,11.428571428571429
Pardeep Narwal,197,22,220,30,,U.P.,6,8,Raider,U.P. Yoddhas,10
Parteek Dahiya,5124,19,183,31,,GUJ,7,0,All-Rounder,Gujarat Giants,9.631578947368421
Sachin,757,20,179,6,,PAT,8,8,Raider,Patna Pirates,8.95
Manjeet,763,22,163,28,,HAR,9,8,Raider,Haryana Steelers,7.409090909090909
Ashu Malik,4947,23,158,2,,DEL,10,8,Raider,Dabang Delhi K.C.,6.869565217391305
Aslam Inamdar,4960,17,150,7,,PUN,11,8,Raider,Puneri Paltan,8.823529411764707
Rohit Gulia,3023,19,148,6,,PAT,12,0,All-Rounder,Patna Pirates,7.7894736842105265
Surender Gill,3241,14,145,30,,U.P.,13,8,Raider,U.P. Yoddhas,10.357142857142858
Siddharth Desai,2026,17,144,8,,HYD,14,8,Raider,Telugu Titans,8.470588235294118
Akash Shinde,4959,22,142,7,,PUN,15,8,Raider,Puneri Paltan,6.454545454545454
Ajinkya Pawar,3097,22,141,29,,CHE,16,8,Raider,Tamil Thalaivas,6.409090909090909
Vikash Kandola,366,24,139,1,,BLR,17,8,Raider,Bengaluru Bulls,5.791666666666667
Guman Singh,3032,18,137,5,,MUM,18,8,Raider,U Mumba,7.611111111111111
Mohit Goyat,4022,17,137,7,,PUN,19,8,Raider,Puneri Paltan,8.058823529411764
Meetu Sharma,4183,20,137,28,,HAR,20,8,Raider,Haryana Steelers,6.85
Rakesh,3966,17,133,31,,GUJ,21,8,Raider,Gujarat Giants,7.823529411764706
