player-super-tackles_player_name,player-raid-points_player_name,player-super-raids_player_name,high-5s_player_name,player-tackle-points_player_name,player-avg-tackle-points_player_name,player-dod-raid-points_player_name,player-total-points_player_name,player-successful-tackles_player_name,player-successful-raids_player_name,super-10s_player_name,player-super-tackles_match_played,player-raid-points_match_played,player-super-raids_match_played,high-5s_match_played,player-tackle-points_match_played,player-avg-tackle-points_match_played,player-dod-raid-points_match_played,player-total-points_match_played,player-successful-tackles_match_played,player-successful-raids_match_played,super-10s_match_played,player-super-tackles_position_name,player-raid-points_position_name,player-super-raids_position_name,high-5s_position_name,player-tackle-points_position_name,player-avg-tackle-points_position_name,player-dod-raid-points_position_name,player-total-points_position_name,player-successful-tackles_position_name,player-successful-raids_position_name,super-10s_position_name,player-super-tackles_team,player-raid-points_team,player-super-raids_team,high-5s_team,player-tackle-points_team,player-avg-tackle-points_team,player-dod-raid-points_team,player-total-points_team,player-successful-tackles_team,player-successful-raids_team,super-10s_team,player-super-tackles_team_name,player-raid-points_team_name,player-super-raids_team_name,high-5s_team_name,player-tackle-points_team_name,player-avg-tackle-points_team_name,player-dod-raid-points_team_name,player-total-points_team_name,player-successful-tackles_team_name,player-successful-raids_team_name,super-10s_team_name,player-super-tackles_team_full_name,player-raid-points_team_full_name,player-super-raids_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-avg-tackle-points_team_full_name,player-dod-raid-points_team_full_name,player-total-points_team_full_name,player-successful-tackles_team_full_name,player-successful-raids_team_full_name,super-10s_team_full_name,player-super-tackles_rank,player-raid-points_rank,player-super-raids_rank,high-5s_rank,player-tackle-points_rank,player-avg-tackle-points_rank,player-dod-raid-points_rank,player-total-points_rank,player-successful-tackles_rank,player-successful-raids_rank,super-10s_rank,player-super-tackles_value,player-raid-points_value,player-super-raids_value,high-5s_value,player-tackle-points_value,player-avg-tackle-points_value,player-dod-raid-points_value,player-total-points_value,player-successful-tackles_value,player-successful-raids_value,super-10s_value,player-super-tackles_points_per_match,player-raid-points_points_per_match,player-super-raids_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-avg-tackle-points_points_per_match,player-dod-raid-points_points_per_match,player-total-points_points_per_match,player-successful-tackles_points_per_match,player-successful-raids_points_per_match,super-10s_points_per_match,player-super-tackles_team_id,player-raid-points_team_id,player-super-raids_team_id,high-5s_team_id,player-tackle-points_team_id,player-avg-tackle-points_team_id,player-dod-raid-points_team_id,player-total-points_team_id,player-successful-tackles_team_id,player-successful-raids_team_id,super-10s_team_id,player-super-tackles_position_id,player-raid-points_position_id,player-super-raids_position_id,high-5s_position_id,player-tackle-points_position_id,player-avg-tackle-points_position_id,player-dod-raid-points_position_id,player-total-points_position_id,player-successful-tackles_position_id,player-successful-raids_position_id,super-10s_position_id
,Simon Kibura,,,,,Simon Kibura,Simon Kibura,,Simon Kibura,,,2.0,,,,,2.0,2,,2.0,,,Raider,,,,,Raider,Raider,,Raider,,,,,,,,,,,,,,PUN,,,,,PUN,PUN,,PUN,,,Puneri Paltan,,,,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,,,62.0,,,,,63.0,105,,65.0,,,2.0,,,,,1.0,2,,2.0,,,1.0,,,,,0.5,1.0,,1.0,,,7.0,,,,,7.0,7,,7.0,,,8.0,,,,,8.0,8,,8.0,
Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,15.0,15.0,15.0,,15.0,15.0,15.0,15,15.0,15.0,15.0,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,18.0,5.0,11.0,,36.0,58.0,1.0,6,37.0,6.0,6.0,2.0,79.0,2.0,,11.0,0.73,33.0,90,9.0,64.0,2.0,0.1333333333333333,5.266666666666667,0.1333333333333333,,0.7333333333333333,0.0486666666666666,2.2,6.0,0.6,4.266666666666667,0.1333333333333333,4.0,4.0,4.0,,4.0,4.0,4.0,4,4.0,4.0,4.0,8.0,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
,Seong Ryeol Kim,,,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,Seong Ryeol Kim,,,8.0,,,8.0,8.0,8.0,8,8.0,8.0,,,Defender,,,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,DEL,,,DEL,DEL,DEL,DEL,DEL,DEL,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,61.0,,,76.0,83.0,44.0,89,75.0,66.0,,,3.0,,,2.0,0.25,2.0,5,2.0,2.0,,,0.375,,,0.25,0.03125,0.25,0.625,0.25,0.25,,,2.0,,,2.0,2.0,2.0,2,2.0,2.0,,,9.0,,,9.0,9.0,9.0,9,9.0,9.0,
,Tae Deok Eom,,,,,,Tae Deok Eom,,Tae Deok Eom,,,7.0,,,,,,7,,7.0,,,Defender,,,,,,Defender,,Defender,,,,,,,,,,,,,,PAT,,,,,,PAT,,PAT,,,Patna Pirates,,,,,,Patna Pirates,,Patna Pirates,,,81.0,,,,,,112,,68.0,,,1.0,,,,,,1,,1.0,,,0.1428571428571428,,,,,,0.1428571428571428,,0.1428571428571428,,,6.0,,,,,,6,,6.0,,,9.0,,,,,,9,,9.0,
,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,14.0,14.0,,14.0,14.0,14.0,14,14.0,14.0,14.0,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,PUN,PUN,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,15.0,12.0,,60.0,81.0,4.0,15,57.0,15.0,12.0,,52.0,2.0,,4.0,0.29,23.0,56,4.0,41.0,1.0,,3.7142857142857144,0.1428571428571428,,0.2857142857142857,0.0207142857142857,1.6428571428571428,4.0,0.2857142857142857,2.9285714285714284,0.0714285714285714,,7.0,7.0,,7.0,7.0,7.0,7,7.0,7.0,7.0,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,8.0
,,,,Amit Singh Chhillar,Amit Singh Chhillar,,Amit Singh Chhillar,Amit Singh Chhillar,,,,,,,5.0,5.0,,5,5.0,,,,,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,,,,DEL,DEL,,DEL,DEL,,,,,,,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,,,,54.0,41.0,,88,48.0,,,,,,,5.0,1.0,,5,5.0,,,,,,,1.0,0.2,,1.0,1.0,,,,,,,2.0,2.0,,2,2.0,,,,,,,9.0,9.0,,9,9.0,,
,Anup Kumar,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,,13.0,13.0,,13.0,13.0,13.0,13,13.0,13.0,,,Raider,Raider,,Raider,Raider,Raider,Raider,Raider,Raider,,,,,,,,,,,,,,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,7.0,5.0,,63.0,89.0,43.0,9,60.0,7.0,,,76.0,3.0,,3.0,0.23,3.0,79,3.0,63.0,,,5.846153846153846,0.2307692307692307,,0.2307692307692307,0.0176923076923076,0.2307692307692307,6.076923076923077,0.2307692307692307,4.846153846153846,,,5.0,5.0,,5.0,5.0,5.0,5,5.0,5.0,,,8.0,8.0,,8.0,8.0,8.0,8,8.0,8.0,
,Bhupender Singh,,,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,,,11.0,,,11.0,11.0,11.0,11,11.0,11.0,,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,MUM,,,MUM,MUM,MUM,MUM,MUM,MUM,,,U Mumba,,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,41.0,,,87.0,97.0,21.0,69,82.0,44.0,,,11.0,,,1.0,0.09,10.0,12,1.0,8.0,,,1.0,,,0.0909090909090909,0.0081818181818181,0.9090909090909092,1.0909090909090908,0.0909090909090909,0.7272727272727273,,,5.0,,,5.0,5.0,5.0,5,5.0,5.0,,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,
,Deepak Niwas Hooda,,,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,,12.0,,,12.0,12.0,12.0,12,12.0,12.0,12.0,,All Rounder,,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,PUN,,,PUN,PUN,PUN,PUN,PUN,PUN,PUN,,Puneri Paltan,,,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,9.0,,,46.0,64.0,5.0,11,43.0,8.0,13.0,,69.0,,,7.0,0.58,21.0,76,7.0,62.0,1.0,,5.75,,,0.5833333333333334,0.0483333333333333,1.75,6.333333333333333,0.5833333333333334,5.166666666666667,0.0833333333333333,,7.0,,,7.0,7.0,7.0,7,7.0,7.0,7.0,,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0.0
Dharmaraj Cheralathan,Dharmaraj Cheralathan,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,14.0,14.0,,14.0,14.0,14.0,14.0,14,14.0,14.0,,Defender,Defender,,Defender,Defender,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,HYD,HYD,,HYD,HYD,HYD,HYD,HYD,HYD,HYD,,Telugu Titans,Telugu Titans,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,8.0,51.0,,10.0,12.0,14.0,59.0,30,11.0,57.0,,3.0,6.0,,2.0,31.0,2.21,1.0,37,28.0,3.0,,0.2142857142857142,0.4285714285714285,,0.1428571428571428,2.2142857142857144,0.1578571428571428,0.0714285714285714,2.642857142857143,2.0,0.2142857142857142,,8.0,8.0,,8.0,8.0,8.0,8.0,8,8.0,8.0,,9.0,9.0,,9.0,9.0,9.0,9.0,9,9.0,9.0,
