player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
259,Fazel Atrachali,24,82,5,,MUM,1,9,defender,U Mumba,3.4166666666666665
3240,Sumit ,22,77,30,,U.P.,2,9,Defender,U.P. Yoddha,3.5
3088,Nitesh Kumar,23,75,30,,U.P.,3,9,Defender,U.P. Yoddha,3.260869565217391
290,Sandeep Dhull,22,73,3,,JAI,4,9,Defender,Jaipur Pink Panthers,3.3181818181818183
621,Baldev Singh,24,66,4,,KOL,5,0,Defender - Right Corner,Bengal Warriors,2.75
3084,Rinku Narwal,23,64,4,,KOL,6,9,Defender,Bengal Warriors,2.782608695652174
322,Surjeet Singh,21,63,7,,PUN,7,9,Defender,Puneri Paltan,3.0
157,Ravinder Pahal,23,63,2,,DEL,8,9,Defender,Dabang Delhi K.C.,2.739130434782609
3083,Vishal Bharadwaj,19,62,8,,HYD,9,9,defender,Telugu Titans,3.263157894736842
769,Mahender Singh,21,61,1,,BLR,10,9,Defender,Bengaluru Bulls,2.9047619047619047
3107,Neeraj Kumar,22,59,6,,PAT,11,9,Defender,Patna Pirates,2.6818181818181817
3228,Saurabh Nandal,23,56,1,,BLR,12,9,Defender,Bengaluru Bulls,2.4347826086956523
142,Sandeep Narwal,24,56,5,,MUM,13,0,All Rounder,U Mumba,2.3333333333333335
357,Parvesh Bhainswal,22,55,31,,GUJ,14,9,defender,Gujarat Giants,2.5
3106,Sunil ,21,55,28,,HAR,15,0,Defender - Right Corner,Haryana Steelers,2.619047619047619
3086,Surinder Singh,24,54,5,,MUM,16,9,Defender,U Mumba,2.25
579,Jaideep ,22,52,6,,PAT,17,9,Defender,Patna Pirates,2.3636363636363638
240,Ravi Kumar,21,52,28,,HAR,18,9,Defender,Haryana Steelers,2.4761904761904763
3115,Amit Sheoran,24,50,1,,BLR,19,9,Defender,Bengaluru Bulls,2.0833333333333335
194,Joginder Narwal,22,49,2,,DEL,20,9,Defender,Dabang Delhi K.C.,2.227272727272727
3159,Vishal ,16,47,3,,JAI,21,9,defender,Jaipur Pink Panthers,2.9375
368,Sunil Kumar,18,46,31,,GUJ,22,9,Defender,Gujarat Giants,2.5555555555555554
212,Amit Hooda,16,44,3,,JAI,23,9,Defender,Jaipur Pink Panthers,2.75
42,Dharmaraj Cheralathan,19,43,28,,HAR,24,9,Defender,Haryana Steelers,2.263157894736842
3239,Ashu Singh,23,42,30,,U.P.,25,9,Defender,U.P. Yoddha,1.826086956521739
249,Hadi Oshtorak,22,40,6,,PAT,26,0,All Rounder,Patna Pirates,1.8181818181818181
