match_played,value,team_id,team_name,rank,points_per_match
24,950,7,Puneri Paltan,1,39.583333333333336
25,920,28,Haryana Steelers,2,36.8
24,874,6,Patna Pirates,3,36.416666666666664
23,843,3,Jaipur Pink Panthers,4,36.65217391304348
22,832,29,Tamil Thalaivas,5,37.81818181818182
23,829,2,Dabang Delhi K.C.,6,36.04347826086956
22,820,4,Bengal Warriors,7,37.27272727272727
22,796,5,U Mumba,8,36.18181818181818
23,785,31,Gujarat Giants,9,34.130434782608695
22,743,30,U.P. Yoddhas,10,33.77272727272727
22,736,8,Telugu Titans,11,33.45454545454545
22,734,1,Bengaluru Bulls,12,33.36363636363637
