match_played,value,team_id,team_name,rank,points_per_match
24,13.79,7,Puneri Paltan,1,0.5745833333333333
22,12.0,29,Tamil Thalaivas,2,0.5454545454545454
25,11.84,28,Haryana Steelers,3,0.4736
22,10.32,1,Bengaluru Bulls,4,0.4690909090909091
24,10.08,6,Patna Pirates,5,0.42
23,9.96,3,Jaipur Pink Panthers,6,0.4330434782608696
23,9.83,31,Gujarat Giants,7,0.4273913043478261
23,9.61,2,Dabang Delhi K.C.,8,0.41782608695652174
22,9.5,8,Telugu Titans,9,0.4318181818181818
22,9.09,30,U.P. Yoddhas,10,0.41318181818181815
22,9.05,5,U Mumba,11,0.4113636363636364
22,8.73,4,Bengal Warriors,12,0.39681818181818185
