team_id,team-successful-tackles_team_name,team-all-outs-inflicted_team_name,team-total-points-conceded_team_name,team-dod-raid-points_team_name,team-average-raid-points_team_name,team-raid-points_team_name,team-average-tackle-points_team_name,team-super-raid_team_name,team-total-points_team_name,team-successful-raids_team_name,team-avg-points-scored_team_name,team-all-outs-conceded_team_name,team-tackle-points_team_name,team-super-tackles_team_name,team-successful-tackles_match_played,team-all-outs-inflicted_match_played,team-total-points-conceded_match_played,team-dod-raid-points_match_played,team-average-raid-points_match_played,team-raid-points_match_played,team-average-tackle-points_match_played,team-super-raid_match_played,team-total-points_match_played,team-successful-raids_match_played,team-avg-points-scored_match_played,team-all-outs-conceded_match_played,team-tackle-points_match_played,team-super-tackles_match_played,team-successful-tackles_rank,team-all-outs-inflicted_rank,team-total-points-conceded_rank,team-dod-raid-points_rank,team-average-raid-points_rank,team-raid-points_rank,team-average-tackle-points_rank,team-super-raid_rank,team-total-points_rank,team-successful-raids_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-tackle-points_rank,team-super-tackles_rank,team-successful-tackles_value,team-all-outs-inflicted_value,team-total-points-conceded_value,team-dod-raid-points_value,team-average-raid-points_value,team-raid-points_value,team-average-tackle-points_value,team-super-raid_value,team-total-points_value,team-successful-raids_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-tackle-points_value,team-super-tackles_value,team-successful-tackles_points_per_match,team-all-outs-inflicted_points_per_match,team-total-points-conceded_points_per_match,team-dod-raid-points_points_per_match,team-average-raid-points_points_per_match,team-raid-points_points_per_match,team-average-tackle-points_points_per_match,team-super-raid_points_per_match,team-total-points_points_per_match,team-successful-raids_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-tackle-points_points_per_match,team-super-tackles_points_per_match
1,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,2,7,7,1,1,7,1,1,1,2,9,5,12,219,37,766,73,22.79,547,9.58,19,887,431,36.96,24,230,11,9.125,1.5416666666666667,31.916666666666668,3.0416666666666665,0.9495833333333332,22.791666666666668,0.3991666666666666,0.7916666666666666,36.958333333333336,17.958333333333332,1.54,1.0,9.583333333333334,0.4583333333333333
2,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,24,24,24,24,24,24,24,24,24,24,24,24,24,24,7,4,3,8,4,3,9,10,4,3,5,6,8,5,198,34,824,73,20.13,483,9.0,9,822,401,34.25,28,216,18,8.25,1.4166666666666667,34.333333333333336,3.0416666666666665,0.83875,20.125,0.375,0.375,34.25,16.708333333333332,1.4270833333333333,1.1666666666666667,9.0,0.75
3,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5,8,5,5,9,10,5,4,9,10,8,2,6,4,202,22,780,75,18.86,415,10.23,13,711,334,32.32,32,225,23,9.181818181818182,1.0,35.45454545454545,3.409090909090909,0.8572727272727273,18.863636363636363,0.465,0.5909090909090909,32.31818181818182,15.181818181818182,1.469090909090909,1.4545454545454546,10.227272727272728,1.0454545454545454
4,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,23,23,23,23,23,23,23,23,23,23,23,23,23,23,9,7,9,4,8,8,11,2,7,9,9,10,10,10,186,23,734,85,18.96,436,8.7,15,725,340,31.52,23,200,14,8.08695652173913,1.0,31.91304347826087,3.695652173913043,0.8243478260869566,18.956521739130434,0.3782608695652174,0.6521739130434783,31.52173913043478,14.782608695652174,1.3704347826086956,1.0,8.695652173913043,0.6086956521739131
5,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,23,23,23,23,23,23,23,23,23,23,23,23,23,23,1,1,12,1,5,5,1,3,3,5,1,12,1,8,274,41,672,89,19.96,459,12.57,14,856,372,37.22,16,289,15,11.91304347826087,1.7826086956521738,29.217391304347824,3.869565217391304,0.8678260869565217,19.956521739130434,0.5465217391304348,0.6086956521739131,37.21739130434783,16.17391304347826,1.6182608695652174,0.6956521739130435,12.565217391304348,0.6521739130434783
6,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,5,2,11,2,2,8,6,6,2,3,3,9,9,186,30,835,54,22.55,496,9.14,11,799,406,36.32,30,201,15,8.454545454545455,1.3636363636363635,37.95454545454545,2.4545454545454546,1.025,22.545454545454547,0.4154545454545454,0.5,36.31818181818182,18.454545454545453,1.6509090909090909,1.3636363636363635,9.136363636363637,0.6818181818181818
7,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,22,22,22,22,22,22,22,22,22,22,22,22,22,22,8,12,11,9,12,12,6,12,11,12,11,5,7,2,189,14,694,72,15.73,346,9.95,6,649,286,29.5,29,219,30,8.590909090909092,0.6363636363636364,31.545454545454547,3.272727272727273,0.715,15.727272727272728,0.4522727272727272,0.2727272727272727,29.5,13.0,1.3409090909090908,1.318181818181818,9.954545454545457,1.3636363636363635
8,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,6,10,10,3,11,11,4,9,12,11,12,8,4,1,202,18,702,85,16.05,353,10.59,9,647,289,29.41,25,233,31,9.181818181818182,0.8181818181818182,31.90909090909091,3.863636363636364,0.7295454545454546,16.045454545454547,0.4813636363636364,0.4090909090909091,29.40909090909091,13.136363636363637,1.336818181818182,1.1363636363636365,10.590909090909092,1.4090909090909092
28,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,11,4,12,3,7,10,5,8,6,6,1,11,11,180,16,806,44,20.32,447,8.77,12,715,361,32.5,33,193,13,8.181818181818182,0.7272727272727273,36.63636363636363,2.0,0.9236363636363636,20.318181818181817,0.3986363636363636,0.5454545454545454,32.5,16.40909090909091,1.4772727272727273,1.5,8.772727272727273,0.5909090909090909
29,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,9,8,10,7,9,12,11,10,8,10,7,12,7,173,20,741,67,19.05,419,8.59,7,671,345,30.5,27,189,15,7.863636363636363,0.9090909090909092,33.68181818181818,3.0454545454545454,0.865909090909091,19.045454545454547,0.3904545454545454,0.3181818181818182,30.5,15.681818181818182,1.3863636363636365,1.2272727272727273,8.590909090909092,0.6818181818181818
