match_played,value,team_id,team_name,rank,points_per_match
23,37.22,5,U Mumba,1,1.6182608695652174
24,36.96,1,Bengaluru Bulls,2,1.54
22,36.32,6,Patna Pirates,3,1.6509090909090909
25,35.04,31,Gujarat Giants,4,1.4016
24,34.25,2,Dabang Delhi K.C.,5,1.4270833333333333
22,32.5,28,Haryana Steelers,6,1.4772727272727273
25,32.48,30,U.P. Yoddha,7,1.2992
22,32.32,3,Jaipur Pink Panthers,8,1.469090909090909
23,31.52,4,Bengal Warriors,9,1.3704347826086956
22,30.5,29,Tamil Thalaivas,10,1.3863636363636365
22,29.5,7,Puneri Paltan,11,1.3409090909090908
22,29.41,8,Telugu Titans,12,1.336818181818182
