match_played,value,team_id,team_name,rank,points_per_match
23,241,30,U.P. Yoddha,1,10.478260869565217
22,235,7,Puneri Paltan,2,10.681818181818182
24,217,4,Bengal Warriors,3,9.041666666666666
24,216,5,U Mumba,4,9.0
24,214,2,Dabang Delhi K.C.,5,8.916666666666666
23,210,28,Haryana Steelers,6,9.130434782608695
22,209,3,Jaipur Pink Panthers,7,9.5
24,206,1,Bengaluru Bulls,8,8.583333333333334
22,205,31,Gujarat Giants,9,9.318181818181818
22,200,8,Telugu Titans,10,9.090909090909092
22,196,6,Patna Pirates,11,8.909090909090908
22,177,29,Tamil Thalaivas,12,8.045454545454545
