match_played,value,team_id,team_name,rank,points_per_match
22,80,3,Jaipur Pink Panthers,1,3.6363636363636362
23,80,30,U.P. Yoddha,2,3.4782608695652173
24,79,5,U Mumba,3,3.2916666666666665
22,78,6,Patna Pirates,4,3.5454545454545454
23,76,28,Haryana Steelers,5,3.3043478260869565
22,64,7,Puneri Paltan,6,2.909090909090909
22,63,31,Gujarat Giants,7,2.8636363636363638
24,62,4,Bengal Warriors,8,2.5833333333333335
24,58,2,Dabang Delhi K.C.,9,2.4166666666666665
22,58,29,Tamil Thalaivas,10,2.6363636363636362
24,54,1,Bengaluru Bulls,11,2.25
22,49,8,Telugu Titans,12,2.227272727272727
