match_played,value,team_id,team_name,rank,points_per_match
24,433,1,Bengaluru Bulls,1,18.041666666666668
24,414,2,Dabang Delhi K.C.,2,17.25
24,392,30,U.P. Yoddhas,3,16.333333333333332
22,381,3,Jaipur Pink Panthers,4,17.318181818181817
24,380,6,Patna Pirates,5,15.833333333333334
23,369,7,Puneri Paltan,6,16.043478260869566
22,353,4,Bengal Warriors,7,16.045454545454547
22,352,28,Haryana Steelers,8,16.0
23,348,31,Gujarat Giants,9,15.130434782608695
22,339,5,U Mumba,10,15.409090909090908
22,327,29,Tamil Thalaivas,11,14.863636363636363
22,326,8,Telugu Titans,12,14.818181818181818
