id,result,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
504,W,18/07/15,5,MUM,20,3,JAI,18,,U Mumba Won by 2 Pts,5
506,W,19/07/15,5,MUM,18,1,BLR,10,,U Mumba Won by 8 Pts,5
507,W,20/07/15,5,MUM,9,6,PAT,7,,U Mumba Won by 2 Pts,5
509,W,21/07/15,5,MUM,17,7,PUNE,6,,U Mumba Won by 11 Pts,5
514,W,24/07/15,4,KOL,17,5,MUM,18,,U Mumba Won by 1 Pts,5
518,W,26/07/15,8,HYD,16,5,MUM,14,,U Mumba Won by -2 Pts,5
527,W,01/08/15,2,DEL,15,5,MUM,14,,U Mumba Won by -1 Pts,5
502,W,04/08/15,5,MUM,19,2,DEL,15,,U Mumba Won by 4 Pts,5
536,L,07/08/15,3,JAI,23,5,MUM,16,,Jaipur Pink Panthers Won by 7 Pts,5
540,W,09/08/15,5,MUM,10,4,KOL,7,,U Mumba Won by 3 Pts,5
544,W,12/08/15,1,BLR,15,5,MUM,24,,U Mumba Won by 9 Pts,5
549,W,15/08/15,6,PAT,15,5,MUM,16,,U Mumba Won by 1 Pts,5
554,W,17/08/15,7,PUNE,21,5,MUM,22,,U Mumba Won by 1 Pts,5
555,L,18/08/15,5,MUM,9,8,HYD,21,,Telugu Titans Won by 12 Pts,5
563,W,21/08/15,5,MUM,23,6,PAT,9,,U Mumba Won by 14 Pts,5
561,W,23/08/15,5,MUM,19,1,BLR,15,,U Mumba Won by 4 Pts,5
505,W,19/07/15,8,HYD,16,2,DEL,15,,Telugu Titans Won by 1 Pts,8
508,W,20/07/15,7,PUNE,10,8,HYD,25,,Telugu Titans Won by 15 Pts,8
512,W,23/07/15,4,KOL,14,8,HYD,14,,Telugu Titans Won by 0 Pts,8
518,L,26/07/15,8,HYD,16,5,MUM,14,,U Mumba Won by -2 Pts,8
520,W,27/07/15,3,JAI,11,8,HYD,15,,Telugu Titans Won by 4 Pts,8
524,W,30/07/15,6,PAT,15,8,HYD,17,,Telugu Titans Won by 2 Pts,8
525,L,31/07/15,8,HYD,8,1,BLR,23,,Bengaluru Bulls Won by 15 Pts,8
532,,04/08/15,8,HYD,17,3,JAI,17,,,8
533,L,05/08/15,8,HYD,26,4,KOL,8,,Bengal Warriorz Won by -18 Pts,8
535,W,06/08/15,8,HYD,28,6,PAT,15,,Telugu Titans Won by 13 Pts,8
537,,07/08/15,8,HYD,13,7,PUNE,14,,,8
543,,11/08/15,2,DEL,17,8,HYD,17,,,8
550,L,15/08/15,1,BLR,24,8,HYD,14,,Bengaluru Bulls Won by 10 Pts,8
555,W,18/08/15,5,MUM,9,8,HYD,21,,Telugu Titans Won by 12 Pts,8
558,L,21/08/15,8,HYD,24,1,BLR,20,,Bengaluru Bulls Won by -4 Pts,8
560,W,23/08/15,6,PAT,12,8,HYD,15,,Telugu Titans Won by 3 Pts,8
562,W,20/07/16,7,PUNE,10,8,HYD,25,,Telugu Titans Won by 15 Pts,8
503,W,18/07/15,1,BLR,18,4,KOL,17,,Bengaluru Bulls Won by 1 Pts,1
506,L,19/07/15,5,MUM,18,1,BLR,10,,U Mumba Won by 8 Pts,1
511,W,22/07/15,1,BLR,17,6,PAT,16,,Bengaluru Bulls Won by 1 Pts,1
515,W,25/07/15,1,BLR,17,7,PUNE,14,,Bengaluru Bulls Won by 3 Pts,1
519,W,27/07/15,2,DEL,9,1,BLR,20,,Bengaluru Bulls Won by 11 Pts,1
521,L,28/07/15,3,JAI,23,1,BLR,14,,Jaipur Pink Panthers Won by 9 Pts,1
525,W,31/07/15,8,HYD,8,1,BLR,23,,Bengaluru Bulls Won by 15 Pts,1
534,W,06/08/15,4,KOL,15,1,BLR,17,,Bengaluru Bulls Won by 2 Pts,1
544,L,12/08/15,1,BLR,15,5,MUM,24,,U Mumba Won by 9 Pts,1
546,L,13/08/15,1,BLR,12,3,JAI,17,,Jaipur Pink Panthers Won by 5 Pts,1
547,W,14/08/15,1,BLR,22,2,DEL,13,,Bengaluru Bulls Won by 9 Pts,1
550,W,15/08/15,1,BLR,24,8,HYD,14,,Bengaluru Bulls Won by 10 Pts,1
557,W,19/08/15,7,PUNE,13,1,BLR,14,,Bengaluru Bulls Won by 1 Pts,1
558,W,21/08/15,8,HYD,24,1,BLR,20,,Bengaluru Bulls Won by -4 Pts,1
