player-super-raids_player_name,player-raid-points_player_name,player-successful-raids_player_name,player-total-points_player_name,player-super-tackles_player_name,player-dod-raid-points_player_name,super-10s_player_name,high-5s_player_name,player-tackle-points_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-super-raids_match_played,player-raid-points_match_played,player-successful-raids_match_played,player-total-points_match_played,player-super-tackles_match_played,player-dod-raid-points_match_played,super-10s_match_played,high-5s_match_played,player-tackle-points_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-super-raids_position_name,player-raid-points_position_name,player-successful-raids_position_name,player-total-points_position_name,player-super-tackles_position_name,player-dod-raid-points_position_name,super-10s_position_name,high-5s_position_name,player-tackle-points_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-super-raids_team,player-raid-points_team,player-successful-raids_team,player-total-points_team,player-super-tackles_team,player-dod-raid-points_team,super-10s_team,high-5s_team,player-tackle-points_team,player-successful-tackles_team,player-avg-tackle-points_team,player-super-raids_team_name,player-raid-points_team_name,player-successful-raids_team_name,player-total-points_team_name,player-super-tackles_team_name,player-dod-raid-points_team_name,super-10s_team_name,high-5s_team_name,player-tackle-points_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-successful-raids_team_full_name,player-total-points_team_full_name,player-super-tackles_team_full_name,player-dod-raid-points_team_full_name,super-10s_team_full_name,high-5s_team_full_name,player-tackle-points_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-super-raids_rank,player-raid-points_rank,player-successful-raids_rank,player-total-points_rank,player-super-tackles_rank,player-dod-raid-points_rank,super-10s_rank,high-5s_rank,player-tackle-points_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-super-raids_value,player-raid-points_value,player-successful-raids_value,player-total-points_value,player-super-tackles_value,player-dod-raid-points_value,super-10s_value,high-5s_value,player-tackle-points_value,player-successful-tackles_value,player-avg-tackle-points_value,player-super-raids_points_per_match,player-raid-points_points_per_match,player-successful-raids_points_per_match,player-total-points_points_per_match,player-super-tackles_points_per_match,player-dod-raid-points_points_per_match,super-10s_points_per_match,high-5s_points_per_match,player-tackle-points_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-super-raids_team_id,player-raid-points_team_id,player-successful-raids_team_id,player-total-points_team_id,player-super-tackles_team_id,player-dod-raid-points_team_id,super-10s_team_id,high-5s_team_id,player-tackle-points_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-super-raids_position_id,player-raid-points_position_id,player-successful-raids_position_id,player-total-points_position_id,player-super-tackles_position_id,player-dod-raid-points_position_id,super-10s_position_id,high-5s_position_id,player-tackle-points_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id
Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,11.0,11.0,11.0,11,,11.0,11.0,,11.0,11.0,11.0,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,KOL,,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,9.0,14.0,11.0,14,,17.0,5.0,,47.0,48.0,60.0,2.0,61.0,49.0,65,,13.0,2.0,,4.0,4.0,0.36,0.1818181818181818,5.545454545454546,4.454545454545454,5.909090909090909,,1.181818181818182,0.1818181818181818,,0.3636363636363636,0.3636363636363636,0.0327272727272727,4.0,4.0,4.0,4,,4.0,4.0,,4.0,4.0,4.0,8.0,8.0,8.0,8,,8.0,8.0,,8.0,8.0,8.0
Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,,Ajay Thakur,Ajay Thakur,Ajay Thakur,16.0,16.0,16.0,16,,16.0,16.0,,16.0,16.0,16.0,Raider,Raider,Raider,Raider,,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,PUN,PUN,PUN,PUN,,PUN,PUN,,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,2.0,10.0,17.0,15,,6.0,10.0,,80.0,66.0,80.0,5.0,63.0,41.0,64,,25.0,1.0,,1.0,1.0,0.06,0.3125,3.9375,2.5625,4.0,,1.5625,0.0625,,0.0625,0.0625,0.00375,7.0,7.0,7.0,7,,7.0,7.0,,7.0,7.0,7.0,8.0,8.0,8.0,8,,8.0,8.0,,8.0,8.0,8.0
,,,Amit Singh Chhillar,,,,,Amit Singh Chhillar,Amit Singh Chhillar,Amit Singh Chhillar,,,,9,,,,,9.0,9.0,9.0,,,,Defender,,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,KOL,,,,,KOL,KOL,KOL,,,,Bengal Warriors,,,,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,,,63,,,,,31.0,30.0,31.0,,,,13,,,,,13.0,13.0,1.44,,,,1.4444444444444444,,,,,1.4444444444444444,1.4444444444444444,0.16,,,,4,,,,,4.0,4.0,4.0,,,,9,,,,,9.0,9.0,9.0
Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,,Anup Kumar,Anup Kumar,Anup Kumar,14.0,14.0,14.0,14,14.0,14.0,,,14.0,14.0,14.0,Raider,Raider,Raider,Raider,Raider,Raider,,,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,,U Mumba,U Mumba,U Mumba,19.0,7.0,6.0,8,35.0,38.0,,,38.0,34.0,45.0,1.0,72.0,60.0,82,1.0,3.0,,,10.0,9.0,0.71,0.0714285714285714,5.142857142857143,4.285714285714286,5.857142857142857,0.0714285714285714,0.2142857142857142,,,0.7142857142857143,0.6428571428571429,0.0507142857142857,5.0,5.0,5.0,5,5.0,5.0,,,5.0,5.0,5.0,8.0,8.0,8.0,8,8.0,8.0,,,8.0,8.0,8.0
Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,,Deepak Niwas Hooda,Deepak Niwas Hooda,,Deepak Niwas Hooda,Deepak Niwas Hooda,Deepak Niwas Hooda,16.0,16.0,16.0,16,,16.0,16.0,,16.0,16.0,16.0,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,PUN,PUN,PUN,PUN,,PUN,PUN,,PUN,PUN,PUN,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,,Puneri Paltan,Puneri Paltan,Puneri Paltan,10.0,3.0,2.0,3,,3.0,6.0,,46.0,47.0,65.0,2.0,126.0,108.0,130,,34.0,2.0,,4.0,4.0,0.25,0.125,7.875,6.75,8.125,,2.125,0.125,,0.25,0.25,0.015625,7.0,7.0,7.0,7,,7.0,7.0,,7.0,7.0,7.0,0.0,0.0,0.0,0,,0.0,0.0,,0.0,0.0,0.0
,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,Dharmaraj Cheralathan,,14.0,14.0,14,14.0,,,14.0,14.0,14.0,14.0,,Defender,Defender,Defender,Defender,,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,PAT,PAT,PAT,,,PAT,PAT,PAT,PAT,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,60.0,59.0,27,1.0,,,3.0,7.0,11.0,8.0,,2.0,2.0,41,8.0,,,4.0,39.0,31.0,2.79,,0.1428571428571428,0.1428571428571428,2.9285714285714284,0.5714285714285714,,,0.2857142857142857,2.7857142857142856,2.2142857142857144,0.1992857142857143,,6.0,6.0,6,6.0,,,6.0,6.0,6.0,6.0,,9.0,9.0,9,9.0,,,9.0,9.0,9.0,9.0
,Gurvinder Singh,Gurvinder Singh,Gurvinder Singh,,Gurvinder Singh,,,,,,,6.0,6.0,6,,6.0,,,,,,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,,,,,,,MUM,MUM,MUM,,MUM,,,,,,,U Mumba,U Mumba,U Mumba,,U Mumba,,,,,,,52.0,52.0,84,,43.0,,,,,,,4.0,4.0,4,,2.0,,,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.3333333333333333,,,,,,,5.0,5.0,5,,5.0,,,,,,,8.0,8.0,8,,8.0,,,,,
,,,Jasmer Singh Gulia,,,,Jasmer Singh Gulia,Jasmer Singh Gulia,Jasmer Singh Gulia,Jasmer Singh Gulia,,,,13,,,,13.0,13.0,13.0,13.0,,,,All Rounder,,,,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,,,HYD,,,,HYD,HYD,HYD,HYD,,,,Telugu Titans,,,,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,,,,53,,,,20.0,26.0,24.0,29.0,,,,19,,,,1.0,19.0,19.0,1.46,,,,1.4615384615384617,,,,0.0769230769230769,1.4615384615384617,1.4615384615384617,0.1123076923076923,,,,8,,,,8.0,8.0,8.0,8.0,,,,0,,,,0.0,0.0,0.0,0.0
,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,Jasvir Singh,,Jasvir Singh,Jasvir Singh,Jasvir Singh,,14.0,14.0,14,14.0,14.0,14.0,,14.0,14.0,14.0,,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,,,,,,,,,,,,JAI,JAI,JAI,JAI,JAI,JAI,,JAI,JAI,JAI,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,,5.0,5.0,6,18.0,14.0,7.0,,43.0,46.0,55.0,,82.0,64.0,88,2.0,16.0,2.0,,6.0,4.0,0.43,,5.857142857142857,4.571428571428571,6.285714285714286,0.1428571428571428,1.1428571428571428,0.1428571428571428,,0.4285714285714285,0.2857142857142857,0.0307142857142857,,3.0,3.0,3,3.0,3.0,3.0,,3.0,3.0,3.0,,8.0,8.0,8,8.0,8.0,8.0,,8.0,8.0,8.0
,,,Jeeva Kumar,Jeeva Kumar,,,,Jeeva Kumar,Jeeva Kumar,Jeeva Kumar,,,,14,14.0,,,,14.0,14.0,14.0,,,,Defender,Defender,,,,Defender,Defender,Defender,,,,,,,,,,,,,,,MUM,MUM,,,,MUM,MUM,MUM,,,,U Mumba,U Mumba,,,,U Mumba,U Mumba,U Mumba,,,,42,19.0,,,,17.0,18.0,21.0,,,,26,2.0,,,,26.0,24.0,1.86,,,,1.8571428571428572,0.1428571428571428,,,,1.8571428571428572,1.7142857142857142,0.1328571428571428,,,,5,5.0,,,,5.0,5.0,5.0,,,,9,9.0,,,,9.0,9.0,9.0
