player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
81,Rahul Chaudhari,16,110,8,,HYD,1,8,Raider,Telugu Titans,6.875
41,Deepak Niwas Hooda,16,108,7,,PUN,2,0,All Rounder,Puneri Paltan,6.75
197,Pardeep Narwal,16,100,6,,PAT,3,8,Raider,Patna Pirates,6.25
326,Rohit Kumar,14,75,1,,BLR,4,8,Raider,Bengaluru Bulls,5.357142857142857
52,Jasvir Singh,14,64,3,,JAI,5,8,Raider,Jaipur Pink Panthers,4.571428571428571
29,Anup Kumar,14,60,5,,MUM,6,8,Raider,U Mumba,4.285714285714286
58,Kashiling Adake,13,58,2,,DEL,7,8,Raider,Dabang Delhi K.C.,4.461538461538462
94,Rishank Devadiga,14,57,5,,MUM,8,8,Raider,U Mumba,4.071428571428571
86,Rajesh Narwal,16,52,3,,JAI,9,0,All Rounder,Jaipur Pink Panthers,3.25
388,Monu Goyat,13,52,4,,KOL,10,8,Raider,Bengal Warriors,4.0
12,Jang Kun Lee,11,49,4,,KOL,11,8,Raider,Bengal Warriors,4.454545454545454
85,Rajesh Mondal,15,47,6,,PAT,12,8,Raider,Patna Pirates,3.1333333333333333
293,Nilesh Salunke,15,47,8,,HYD,13,8,Raider,Telugu Titans,3.1333333333333333
389,Ajay Kumar,15,44,3,,JAI,14,8,Raider,Jaipur Pink Panthers,2.933333333333333
75,Nitin Madane,13,43,4,,KOL,15,8,Raider,Bengal Warriors,3.3076923076923075
251,Meraj Sheykh,14,42,2,,DEL,16,0,All Rounder,Dabang Delhi K.C.,3.0
26,Ajay Thakur,16,41,7,,PUN,17,8,Raider,Puneri Paltan,2.5625
88,Rakesh Kumar,14,40,5,,MUM,18,0,All Rounder,U Mumba,2.857142857142857
264,Selvamani K,13,34,2,,DEL,19,8,Raider,Dabang Delhi K.C.,2.6153846153846154
320,Nitin Tomar,12,30,7,,PUN,20,8,Raider,Puneri Paltan,2.5
119,Surjeet Singh,10,27,6,,PAT,21,8,Raider,Patna Pirates,2.7
190,Sonu Narwal,11,25,7,,PUN,22,8,Raider,Puneri Paltan,2.272727272727273
142,Sandeep Narwal,16,20,8,,HYD,23,0,All Rounder,Telugu Titans,1.25
69,Manjeet Chhillar,12,20,7,,PUN,24,0,All Rounder,Puneri Paltan,1.6666666666666667
105,Shabeer Bappu,12,18,3,,JAI,25,8,Raider,Jaipur Pink Panthers,1.5
300,Abolfazl Maghsodloumahali,9,18,6,,PAT,26,8,Raider,Patna Pirates,2.0
387,Vinod Kumar,9,16,1,,BLR,27,8,Raider,Bengaluru Bulls,1.7777777777777777
173,Suresu Kumar,11,15,5,,MUM,28,8,Raider,U Mumba,1.3636363636363635
156,Pawan Kumar Kadian,9,15,1,,BLR,29,8,Raider,Bengaluru Bulls,1.6666666666666667
155,Prashanth Kumar Rai,9,12,2,,DEL,30,8,Raider,Dabang Delhi K.C.,1.3333333333333333
245,Yogesh Hooda,5,12,1,,BLR,31,8,Raider,Bengaluru Bulls,2.4
242,Tushar Patil,8,11,3,,JAI,32,8,Raider,Jaipur Pink Panthers,1.375
202,Ashish Kumar,14,11,1,,BLR,33,9,Defender,Bengaluru Bulls,0.7857142857142857
219,K. Prapanjan,11,10,8,,HYD,34,8,Raider,Telugu Titans,0.9090909090909091
211,Deepak Narwal,6,8,2,,DEL,35,8,Raider,Dabang Delhi K.C.,1.3333333333333333
318,Pawan Kumar Sehrawat,10,8,1,,BLR,36,8,Raider,Bengaluru Bulls,0.8
