player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
259,Fazel Atrachali,24,77,5,,MUM,1,9,defender,U Mumba,3.2083333333333335
3240,Sumit ,22,75,30,,U.P.,2,9,Defender,U.P. Yoddha,3.409090909090909
3088,Nitesh Kumar,23,67,30,,U.P.,3,9,Defender,U.P. Yoddha,2.9130434782608696
290,Sandeep Dhull,22,66,3,,JAI,4,9,Defender,Jaipur Pink Panthers,3.0
157,Ravinder Pahal,23,63,2,,DEL,5,9,Defender,Dabang Delhi K.C.,2.739130434782609
621,Baldev Singh,24,61,4,,KOL,6,0,Defender - Right Corner,Bengal Warriors,2.5416666666666665
3084,Rinku Narwal,23,60,4,,KOL,7,9,Defender,Bengal Warriors,2.608695652173913
322,Surjeet Singh,21,56,7,,PUN,8,9,Defender,Puneri Paltan,2.6666666666666665
3106,Sunil ,21,54,28,,HAR,9,0,Defender - Right Corner,Haryana Steelers,2.5714285714285716
3107,Neeraj Kumar,22,54,6,,PAT,10,9,Defender,Patna Pirates,2.4545454545454546
3083,Vishal Bharadwaj,19,53,8,,HYD,11,9,defender,Telugu Titans,2.789473684210526
3086,Surinder Singh,24,52,5,,MUM,12,9,Defender,U Mumba,2.1666666666666665
357,Parvesh Bhainswal,22,52,31,,GUJ,13,9,defender,Gujarat Giants,2.3636363636363638
769,Mahender Singh,21,52,1,,BLR,14,9,Defender,Bengaluru Bulls,2.4761904761904763
142,Sandeep Narwal,24,51,5,,MUM,15,0,All Rounder,U Mumba,2.125
3228,Saurabh Nandal,23,50,1,,BLR,16,9,Defender,Bengaluru Bulls,2.1739130434782608
579,Jaideep ,22,49,6,,PAT,17,9,Defender,Patna Pirates,2.227272727272727
240,Ravi Kumar,21,47,28,,HAR,18,9,Defender,Haryana Steelers,2.238095238095238
3115,Amit Sheoran,24,47,1,,BLR,19,9,Defender,Bengaluru Bulls,1.9583333333333333
194,Joginder Narwal,22,45,2,,DEL,20,9,Defender,Dabang Delhi K.C.,2.0454545454545454
212,Amit Hooda,16,41,3,,JAI,21,9,Defender,Jaipur Pink Panthers,2.5625
368,Sunil Kumar,18,40,31,,GUJ,22,9,Defender,Gujarat Giants,2.2222222222222223
3239,Ashu Singh,23,40,30,,U.P.,23,9,Defender,U.P. Yoddha,1.7391304347826086
42,Dharmaraj Cheralathan,19,39,28,,HAR,24,9,Defender,Haryana Steelers,2.0526315789473686
3159,Vishal ,16,39,3,,JAI,25,9,defender,Jaipur Pink Panthers,2.4375
54,Jeeva Kumar,22,38,4,,KOL,26,9,Defender,Bengal Warriors,1.7272727272727273
311,Anil Kumar,19,38,2,,DEL,27,0,,Dabang Delhi K.C.,2.0
179,Vikas kale,21,37,28,,HAR,28,9,Defender,Haryana Steelers,1.7619047619047619
489,Abozar Mighani,18,36,8,,HYD,29,9,Defender,Telugu Titans,2.0
69,Manjeet Chhillar,15,35,29,,CHE,30,0,All Rounder,Tamil Thalaivas,2.3333333333333335
71,Mohit Chhillar,18,34,29,,CHE,31,9,Defender,Tamil Thalaivas,1.8888888888888888
249,Hadi Oshtorak,22,33,6,,PAT,32,0,All Rounder,Patna Pirates,1.5
160,Ran Singh,21,32,29,,CHE,33,0,All Rounder,Tamil Thalaivas,1.5238095238095237
161,Girish Maruti Ernak,17,31,7,,PUN,34,9,Defender,Puneri Paltan,1.8235294117647058
482,Farhad Milaghardan,22,31,8,,HYD,35,9,Defender,Telugu Titans,1.4090909090909092
3011,Jadhav Shahaji,19,29,7,,PUN,36,9,Defender,Puneri Paltan,1.5263157894736843
3126,Amit ,23,28,30,,U.P.,37,9,defender,U.P. Yoddha,1.2173913043478262
3176,Mohammad Nabibakhsh,23,28,4,,KOL,38,0,All Rounder,Bengal Warriors,1.2173913043478262
3089,Pankaj ,11,27,31,,GUJ,39,0,All Rounder,Gujarat Giants,2.4545454545454546
123,Vishal Mane,23,27,2,,DEL,40,9,Defender,Dabang Delhi K.C.,1.173913043478261
763,Manjeet ,22,27,7,,PUN,41,8,raider,Puneri Paltan,1.2272727272727273
3110,Amit Kumar,15,26,7,,PUN,42,0,,Puneri Paltan,1.7333333333333334
772,More G B,19,23,31,,GUJ,43,8,Raider,Gujarat Giants,1.2105263157894737
191,C.Arun ,22,22,8,,HYD,44,9,Defender,Telugu Titans,1.0
121,Vikash Jaglan,22,21,6,,PAT,45,0,All Rounder,Patna Pirates,0.9545454545454546
3138,Harendra Kumar,20,19,5,,MUM,46,9,Defender,U Mumba,0.95
3236,Sagar ,13,19,29,,CHE,47,9,Defender,Tamil Thalaivas,1.4615384615384615
3082,Monu ,21,19,6,,PAT,48,8,Raider,Patna Pirates,0.9047619047619048
2023,Ruturaj Koravi,17,17,31,,GUJ,49,9,Defender,Gujarat Giants,1.0
301,Hadi Tajik,11,15,7,,PUN,50,9,defender,Puneri Paltan,1.3636363636363635
274,Krushna Madane,12,15,8,,HYD,51,9,Defender,Telugu Titans,1.25
3065,Nitin Rawal,16,15,3,,JAI,52,0,All Rounder,Jaipur Pink Panthers,0.9375
3103,Shubham Shinde,13,15,7,,PUN,53,0,Defender - Right corner,Puneri Paltan,1.1538461538461537
3226,Sumit ,15,14,31,,GUJ,54,9,Defender,Gujarat Giants,0.9333333333333333
3081,Vijay ,22,14,2,,DEL,55,0,All Rounder,Dabang Delhi K.C.,0.6363636363636364
3076,Santhapanaselvam ,9,13,3,,JAI,56,0,All Rounder,Jaipur Pink Panthers,1.4444444444444444
3014,M. Abishek ,9,13,29,,CHE,57,9,Defender,Tamil Thalaivas,1.4444444444444444
3111,Ajeet ,14,13,29,,CHE,58,9,Defender,Tamil Thalaivas,0.9285714285714286
318,Pawan Kumar,24,13,1,,BLR,59,8,raider,Bengaluru Bulls,0.5416666666666666
347,Sagar B Krishna,14,12,7,,PUN,60,0,All Rounder,Puneri Paltan,0.8571428571428571
732,Kuldeep Singh (732),12,11,28,,HAR,61,0,All Rounder,Haryana Steelers,0.9166666666666666
3227,Ankit ,12,11,31,,GUJ,62,9,Defender,Gujarat Giants,0.9166666666666666
3019,Mohit Sehrawat,17,10,1,,BLR,63,9,Defender,Bengaluru Bulls,0.5882352941176471
3021,Pavan TR,17,10,3,,JAI,64,9,Defender,Jaipur Pink Panthers,0.5882352941176471
41,Deepak Hooda,20,10,3,,JAI,65,0,All Rounder,Jaipur Pink Panthers,0.5
3175,Mohammad Mahalli,20,10,6,,PAT,66,8,Raider,Patna Pirates,0.5
3023,Rohit Gulia,22,9,31,,GUJ,67,0,All Rounder,Gujarat Giants,0.4090909090909091
3099,Ankit ,12,9,1,,BLR,68,9,Defender,Bengaluru Bulls,0.75
3237,Aakash Arsul,6,8,8,,HYD,69,9,Defender,Telugu Titans,1.3333333333333333
3178,Saeid Ghaffari,9,8,2,,DEL,70,9,Defender,Dabang Delhi K.C.,0.8888888888888888
3046,Rakesh Gowda,13,8,8,,HYD,71,8,Raider,Telugu Titans,0.6153846153846154
81,Rahul Chaudhari,22,8,29,,CHE,72,8,Raider,Tamil Thalaivas,0.36363636363636365
267,Amit Kumar,9,8,8,,HYD,73,9,Defender,Telugu Titans,0.8888888888888888
268,Vineet Sharma,13,8,29,,CHE,74,8,Raider,Tamil Thalaivas,0.6153846153846154
784,Viraj Vishnu Landge,9,8,4,,KOL,75,9,Defender,Bengal Warriors,0.8888888888888888
3241,Surender Gill,18,8,30,,U.P.,76,8,Raider,U.P. Yoddha,0.4444444444444444
519,Young Chang Ko,14,7,5,,MUM,77,9,Defender,U Mumba,0.5
320,Nitin Tomar,15,7,7,,PUN,78,8,raider,Puneri Paltan,0.4666666666666667
3004,Akash Choudhary,5,7,8,,HYD,79,9,Defender,Telugu Titans,1.4
3045,Mayur Shivtarkar,11,7,4,,KOL,80,0,All Rounder,Bengal Warriors,0.6363636363636364
3234,Sanket Sawant,5,7,7,,PUN,81,9,Defender,Puneri Paltan,1.4
3221,Chand Singh,12,6,28,,HAR,82,9,Defender,Haryana Steelers,0.5
3095,Adarsh T,12,6,4,,KOL,83,0,Defender - Left Corner,Bengal Warriors,0.5
326,Rohit Kumar,19,6,1,,BLR,84,8,raider,Bengaluru Bulls,0.3157894736842105
613,Sunil Siddhgavali,14,6,3,,JAI,85,9,defender,Jaipur Pink Panthers,0.42857142857142855
218,Sachin Kumar,15,6,30,,U.P.,86,9,Defender,U.P. Yoddha,0.4
36,Chandran Ranjit,22,6,2,,DEL,87,8,Raider,Dabang Delhi K.C.,0.2727272727272727
105,Shabeer Bappu,14,6,29,,CHE,88,9,Defender,Tamil Thalaivas,0.42857142857142855
390,Jawahar Dagar,7,5,6,,PAT,89,0,,Patna Pirates,0.7142857142857143
366,Vikash Khandola,20,5,28,,HAR,90,8,raider,Haryana Steelers,0.25
3000,Sombir ,12,5,2,,DEL,91,9,Defender,Dabang Delhi K.C.,0.4166666666666667
3104,Sumit Singh,20,5,1,,BLR,92,8,raider,Bengaluru Bulls,0.25
3101,Ponparthiban Subramanian,9,4,29,,CHE,93,0,,Tamil Thalaivas,0.4444444444444444
3054,Vinay ,23,4,28,,HAR,94,8,Raider,Haryana Steelers,0.17391304347826086
764,Vinod Kumar,10,4,31,,GUJ,95,8,Raider,Gujarat Giants,0.4
768,Vijay Kumar,10,4,1,,BLR,96,9,Defender,Bengaluru Bulls,0.4
2041,Gurdeep ,5,4,30,,U.P.,97,0,All Rounder,U.P. Yoddha,0.8
106,Shrikant Jadhav,22,4,30,,U.P.,98,8,raider,U.P. Yoddha,0.18181818181818182
219,K.Prapanjan ,20,3,4,,KOL,99,8,raider,Bengal Warriors,0.15
202,Ashish Kumar,7,3,1,,BLR,100,0,All Rounder,Bengaluru Bulls,0.42857142857142855
261,Rohit Baliyan,18,3,5,,MUM,101,8,Raider,U Mumba,0.16666666666666666
2026,Siddharth Desai,22,3,8,,HYD,102,8,Raider,Telugu Titans,0.13636363636363635
388,Monu Goyat,14,3,30,,U.P.,103,8,Raider,U.P. Yoddha,0.21428571428571427
293,Nilesh Salunke,18,3,3,,JAI,104,9,Defender,Jaipur Pink Panthers,0.16666666666666666
3029,Banty ,15,3,1,,BLR,105,8,Raider,Bengaluru Bulls,0.2
3100,Parveen ,8,3,28,,HAR,106,0,Defender - Left Cover,Haryana Steelers,0.375
