season,team_id,team_name,team-average-raid-points_match_played,team-avg-points-scored_match_played,team-all-outs-conceded_match_played,team-successful-tackle-percent_match_played,team-super-raid_match_played,team-raid_match_played,team-successful-raid-percent_match_played,team-dod-raid-points_match_played,team-super-tackles_match_played,team-raid-points_match_played,team-successful-raids_match_played,team-total-points-conceded_match_played,team-tackle-points_match_played,team-total-points_match_played,team-successful-tackles-per-match_match_played,team-all-outs-inflicted_match_played,team-average-tackle-points_match_played,team-successful-tackles_match_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-super-raid_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match,team_name,team_name
5,1,Bengaluru Bulls,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,7,8,9,3,11,12,3,6,7,9,6,11,7,9,6,4,7,6,17.86,31.32,25,38.54,5,943,34.99,93,16,393,330,679,202,689,8.41,28,9.18,185,0.811818182,1.423636364,1.136363636,1.751818182,0.227272727,42.86363636,1.590454545,4.227272727,0.727272727,17.86363636,15,30.86363636,9.181818182,31.31818182,0.382272727,1.272727273,0.417272727,8.409090909,Bengaluru Bulls,Bengaluru Bulls
5,2,Dabang Delhi K.C.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,12,2,12,10,8,11,5,11,12,11,6,12,12,12,12,12,12,15.64,27.14,35,32.06,6,973,28.57,94,10,344,278,731,171,597,7.23,18,7.77,159,0.710909091,1.233636364,1.590909091,1.457272727,0.272727273,44.22727273,1.298636364,4.272727273,0.454545455,15.63636364,12.63636364,33.22727273,7.772727273,27.13636364,0.328636364,0.818181818,0.353181818,7.227272727,Dabang Delhi K.C.,Dabang Delhi K.C.
5,3,Jaipur Pink Panthers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,11,7,8,3,11,10,11,12,11,12,8,11,11,11,9,11,11,16.05,28.68,27,35.29,13,962,28.9,83,9,353,278,722,172,631,7.36,22,7.82,162,0.729545455,1.303636364,1.227272727,1.604090909,0.590909091,43.72727273,1.313636364,3.772727273,0.409090909,16.04545455,12.63636364,32.81818182,7.818181818,28.68181818,0.334545455,1,0.355454545,7.363636364,Jaipur Pink Panthers,Jaipur Pink Panthers
5,4,Bengal Warriors,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,9,5,9,6,2,4,9,9,3,2,3,10,5,10,5,10,9,18.96,31.17,29,34.81,11,1079,34.29,87,12,455,370,757,193,748,7.54,27,8.04,181,0.79,1.29875,1.208333333,1.450416667,0.458333333,44.95833333,1.42875,3.625,0.5,18.95833333,15.41666667,31.54166667,8.041666667,31.16666667,0.314166667,1.125,0.335,7.541666667,Bengal Warriors,Bengal Warriors
5,5,U Mumba,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3,4,1,11,8,10,7,12,2,4,9,4,6,7,8,10,6,10,19.05,32.14,36,32.65,10,963,32.71,78,26,419,315,757,202,707,8,21,9.18,176,0.865909091,1.460909091,1.636363636,1.484090909,0.454545455,43.77272727,1.486818182,3.545454545,1.181818182,19.04545455,14.31818182,34.40909091,9.181818182,32.13636364,0.363636364,0.954545455,0.417272727,8,U Mumba,U Mumba
5,6,Patna Pirates,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,1,1,6,6,1,1,1,4,1,1,1,1,3,1,4,1,4,3,24.5,40.38,29,36.16,26,1173,41.09,95,26,637,482,921,253,1050,8.69,55,9.73,226,0.942307692,1.553076923,1.115384615,1.390769231,1,45.11538462,1.580384615,3.653846154,1,24.5,18.53846154,35.42307692,9.730769231,40.38461538,0.334230769,2.115384615,0.374230769,8.692307692,Patna Pirates,Patna Pirates
5,7,Puneri Paltan,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,11,5,11,2,4,4,12,1,4,10,10,10,1,3,1,3,1,1,15.79,31.92,23,46.07,12,1042,28.21,119,19,379,294,683,273,766,10.5,32,11.38,252,0.657916667,1.33,0.958333333,1.919583333,0.5,43.41666667,1.175416667,4.958333333,0.791666667,15.79166667,12.25,28.45833333,11.375,31.91666667,0.4375,1.333333333,0.474166667,10.5,Puneri Paltan,Puneri Paltan
5,8,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,6,6,8,5,9,9,6,8,8,8,7,9,5,8,5,7,5,5,18.18,31.64,26,37.6,10,971,33.88,89,16,400,329,698,208,696,8.68,25,9.45,191,0.826363636,1.438181818,1.181818182,1.709090909,0.454545455,44.13636364,1.54,4.045454545,0.727272727,18.18181818,14.95454545,31.72727273,9.454545455,31.63636364,0.394545455,1.136363636,0.429545455,8.681818182,Telugu Titans,Telugu Titans
5,28,Haryana Steelers,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,8,7,10,4,5,5,9,2,3,7,8,7,4,6,3,6,3,4,17.57,31.61,23,37.87,12,1030,31.17,105,21,404,321,726,227,727,8.96,27,9.87,206,0.763913043,1.374347826,1,1.646521739,0.52173913,44.7826087,1.355217391,4.565217391,0.913043478,17.56521739,13.95652174,31.56521739,9.869565217,31.60869565,0.389565217,1.173913043,0.429130435,8.956521739,Haryana Steelers,Haryana Steelers
5,29,Tamil Thalaivas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,5,10,4,7,12,6,5,7,6,5,4,5,9,10,7,11,8,7,18.59,30.95,31,35.59,5,1015,34.09,91,17,409,346,752,201,681,8.36,19,9.14,184,0.845,1.406818182,1.409090909,1.617727273,0.227272727,46.13636364,1.549545455,4.136363636,0.772727273,18.59090909,15.72727273,34.18181818,9.136363636,30.95454545,0.38,0.863636364,0.415454545,8.363636364,Tamil Thalaivas,Tamil Thalaivas
