match_played,value,team_id,team_name,rank,points_per_match
24,39.58,7,Puneri Paltan,1,1.6491666666666667
22,37.82,29,Tamil Thalaivas,2,1.719090909090909
22,37.27,4,Bengal Warriors,3,1.6940909090909093
25,36.8,28,Haryana Steelers,4,1.472
23,36.65,3,Jaipur Pink Panthers,5,1.5934782608695652
24,36.42,6,Patna Pirates,6,1.5175
22,36.18,5,U Mumba,7,1.6445454545454545
23,36.04,2,Dabang Delhi K.C.,8,1.5669565217391304
23,34.13,31,Gujarat Giants,9,1.483913043478261
22,33.77,30,U.P. Yoddhas,10,1.5350000000000001
22,33.45,8,Telugu Titans,11,1.5204545454545455
22,33.36,1,Bengaluru Bulls,12,1.5163636363636364
