match_played,value,team_id,team_name,rank,points_per_match
24,22,30,U.P. Yoddhas,1,0.9166666666666666
22,17,4,Bengal Warriors,2,0.7727272727272727
22,14,8,Telugu Titans,3,0.6363636363636364
24,12,1,Bengaluru Bulls,4,0.5
22,11,28,Haryana Steelers,5,0.5
23,11,31,Gujarat Giants,6,0.4782608695652174
24,10,2,Dabang Delhi K.C.,7,0.4166666666666667
23,10,7,Puneri Paltan,8,0.43478260869565216
22,9,3,Jaipur Pink Panthers,9,0.4090909090909091
22,9,5,U Mumba,10,0.4090909090909091
24,9,6,Patna Pirates,11,0.375
22,8,29,Tamil Thalaivas,12,0.36363636363636365
