match_played,value,team_id,team_name,rank,points_per_match
192,279,8,Telugu Titans,1,1.453125
196,273,2,Dabang Delhi K.C.,2,1.3928571428571428
200,252,1,Bengaluru Bulls,3,1.26
195,246,4,Bengal Warriors,4,1.2615384615384615
199,238,7,Puneri Paltan,5,1.1959798994974875
197,234,5,U Mumba,6,1.1878172588832487
204,228,6,Patna Pirates,7,1.1176470588235294
195,211,3,Jaipur Pink Panthers,8,1.082051282051282
140,183,30,U.P. Yoddhas,9,1.3071428571428572
134,182,29,Tamil Thalaivas,10,1.3582089552238805
137,176,28,Haryana Steelers,11,1.2846715328467153
139,142,31,Gujarat Giants,12,1.0215827338129497
