id,result,prev_position,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
575,W,,2017-08-02,8,HYD,24,4,KOL,30,,Bengal Warriorz Won by 6 Pts,4
581,W,,2017-08-06,4,KOL,41,30,UP,20,,Bengal Warriorz Won by 21 Pts,4
585,L,,2017-08-09,1,BLR,31,4,KOL,25,,Bengaluru Bulls Won by 6 Pts,4
593,L,,2017-08-15,4,KOL,17,7,PUNE,34,,Puneri Paltan Won by 17 Pts,4
598,,,2017-08-17,31,GUJ,26,4,KOL,26,,,4
606,W,,2017-08-22,30,UP,30,4,KOL,32,,Bengal Warriorz Won by 2 Pts,4
611,,,2017-08-25,4,KOL,36,6,PAT,36,,,4
614,W,,2017-08-27,4,KOL,31,1,BLR,26,,Bengal Warriorz Won by 5 Pts,4
619,W,,2017-09-01,4,KOL,41,6,PAT,38,,Bengal Warriorz Won by 3 Pts,4
621,,,2017-09-02,4,KOL,26,30,UP,26,,,4
623,W,,2017-09-03,4,KOL,29,29,CHE,25,,Bengal Warriorz Won by 4 Pts,4
625,L,,2017-09-05,4,KOL,29,28,HAR,36,,Haryana Steelers Won by 7 Pts,4
627,L,,2017-09-06,4,KOL,30,5,MUM,38,,U Mumba Won by 8 Pts,4
630,,,2017-09-07,4,KOL,31,2,DEL,31,,,4
637,W,,2017-09-12,4,KOL,32,8,HYD,31,,Bengal Warriorz Won by 1 Pts,4
647,,,2017-09-17,6,PAT,37,4,KOL,37,,,4
655,W,,2017-09-23,1,BLR,29,4,KOL,33,,Bengal Warriorz Won by 4 Pts,4
657,L,,2017-09-24,4,KOL,32,29,CHE,33,,Tamil Thalaivas Won by 1 Pts,4
669,W,,2017-10-01,3,JAI,31,4,KOL,32,,Bengal Warriorz Won by 1 Pts,4
677,W,,2017-10-06,7,PUNE,19,4,KOL,25,,Bengal Warriorz Won by 6 Pts,4
697,,,2017-10-20,8,HYD,37,4,KOL,36,,,4
701,L,,2017-10-24,31,GUJ,42,4,KOL,17,,Gujarat Giants Won by 25 Pts,4
703,L,,2017-10-26,4,KOL,44,6,PAT,47,,Patna Pirates Won by 3 Pts,4
569,W,,2017-07-29,8,HYD,28,6,PAT,35,,Patna Pirates Won by 7 Pts,6
576,W,,2017-08-03,8,HYD,35,6,PAT,43,,Patna Pirates Won by 8 Pts,6
582,W,,2017-08-06,1,BLR,32,6,PAT,46,,Patna Pirates Won by 14 Pts,6
591,,,2017-08-13,6,PAT,27,30,UP,27,,,6
603,L,,2017-08-20,6,PAT,42,7,PUNE,47,,Puneri Paltan Won by 5 Pts,6
611,,,2017-08-25,4,KOL,36,6,PAT,36,,,6
612,W,,2017-08-26,6,PAT,35,29,CHE,24,,Patna Pirates Won by 11 Pts,6
619,L,,2017-09-01,4,KOL,41,6,PAT,38,,Bengal Warriorz Won by 3 Pts,6
624,W,,2017-09-05,6,PAT,47,3,JAI,21,,Patna Pirates Won by 26 Pts,6
631,,,2017-09-08,28,HAR,41,6,PAT,41,,,6
633,L,,2017-09-09,6,PAT,41,5,MUM,51,,U Mumba Won by 10 Pts,6
642,W,,2017-09-15,6,PAT,46,8,HYD,30,,Patna Pirates Won by 16 Pts,6
645,W,,2017-09-16,6,PAT,45,30,UP,42,,Patna Pirates Won by 3 Pts,6
647,,,2017-09-17,6,PAT,37,4,KOL,37,,,6
649,W,,2017-09-19,6,PAT,36,1,BLR,32,,Patna Pirates Won by 4 Pts,6
651,W,,2017-09-20,6,PAT,41,29,CHE,39,,Patna Pirates Won by 2 Pts,6
653,L,,2017-09-21,6,PAT,41,30,UP,46,,UP Yoddhas Won by 5 Pts,6
660,W,,2017-09-26,2,DEL,34,6,PAT,36,,Patna Pirates Won by 2 Pts,6
666,L,,2017-09-29,31,GUJ,30,6,PAT,29,,Gujarat Giants Won by 1 Pts,6
689,L,,2017-10-14,29,CHE,40,6,PAT,37,,Tamil Thalaivas Won by 3 Pts,6
695,,,2017-10-18,6,PAT,29,1,BLR,29,,,6
700,W,,2017-10-23,6,PAT,69,28,HAR,29,,Patna Pirates Won by 40 Pts,6
