,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
0,"Pro Kabaddi League Season 5, 2017",W,8,7/28/2017 8:00:00 ,Telugu Titans beat Tamil Thalaivas (32-27),7/28/2017 8:00:00 ,Completed,5,9,kabaddi,Gachibowli Indoor Stadium,286,League,Match 1,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,32,true,Tamil Thalaivas,27,false,Telugu Titans,Rahul Chaudhari,81,10,,Nilesh Salunke,293,7,,Vishal Bhardwaj,358,5,,Farhad Rahimi Milaghardan,482,4,,Rakesh Kumar,88,2,Raider,K. Prapanjan,219,7,,Ajay Thakur,26,6,,C. Arun,191,4,,Vineet Sharma,268,3,,D. Pradap,722,3,,,False,False
1,"Pro Kabaddi League Season 5, 2017",W,8,7/28/2017 9:00:00 ,Puneri Paltan beat U Mumba (33-21),7/28/2017 9:00:00 ,Completed,12,9,kabaddi,Gachibowli Indoor Stadium,287,League,Match 2,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,U Mumba,21,false,Puneri Paltan,33,true,Puneri Paltan,Anup Kumar,29,8,,Kuldeep Singh,252,4,,Shabeer Bappu,105,2,,Shrikant Jadhav,106,1,,Kashiling Adake,58,1,,Sandeep Narwal,142,6,,Deepak Niwas Hooda,41,5,,Dharmaraj Cheralathan,42,4,,Girish Maruti Ernak,161,3,,Ravi Kumar,240,3,,,False,False
2,"Pro Kabaddi League Season 5, 2017",W,8,7/29/2017 8:00:00 ,Dabang Delhi K.C. beat Jaipur Pink Panthers (30-26),7/29/2017 8:00:00 ,Completed,4,9,kabaddi,Gachibowli Indoor Stadium,288,League,Match 3,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Jaipur Pink Panthers,26,false,Dabang Delhi,30,true,Dabang Delhi,Pawan Kumar Kadian,156,7,,Jasvir Singh,52,5,,Somvir Shekhar,109,3,Defender,Selvamani K,264,2,,Tushar Patil,242,1,,Meraj Sheykh,251,7,,Nilesh Shinde,73,5,Defender,Abolfazl Maghsodloumahali,300,4,,Sunil,207,3,,Rohit Baliyan,261,2,,,False,False
3,"Pro Kabaddi League Season 5, 2017",W,8,7/29/2017 9:00:00 ,Patna Pirates beat Telugu Titans (35-29),7/29/2017 9:00:00 ,Completed,6,9,kabaddi,Gachibowli Indoor Stadium,289,League,Match 4,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,29,false,Patna Pirates,35,true,Patna Pirates,Rahul Chaudhari,81,7,,Nilesh Salunke,293,6,,Vishal Bhardwaj,358,5,,Vikas Kumar,762,5,Raider,Rakesh Kumar,88,2,Raider,Pardeep Narwal,197,15,,Monu Goyat,388,8,,Vishal Mane,123,3,,Jawahar Dagar,390,2,,Manish,728,2,,,False,False
4,"Pro Kabaddi League Season 5, 2017",W,8,7/30/2017 8:00:00 ,U Mumba beat Haryana Steelers (29-28),7/30/2017 8:00:00 ,Completed,1,9,kabaddi,Gachibowli Indoor Stadium,290,League,Match 5,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,U Mumba,29,true,Haryana Steelers,28,false,U Mumba,Kashiling Adake,58,7,,Anup Kumar,29,6,,Surinder Singh,733,4,,Joginder Singh Narwal,194,3,,D. Suresh Kumar,162,3,Defender,Vikash Khandola,366,6,,Wazir Singh,124,6,,Surender Nada,146,5,Defender - Left Corner,Surjeet Singh,119,4,,Rakesh Singh Kumar,158,3,Defender,,False,False
5,"Pro Kabaddi League Season 5, 2017",W,8,7/30/2017 9:00:00 ,Bengaluru Bulls beat Telugu Titans (31-21),7/30/2017 9:00:00 ,Completed,10,9,kabaddi,Gachibowli Indoor Stadium,291,League,Match 6,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,21,false,Bengaluru Bulls,31,true,Bengaluru Bulls,Rahul Chaudhari,81,4,,Rakesh Kumar,88,4,Raider,Mohsen Maghsoudloujafari,567,4,,Vikas Kumar,762,3,Raider,Nilesh Salunke,293,3,,Rohit Kumar,326,12,,Ajay Kumar,389,7,,Ravinder Pahal,157,3,,Mahender Singh,769,3,,Ashish Kumar,202,2,,,False,False
6,"Pro Kabaddi League Season 5, 2017",W,8,8/1/2017 8:00:00 ,Gujarat Fortunegiants beat Dabang Delhi K.C. (26-20),8/1/2017 8:00:00 ,Completed,6,9,kabaddi,Gachibowli Indoor Stadium,292,League,Match 7,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Gujarat Giants,26,true,Dabang Delhi,20,false,Gujarat Giants,Fazel Atrachali,259,4,,Sachin,757,3,,Rakesh Narwal,204,3,,Sukesh Hegde,111,3,,Sunil Kumar,368,2,Defender,R. Sriram,718,5,,Anand Patil,576,3,,Sunil,207,2,,Abolfazl Maghsodloumahali,300,2,,Nilesh Shinde,73,2,Defender,,False,False
7,"Pro Kabaddi League Season 5, 2017",W,8,8/1/2017 9:00:00 ,U.P. Yoddha beat Telugu Titans (31-18),8/1/2017 9:00:00 ,Completed,13,9,kabaddi,Gachibowli Indoor Stadium,293,League,Match 8,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,18,false,U.P. Yoddhas,31,true,U.P. Yoddhas,Rahul Chaudhari,81,7,,Vishal Bhardwaj,358,3,,Vikas Kumar,762,3,Raider,Nilesh Salunke,293,2,,Rakesh Kumar,88,2,Raider,Nitin Tomar,320,6,,Nitesh Kumar,725,5,,Rishank Devadiga,94,5,,Mahesh Goud,66,4,,Surender Singh,234,3,,,False,False
8,"Pro Kabaddi League Season 5, 2017",T,8,8/2/2017 8:00:00 ,Match Tied,8/2/2017 8:00:00 ,Completed,0,9,kabaddi,Gachibowli Indoor Stadium,294,League,Match 9,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Gujarat Giants,27,false,Haryana Steelers,27,false,Tie,Mahendra Ganesh Rajput,163,5,,Sunil Kumar,368,3,Defender,Parvesh Bhainswal,357,3,,Sachin,757,3,,Sukesh Hegde,111,3,,Surender Nada,146,7,Defender - Left Corner,Vikash Khandola,366,7,,Surjeet Singh,119,6,,Prashanth Kumar Rai,155,3,,Rakesh Singh Kumar,158,1,Defender,,False,False
9,"Pro Kabaddi League Season 5, 2017",W,8,8/2/2017 9:00:00 ,Bengal Warriors beat Telugu Titans (30-24),8/2/2017 9:00:00 ,Completed,6,9,kabaddi,Gachibowli Indoor Stadium,295,League,Match 10,pkl,"Pro Kabaddi League Season 5, 2017",8,+05:30,Telugu Titans,24,false,Bengal Warriors,30,true,Bengal Warriors,Vikas Kumar,762,9,Raider,Nilesh Salunke,293,5,,Rahul Chaudhari,81,5,,Vinod Kumar,215,2,,Vishal Bhardwaj,358,1,,Maninder Singh,143,11,,Jang Kun Lee,12,8,,Shrikant Tewthia,107,1,,Ran Singh,160,1,,Deepak Narwal,211,1,,,False,False
