player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name
Pardeep Narwal,197,26,369,6,,PAT,1,8,Raider,Patna Pirates
Rohit Kumar,326,22,231,1,,BLR,2,8,Raider,Bengaluru Bulls
Ajay Thakur,26,22,222,29,,CHE,3,8,Raider,Tamil Thalaivas
Monu Goyat,388,26,202,6,,PAT,4,8,Raider,Patna Pirates
Rahul Chaudhari,81,22,193,8,,HYD,5,8,Raider,Telugu Titans
Maninder Singh,143,21,192,4,,KOL,6,8,Raider,Bengal Warriors
Deepak Hooda,41,24,186,7,,PUN,7,0,All Rounder,Puneri Paltan
Nitin Tomar,320,20,177,30,,U.P.,8,8,Raider,U.P. Yoddhas
Sachin,757,24,173,31,,GUJ,9,8,Raider,Gujarat Giants
Rishank Devadiga,94,21,170,30,,U.P.,10,8,Raider,U.P. Yoddhas
Anup Kumar,29,21,135,5,,MUM,11,8,Raider,U Mumba
K. Prapanjan,219,22,124,29,,CHE,12,8,Raider,Tamil Thalaivas
Pawan Kadian,156,21,122,3,,JAI,13,8,Raider,Jaipur Pink Panthers
Kashiling Adake,58,20,122,5,,MUM,14,8,Raider,U Mumba
Wazir Singh,124,21,120,28,,HAR,15,8,Raider,Haryana Steelers
Nilesh Salunke,293,21,105,8,,HYD,16,8,Raider,Telugu Titans
Meraj Sheykh,251,20,104,2,,DEL,17,0,All Rounder,Dabang Delhi K.C.
Shrikant Jadhav,106,19,98,5,,MUM,18,8,Raider,U Mumba
Abolfazel Maghsodlo,300,19,97,2,,DEL,19,8,Raider,Dabang Delhi K.C.
Rajesh Mondal,85,24,91,7,,PUN,20,8,Raider,Puneri Paltan
Jang Kun Lee,12,21,89,4,,KOL,21,8,Raider,Bengal Warriors
Ajay Kumar,389,22,89,1,,BLR,22,8,Raider,Bengaluru Bulls
Deepak Narwal,211,16,87,4,,KOL,23,8,Raider,Bengal Warriors
Sandeep Narwal,142,21,85,7,,PUN,24,0,All Rounder,Puneri Paltan
Nitin Rawal,3065,21,85,3,,JAI,25,0,All Rounder,Jaipur Pink Panthers
Surender Nada,146,21,83,28,,HAR,26,9,Defender,Haryana Steelers
Prashanth Kumar Rai,155,16,80,28,,HAR,27,8,Raider,Haryana Steelers
Surjeet Singh,322,24,79,4,,KOL,28,9,Defender,Bengal Warriors
Deepak Kumar Dahiya,174,16,78,28,,HAR,29,8,Raider,Haryana Steelers
Sukesh Hegde,111,18,77,31,,GUJ,30,8,Raider,Gujarat Giants
Rohit Baliyan,261,17,74,2,,DEL,31,8,Raider,Dabang Delhi K.C.
Vishal Bhardwaj,3083,22,71,8,,HYD,32,0,All Rounder,Telugu Titans
Jaideep,579,26,71,6,,PAT,33,9,Defender,Patna Pirates
Surender Singh,234,18,70,30,,U.P.,34,8,Raider,U.P. Yoddhas
Girish Maruti Ernak,161,21,69,7,,PUN,35,9,Defender,Puneri Paltan
Tushar Patil,242,17,67,3,,JAI,36,8,Raider,Jaipur Pink Panthers
Jasvir Singh,52,15,66,3,,JAI,37,8,Raider,Jaipur Pink Panthers
Abozar Mighani,489,24,66,31,,GUJ,38,9,Defender,Gujarat Giants
Ran Singh,160,23,64,4,,KOL,39,0,All Rounder,Bengal Warriors
Vijay Malik,3081,19,64,6,,PAT,40,0,All Rounder,Patna Pirates
Surjeet Singh,119,17,63,28,,HAR,41,8,Raider,Haryana Steelers
Mahendra Rajput,163,17,62,31,,GUJ,42,8,Raider,Gujarat Giants
Amit Hooda,212,22,61,29,,CHE,43,9,Defender,Tamil Thalaivas
Surinder Singh,3086,22,58,5,,MUM,44,9,Defender,U Mumba
Sunil Kumar,368,24,58,31,,GUJ,45,9,Defender,Gujarat Giants
Mahender Singh,769,22,58,1,,BLR,46,9,Defender,Bengaluru Bulls
Vikash Kandola,366,9,58,28,,HAR,47,8,Raider,Haryana Steelers
Fazel Atrachali,259,24,57,31,,GUJ,48,9,Defender,Gujarat Giants
Ravinder Pahal,157,19,54,1,,BLR,49,9,Defender,Bengaluru Bulls
Manjeet Chhillar,69,15,52,3,,JAI,50,0,All Rounder,Jaipur Pink Panthers
Chandran Ranjit,36,11,51,31,,GUJ,51,8,Raider,Gujarat Giants
Monu,3082,19,49,7,,PUN,52,0,All Rounder,Puneri Paltan
Parvesh Bhainswal,357,24,48,31,,GUJ,53,9,Defender,Gujarat Giants
Vinod Kumar,764,21,48,6,,PAT,54,8,Raider,Patna Pirates
Nitesh Kumar,3088,19,47,30,,U.P.,55,9,Defender,U.P. Yoddhas
Kuldeep Singh,252,20,47,5,,MUM,56,0,All Rounder,U Mumba
Mohsen Maghsoudlou,567,16,47,8,,HYD,57,8,Raider,Telugu Titans
Jeeva Kumar,54,22,44,30,,U.P.,58,9,Defender,U.P. Yoddhas
Mohit Chhillar,71,20,42,28,,HAR,59,9,Defender,Haryana Steelers
Mahesh Goud,66,21,42,30,,U.P.,60,8,Raider,U.P. Yoddhas
Vinod Kumar,387,19,41,4,,KOL,61,8,Raider,Bengal Warriors
Darshan J.,724,20,41,29,,CHE,62,9,Defender,Tamil Thalaivas
Darshan Kadian,324,16,40,5,,MUM,63,8,Raider,U Mumba
