player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
Pawan Sehrawat,318,24,282,1,,BLR,1,8,raider,Bengaluru Bulls,11.75
Pardeep Narwal,197,21,233,6,,PAT,2,8,Raider,Patna Pirates,11.095238095238095
Siddharth Desai,2026,21,221,5,,MUM,3,8,Raider,U Mumba,10.523809523809524
Deepak Hooda,41,22,208,3,,JAI,4,0,All Rounder,Jaipur Pink Panthers,9.454545454545455
Maninder Singh,143,22,206,4,,KOL,5,8,raider,Bengal Warriors,9.363636363636363
Ajay Thakur,26,22,204,29,,CHE,6,8,Raider,Tamil Thalaivas,9.272727272727273
Sachin ,757,23,204,31,,GUJ,7,8,Raider,Gujarat Giants,8.869565217391305
Naveen Kumar,2296,22,177,2,,DEL,8,8,Raider,Dabang Delhi K.C.,8.045454545454545
Vikash Khandola,366,22,177,28,,HAR,9,8,raider,Haryana Steelers,8.045454545454545
Rohit Kumar,326,24,171,1,,BLR,10,8,raider,Bengaluru Bulls,7.125
Rahul Chaudhari,81,21,166,8,,HYD,11,8,Raider,Telugu Titans,7.904761904761905
Monu Goyat,388,20,164,28,,HAR,12,8,Raider,Haryana Steelers,8.2
Chandran Ranjit,36,24,158,2,,DEL,13,8,Raider,Dabang Delhi K.C.,6.583333333333333
Prashanth Rai,155,21,147,30,,U.P.,14,8,raider,U.P. Yoddha,7
Shrikant Jadhav,106,25,146,30,,U.P.,15,8,raider,U.P. Yoddha,5.84
K.Prapanjan ,219,22,123,31,,GUJ,16,8,raider,Gujarat Giants,5.590909090909091
Rohit Baliyan,261,19,108,5,,MUM,17,8,Raider,U Mumba,5.684210526315789
Rishank Devadiga,94,23,104,30,,U.P.,18,8,Raider,U.P. Yoddha,4.521739130434782
Nitin Tomar,320,11,102,7,,PUN,19,8,raider,Puneri Paltan,9.272727272727273
Manjeet ,763,22,102,6,,PAT,20,8,raider,Patna Pirates,4.636363636363637
Naveen ,2357,21,102,28,,HAR,21,8,Raider,Haryana Steelers,4.857142857142857
Nitesh Kumar,3088,25,101,30,,U.P.,22,9,Defender,U.P. Yoddha,4.04
Meraj Sheykh,251,19,97,2,,DEL,23,0,All Rounder,Dabang Delhi K.C.,5.105263157894737
More G B,772,22,91,7,,PUN,24,8,Raider,Puneri Paltan,4.136363636363637
Parvesh Bhainswal,357,25,86,31,,GUJ,25,9,defender,Gujarat Giants,3.44
Nilesh Salunke,293,19,85,8,,HYD,26,9,Defender,Telugu Titans,4.473684210526316
Kashiling Adake,58,20,84,1,,BLR,27,8,Raider,Bengaluru Bulls,4.2
Fazel Atrachali,259,23,83,5,,MUM,28,9,defender,U Mumba,3.608695652173913
Jang Lee,12,18,82,4,,KOL,29,8,Raider,Bengal Warriors,4.555555555555555
Sunil Kumar,368,25,76,31,,GUJ,30,9,Defender,Gujarat Giants,3.04
Ajinkya Ashok Pawar,3097,17,75,3,,JAI,31,8,Raider,Jaipur Pink Panthers,4.411764705882353
Deepak Narwal,211,17,74,6,,PAT,32,8,Raider,Patna Pirates,4.352941176470588
Vijay ,3081,21,73,6,,PAT,33,0,All Rounder,Patna Pirates,3.4761904761904763
Ran Singh,160,22,71,4,,KOL,34,0,All Rounder,Bengal Warriors,3.227272727272727
Sukesh Hegde,111,17,71,29,,CHE,35,8,Raider,Tamil Thalaivas,4.176470588235294
Sachin Kumar,218,25,68,30,,U.P.,36,9,Defender,U.P. Yoddha,2.72
Manjeet Chhillar,69,19,67,29,,CHE,37,0,All Rounder,Tamil Thalaivas,3.526315789473684
Sandeep Dhull,290,22,67,3,,JAI,38,9,Defender,Jaipur Pink Panthers,3.0454545454545454
Sandeep Narwal,142,18,66,7,,PUN,39,0,All Rounder,Puneri Paltan,3.6666666666666665
Mahender Singh,769,24,63,1,,BLR,40,9,Defender,Bengaluru Bulls,2.625
Surinder Singh,3086,22,62,5,,MUM,41,9,Defender,U Mumba,2.8181818181818183
Rohit Gulia,3023,19,61,31,,GUJ,42,0,All Rounder,Gujarat Giants,3.210526315789474
Vishal Bharadwaj,3083,17,60,8,,HYD,43,9,defender,Telugu Titans,3.5294117647058822
Ravinder Pahal,157,22,59,2,,DEL,44,9,Defender,Dabang Delhi K.C.,2.6818181818181817
Jaideep ,579,22,58,6,,PAT,45,9,Defender,Patna Pirates,2.6363636363636362
Surjeet Singh,322,23,57,4,,KOL,46,9,Defender,Bengal Warriors,2.4782608695652173
Girish Maruti Ernak,161,20,57,7,,PUN,47,9,Defender,Puneri Paltan,2.85
Monu ,3082,14,57,7,,PUN,48,8,Raider,Puneri Paltan,4.071428571428571
Mohsen Maghsoudlou,567,19,56,8,,HYD,49,0,All Rounder,Telugu Titans,2.9473684210526314
Athul M S,376,19,56,29,,CHE,50,8,Raider,Tamil Thalaivas,2.9473684210526314
Abozar Mighani,489,21,56,8,,HYD,51,9,Defender,Telugu Titans,2.6666666666666665
Abhishek Singh,2028,15,53,5,,MUM,52,8,Raider,U Mumba,3.533333333333333
Vinod Kumar,764,17,51,5,,MUM,53,8,Raider,U Mumba,3
Joginder Narwal,194,22,51,2,,DEL,54,9,Defender,Dabang Delhi K.C.,2.3181818181818183
Amit Hooda,212,18,51,29,,CHE,55,9,Defender,Tamil Thalaivas,2.8333333333333335
Anup Kumar,29,13,50,3,,JAI,56,8,Raider,Jaipur Pink Panthers,3.8461538461538463
DARSHAN ,324,14,50,5,,MUM,57,8,Raider,U Mumba,3.5714285714285716
