match_played,value,team_id,team_name,rank,points_per_match
23,289,5,U Mumba,1,12.565217391304348
25,274,31,Gujarat Giants,2,10.96
25,265,30,U.P. Yoddha,3,10.6
22,233,8,Telugu Titans,4,10.590909090909092
24,230,1,Bengaluru Bulls,5,9.583333333333334
22,225,3,Jaipur Pink Panthers,6,10.227272727272727
22,219,7,Puneri Paltan,7,9.954545454545455
24,216,2,Dabang Delhi K.C.,8,9.0
22,201,6,Patna Pirates,9,9.136363636363637
23,200,4,Bengal Warriors,10,8.695652173913043
22,193,28,Haryana Steelers,11,8.772727272727273
22,189,29,Tamil Thalaivas,12,8.590909090909092
