team_id,team-all-outs-inflicted_team_name,team-dod-raid-points_team_name,team-total-points-conceded_team_name,team-super-raid_team_name,team-successful-tackles_team_name,team-raid-points_team_name,team-average-tackle-points_team_name,team-successful-raids_team_name,team-super-tackles_team_name,team-tackle-points_team_name,team-average-raid-points_team_name,team-avg-points-scored_team_name,team-all-outs-conceded_team_name,team-total-points_team_name,team-all-outs-inflicted_match_played,team-dod-raid-points_match_played,team-total-points-conceded_match_played,team-super-raid_match_played,team-successful-tackles_match_played,team-raid-points_match_played,team-average-tackle-points_match_played,team-successful-raids_match_played,team-super-tackles_match_played,team-tackle-points_match_played,team-average-raid-points_match_played,team-avg-points-scored_match_played,team-all-outs-conceded_match_played,team-total-points_match_played,team-all-outs-inflicted_rank,team-dod-raid-points_rank,team-total-points-conceded_rank,team-super-raid_rank,team-successful-tackles_rank,team-raid-points_rank,team-average-tackle-points_rank,team-successful-raids_rank,team-super-tackles_rank,team-tackle-points_rank,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-total-points_rank,team-all-outs-inflicted_value,team-dod-raid-points_value,team-total-points-conceded_value,team-super-raid_value,team-successful-tackles_value,team-raid-points_value,team-average-tackle-points_value,team-successful-raids_value,team-super-tackles_value,team-tackle-points_value,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-total-points_value,team-all-outs-inflicted_points_per_match,team-dod-raid-points_points_per_match,team-total-points-conceded_points_per_match,team-super-raid_points_per_match,team-successful-tackles_points_per_match,team-raid-points_points_per_match,team-average-tackle-points_points_per_match,team-successful-raids_points_per_match,team-super-tackles_points_per_match,team-tackle-points_points_per_match,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-total-points_points_per_match
1,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,24,24,24,24,24,24,24,24,24,24,24,24,24,24,7,11,1,4,8,1,9,3,4,5,1,3,3,3,30,54,855,13,206,533,9.67,412,26,232,22.21,36.17,33,868,1.25,2.25,35.625,0.5416666666666666,8.583333333333334,22.208333333333332,0.4029166666666666,17.166666666666668,1.0833333333333333,9.666666666666666,0.9254166666666668,1.507083333333333,1.375,36.166666666666664
2,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,9,2,8,5,2,11,1,12,11,2,1,9,1,40,58,823,8,214,532,9.25,431,8,222,22.17,37.08,26,890,1.6666666666666667,2.4166666666666665,34.291666666666664,0.3333333333333333,8.916666666666666,22.166666666666668,0.3854166666666667,17.958333333333332,0.3333333333333333,9.25,0.92375,1.545,1.0833333333333333,37.083333333333336
3,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,Jaipur Pink Panthers,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,1,11,5,7,10,3,12,1,3,10,10,10,10,20,80,713,11,209,385,10.91,295,31,240,17.5,31.82,25,700,0.9090909090909092,3.636363636363636,32.40909090909091,0.5,9.5,17.5,0.4959090909090909,13.409090909090908,1.4090909090909092,10.909090909090908,0.7954545454545454,1.4463636363636363,1.1363636363636365,31.818181818181817
4,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,8,6,1,3,3,10,2,11,6,3,2,12,2,41,62,790,15,217,513,9.54,414,12,229,21.38,36.17,23,868,1.7083333333333333,2.5833333333333335,32.916666666666664,0.625,9.041666666666666,21.375,0.3974999999999999,17.25,0.5,9.541666666666666,0.8908333333333333,1.507083333333333,0.9583333333333334,36.166666666666664
5,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,24,24,24,24,24,24,24,24,24,24,24,24,24,24,5,3,10,7,4,6,8,7,8,4,8,9,7,5,33,79,732,9,216,438,9.71,350,17,233,18.25,32.71,27,785,1.375,3.2916666666666665,30.5,0.375,9.0,18.25,0.4045833333333333,14.583333333333334,0.7083333333333334,9.708333333333334,0.7604166666666666,1.3629166666666668,1.125,32.708333333333336
6,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3,4,9,3,11,5,4,6,2,7,5,4,8,6,34,78,745,14,196,447,10.23,354,29,225,20.32,35.18,26,774,1.5454545454545454,3.5454545454545454,33.86363636363637,0.6363636363636364,8.909090909090908,20.318181818181817,0.465,16.09090909090909,1.318181818181818,10.227272727272728,0.9236363636363636,1.5990909090909091,1.181818181818182,35.18181818181818
7,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,Puneri Paltan,22,22,22,22,22,22,22,22,22,22,22,22,22,22,9,6,3,9,2,8,1,8,3,1,7,6,1,8,22,64,816,8,235,409,12.0,329,29,264,18.59,33.82,37,744,1.0,2.909090909090909,37.09090909090909,0.3636363636363636,10.681818181818182,18.59090909090909,0.5454545454545454,14.954545454545457,1.318181818181818,12.0,0.845,1.5372727272727271,1.681818181818182,33.81818181818182
8,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,Telugu Titans,22,22,22,22,22,22,22,22,22,22,22,22,22,22,11,12,5,6,10,7,6,5,5,10,6,8,2,9,18,49,792,11,200,436,10.18,355,24,224,19.82,32.95,33,725,0.8181818181818182,2.227272727272727,36.0,0.5,9.090909090909092,19.818181818181817,0.4627272727272727,16.136363636363637,1.0909090909090908,10.181818181818182,0.9009090909090908,1.4977272727272728,1.5,32.95454545454545
28,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,Haryana Steelers,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4,5,4,2,6,4,7,4,9,8,4,5,6,4,33,76,802,15,210,490,9.78,377,15,225,21.3,35.17,28,809,1.434782608695652,3.3043478260869565,34.869565217391305,0.6521739130434783,9.130434782608695,21.304347826086957,0.4252173913043478,16.391304347826086,0.6521739130434783,9.782608695652174,0.9260869565217392,1.529130434782609,1.2173913043478262,35.17391304347826
29,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,Tamil Thalaivas,22,22,22,22,22,22,22,22,22,22,22,22,22,22,12,10,8,12,12,11,12,10,10,12,11,12,4,12,15,58,761,4,177,378,8.73,308,15,192,17.18,29.18,31,642,0.6818181818181818,2.636363636363636,34.59090909090909,0.1818181818181818,8.045454545454545,17.181818181818183,0.3968181818181818,14.0,0.6818181818181818,8.727272727272727,0.7809090909090909,1.3263636363636364,1.4090909090909092,29.181818181818183
