match_played,value,team_id,team_name,rank,points_per_match
24,431,2,Dabang Delhi K.C.,1,17.958333333333332
24,414,4,Bengal Warriors,2,17.25
24,412,1,Bengaluru Bulls,3,17.166666666666668
23,377,28,Haryana Steelers,4,16.391304347826086
22,355,8,Telugu Titans,5,16.136363636363637
22,354,6,Patna Pirates,6,16.09090909090909
24,350,5,U Mumba,7,14.583333333333334
22,329,7,Puneri Paltan,8,14.954545454545455
23,328,30,U.P. Yoddha,9,14.26086956521739
22,308,29,Tamil Thalaivas,10,14.0
22,305,31,Gujarat Giants,11,13.863636363636363
22,295,3,Jaipur Pink Panthers,12,13.409090909090908
