match_played,value,team_id,team_name,rank,points_per_match
24,12.04,6,Patna Pirates,1,0.5016666666666666
23,11.0,7,Puneri Paltan,2,0.4782608695652174
24,10.88,1,Bengaluru Bulls,3,0.45333333333333337
22,10.32,29,Tamil Thalaivas,4,0.4690909090909091
24,10.08,30,U.P. Yoddhas,5,0.42
22,9.91,28,Haryana Steelers,6,0.45045454545454544
22,9.82,5,U Mumba,7,0.44636363636363635
22,9.5,3,Jaipur Pink Panthers,8,0.4318181818181818
22,9.41,8,Telugu Titans,9,0.42772727272727273
23,9.0,31,Gujarat Giants,10,0.391304347826087
24,8.33,2,Dabang Delhi K.C.,11,0.34708333333333335
22,8.09,4,Bengal Warriors,12,0.36772727272727274
