match_played,value,team_id,team_name,rank,points_per_match
24,48,3,Jaipur Pink Panthers,1,2.0
24,45,1,Bengaluru Bulls,2,1.875
24,38,7,Puneri Paltan,3,1.5833333333333333
23,37,30,U.P. Yoddhas,4,1.608695652173913
22,34,31,Gujarat Giants,5,1.5454545454545454
23,34,2,Dabang Delhi K.C.,6,1.4782608695652173
22,30,4,Bengal Warriors,7,1.3636363636363635
24,30,29,Tamil Thalaivas,8,1.25
22,28,6,Patna Pirates,9,1.2727272727272727
22,25,28,Haryana Steelers,10,1.1363636363636365
22,23,5,U Mumba,11,1.0454545454545454
22,11,8,Telugu Titans,12,0.5
