match_played,value,team_id,team_name,rank,points_per_match
22,48,8,Telugu Titans,1,2.1818181818181817
23,41,2,Dabang Delhi K.C.,2,1.7826086956521738
24,36,1,Bengaluru Bulls,3,1.5
22,34,6,Patna Pirates,4,1.5454545454545454
24,33,29,Tamil Thalaivas,5,1.375
22,32,4,Bengal Warriors,6,1.4545454545454546
22,30,31,Gujarat Giants,7,1.3636363636363635
23,29,30,U.P. Yoddhas,8,1.2608695652173914
22,29,28,Haryana Steelers,9,1.3181818181818181
22,27,5,U Mumba,10,1.2272727272727273
24,26,7,Puneri Paltan,11,1.0833333333333333
24,18,3,Jaipur Pink Panthers,12,0.75
