match_played,value,team_id,team_name,rank,points_per_match
24,11.42,3,Jaipur Pink Panthers,1,0.47583333333333333
24,10.13,29,Tamil Thalaivas,2,0.42208333333333337
24,9.92,7,Puneri Paltan,3,0.41333333333333333
24,9.83,1,Bengaluru Bulls,4,0.40958333333333335
22,9.82,5,U Mumba,5,0.44636363636363635
23,9.7,2,Dabang Delhi K.C.,6,0.42173913043478256
22,9.41,28,Haryana Steelers,7,0.42772727272727273
22,9.27,4,Bengal Warriors,8,0.42136363636363633
22,8.91,6,Patna Pirates,9,0.405
23,8.78,30,U.P. Yoddhas,10,0.3817391304347826
22,8.05,31,Gujarat Giants,11,0.36590909090909096
22,7.5,8,Telugu Titans,12,0.3409090909090909
