match_played,value,team_id,team_name,rank,points_per_match
23,926,2,Dabang Delhi K.C.,1,40.26086956521739
24,895,1,Bengaluru Bulls,2,37.291666666666664
22,878,8,Telugu Titans,3,39.90909090909091
24,850,29,Tamil Thalaivas,4,35.416666666666664
22,849,31,Gujarat Giants,5,38.59090909090909
22,816,4,Bengal Warriors,6,37.09090909090909
23,812,30,U.P. Yoddhas,7,35.30434782608695
24,808,7,Puneri Paltan,8,33.666666666666664
22,781,6,Patna Pirates,9,35.5
24,758,3,Jaipur Pink Panthers,10,31.583333333333332
22,754,28,Haryana Steelers,11,34.27272727272727
22,743,5,U Mumba,12,33.77272727272727
