match_played,value,team_id,team_name,rank,points_per_match
204,3264,6,Patna Pirates,1,16.0
200,3109,1,Bengaluru Bulls,2,15.545
196,3099,2,Dabang Delhi K.C.,3,15.811224489795919
195,2986,4,Bengal Warriors,4,15.312820512820513
195,2917,3,Jaipur Pink Panthers,5,14.95897435897436
197,2907,5,U Mumba,6,14.756345177664974
199,2903,7,Puneri Paltan,7,14.587939698492463
192,2877,8,Telugu Titans,8,14.984375
140,2155,30,U.P. Yoddhas,9,15.392857142857142
137,2148,28,Haryana Steelers,10,15.678832116788321
139,2129,31,Gujarat Giants,11,15.316546762589928
134,2073,29,Tamil Thalaivas,12,15.470149253731343
