season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-super-raid_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-super-raid_value,team-dod-raid-points_value,team-super-tackles_value,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-super-raid_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match
2,1,Bengaluru Bulls,16,4,2,4,3,1,8,2,2,5,4,2,1,4,3,15.69,31.69,9,10,81,6,251,202,457,165,507,13,10.31,158,0.980625,1.980625,0.5625,0.625,5.0625,0.375,15.6875,12.625,28.5625,10.3125,31.6875,0.8125,0.644375,9.875
2,2,Dabang Delhi K.C.,14,5,5,2,2,6,5,7,7,4,7,6,8,7,6,15.5,28.29,12,14,60,14,217,161,464,136,396,4,9.71,122,1.107142857,2.020714286,0.857142857,1.0,4.285714286,1.0,15.5,11.5,33.14285714,9.714285714,28.28571429,0.285714286,0.693571429,8.714285714
2,3,Jaipur Pink Panthers,14,2,3,6,7,8,2,4,5,8,5,5,2,5,5,16.57,31.57,6,5,47,18,232,188,399,142,442,12,10.14,124,1.183571429,2.255,0.428571429,0.357142857,3.357142857,1.285714286,16.57142857,13.42857143,28.5,10.14285714,31.57142857,0.857142857,0.724285714,8.857142857
2,4,Bengal Warriors,14,8,8,5,4,4,1,8,8,6,6,8,6,6,7,13.14,26.21,8,9,62,20,184,136,430,137,367,6,9.79,116,0.938571429,1.872142857,0.571428571,0.642857143,4.428571429,1.428571429,13.14285714,9.714285714,30.71428571,9.785714286,26.21428571,0.428571429,0.699285714,8.285714286
2,5,U Mumba,16,6,4,8,6,2,3,3,3,7,1,3,4,1,1,14.81,30.56,5,7,79,16,237,189,426,196,489,11,12.25,180,0.925625,1.91,0.3125,0.4375,4.9375,1.0,14.8125,11.8125,26.625,12.25,30.5625,0.6875,0.765625,11.25
2,6,Patna Pirates,16,7,7,3,8,3,6,5,4,2,3,4,7,3,4,14.25,27.81,10,4,63,12,228,189,488,166,445,5,10.38,153,0.890625,1.738125,0.625,0.25,3.9375,0.75,14.25,11.8125,30.5,10.375,27.8125,0.3125,0.64875,9.5625
2,7,Puneri Paltan,14,3,6,1,5,7,7,6,6,3,8,7,5,8,8,15.93,27.93,14,8,56,10,223,173,465,115,391,7,8.21,104,1.137857143,1.995,1.0,0.571428571,4.0,0.714285714,15.92857143,12.35714286,33.21428571,8.214285714,27.92857143,0.5,0.586428571,7.428571429
2,8,Telugu Titans,16,1,1,7,1,5,4,1,1,1,2,1,3,2,2,21.5,36.56,6,16,61,14,344,269,493,174,585,12,10.88,158,1.34375,2.285,0.375,1.0,3.8125,0.875,21.5,16.8125,30.8125,10.875,36.5625,0.75,0.68,9.875
3,1,Bengaluru Bulls,14,7,8,5,3,3,6,7,7,3,8,8,4,8,8,14.93,25.93,8,9,68,7,209,162,465,101,363,5,7.21,94,1.066428571,1.852142857,0.571428571,0.642857143,4.857142857,0.5,14.92857143,11.57142857,33.21428571,7.214285714,25.92857143,0.357142857,0.515,6.714285714
3,2,Dabang Delhi K.C.,14,3,6,2,6,7,5,6,6,1,7,6,6,7,7,16.64,27.43,12,5,53,13,233,177,526,111,384,4,7.93,98,1.188571429,1.959285714,0.857142857,0.357142857,3.785714286,0.928571429,16.64285714,12.64285714,37.57142857,7.928571429,27.42857143,0.285714286,0.566428571,7.0
3,3,Jaipur Pink Panthers,14,8,7,6,4,6,1,8,8,7,5,7,8,5,6,13.79,26.0,7,8,58,16,193,151,427,117,364,3,8.36,100,0.985,1.857142857,0.5,0.571428571,4.142857143,1.142857143,13.78571429,10.78571429,30.5,8.357142857,26.0,0.214285714,0.597142857,7.142857143
3,4,Bengal Warriors,16,6,5,1,7,4,4,5,2,4,4,4,7,4,4,15.63,28.75,14,4,68,13,250,218,450,150,460,4,9.38,137,0.976875,1.796875,0.875,0.25,4.25,0.8125,15.625,13.625,28.125,9.375,28.75,0.25,0.58625,8.5625
3,5,U Mumba,16,4,3,7,5,5,8,3,3,8,3,3,3,3,3,15.81,31.38,5,7,59,6,253,210,398,169,502,13,10.56,163,0.988125,1.96125,0.3125,0.4375,3.6875,0.375,15.8125,13.125,24.875,10.5625,31.375,0.8125,0.66,10.1875
3,6,Patna Pirates,16,1,1,8,1,2,7,1,1,2,2,1,1,2,1,20.25,37.13,2,16,71,7,324,244,468,182,594,17,11.38,175,1.265625,2.320625,0.125,1.0,4.4375,0.4375,20.25,15.25,29.25,11.375,37.125,1.0625,0.71125,10.9375
3,7,Puneri Paltan,16,5,2,3,2,1,3,4,5,6,1,2,2,1,2,15.69,31.88,8,9,86,13,251,206,433,187,510,13,11.69,174,0.980625,1.9925,0.5,0.5625,5.375,0.8125,15.6875,12.875,27.0625,11.6875,31.875,0.8125,0.730625,10.875
3,8,Telugu Titans,14,2,4,4,8,8,2,2,4,5,6,5,5,6,5,18.14,30.5,8,3,45,15,254,209,437,117,427,5,8.36,101,1.295714286,2.178571429,0.571428571,0.214285714,3.214285714,1.071428571,18.14285714,14.92857143,31.21428571,8.357142857,30.5,0.357142857,0.597142857,7.214285714
4,1,Bengaluru Bulls,14,8,8,3,8,6,4,8,8,7,7,8,8,6,8,14.36,25.71,8,4,61,15,201,158,415,124,360,4,8.86,109,1.025714286,1.836428571,0.571428571,0.285714286,4.357142857,1.071428571,14.35714286,11.28571429,29.64285714,8.857142857,25.71428571,0.285714286,0.632857143,7.785714286
4,2,Dabang Delhi K.C.,14,6,4,2,1,1,2,6,7,8,4,5,7,3,6,16.14,29.93,10,11,86,18,226,166,412,136,419,5,9.71,116,1.152857143,2.137857143,0.714285714,0.785714286,6.142857143,1.285714286,16.14285714,11.85714286,29.42857143,9.714285714,29.92857143,0.357142857,0.693571429,8.285714286
4,3,Jaipur Pink Panthers,16,2,5,8,5,2,3,2,4,4,5,4,3,8,4,16.88,29.69,4,6,78,16,270,208,451,136,475,8,8.5,119,1.055,1.855625,0.25,0.375,4.875,1.0,16.875,13.0,28.1875,8.5,29.6875,0.5,0.53125,7.4375
4,4,Bengal Warriors,14,7,7,5,6,7,6,7,6,5,6,7,4,5,5,14.43,27.0,7,4,61,8,202,171,438,125,378,7,8.93,117,1.030714286,1.928571429,0.5,0.285714286,4.357142857,0.571428571,14.42857143,12.21428571,31.28571429,8.928571429,27.0,0.5,0.637857143,8.357142857
4,5,U Mumba,14,5,6,1,7,8,5,5,5,6,8,6,6,7,7,16.21,28.57,11,4,42,11,227,189,418,121,400,6,8.64,110,1.157857143,2.040714286,0.785714286,0.285714286,3.0,0.785714286,16.21428571,13.5,29.85714286,8.642857143,28.57142857,0.428571429,0.617142857,7.857142857
4,6,Patna Pirates,16,4,3,6,4,5,1,4,3,2,1,3,5,1,2,16.5,30.75,6,7,72,26,264,209,466,172,492,7,10.75,145,1.03125,1.921875,0.375,0.4375,4.5,1.625,16.5,13.0625,29.125,10.75,30.75,0.4375,0.671875,9.0625
4,7,Puneri Paltan,16,1,1,7,2,3,7,1,1,1,3,1,2,4,3,18.13,32.19,5,10,76,6,290,238,491,147,515,10,9.19,140,1.133125,2.011875,0.3125,0.625,4.75,0.375,18.125,14.875,30.6875,9.1875,32.1875,0.625,0.574375,8.75
4,8,Telugu Titans,16,3,2,4,3,4,8,3,2,3,2,2,1,2,1,16.69,31.63,8,7,76,5,267,210,454,162,506,12,10.13,157,1.043125,1.976875,0.5,0.4375,4.75,0.3125,16.6875,13.125,28.375,10.125,31.625,0.75,0.633125,9.8125
1,1,Bengaluru Bulls,16,8,6,7,7,5,6,5,6,5,2,4,4,2,2,18.19,31.13,30,7,39,10,291,230,479,163,498,40,10.19,153,1.136875,1.945625,1.875,0.4375,2.4375,0.625,18.1875,14.375,29.9375,10.1875,31.125,2.5,0.636875,9.5625
