season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_points_per_match,team-avg-points-scored_points_per_match,team-all-outs-conceded_points_per_match,team-successful-tackle-percent_points_per_match,team-super-raid_points_per_match,team-raid_points_per_match,team-successful-raid-percent_points_per_match,team-dod-raid-points_points_per_match,team-super-tackles_points_per_match,Total touch points per match,Total touch points per match,team-raid-points_points_per_match,team-successful-raids_points_per_match,team-total-points-conceded_points_per_match,team-tackle-points_points_per_match,team-total-points_points_per_match,team-successful-tackles-per-match_points_per_match,team-all-outs-inflicted_points_per_match,team-average-tackle-points_points_per_match,team-successful-tackles_points_per_match
5,1,Bengaluru Bulls,22,7,8,9,3,11,12,3,6,7,9,6,11,7,9,6,4,7,6,17.86,31.32,25,38.54,5,943,34.99,93,16,294,99,393,330,679,202,689,8.41,28,9.18,185,0.8118181818181818,1.4236363636363636,1.1363636363636365,1.7518181818181815,0.2272727272727272,42.86363636363637,1.5904545454545456,4.227272727272728,0.7272727272727273,13.36,4.5,17.86,15,30.86,30.86,31.32,0.38,1.27,0.42,8.41
5,2,Dabang Delhi K.C.,22,12,12,2,12,10,8,11,5,11,12,11,6,12,12,12,12,12,12,15.64,27.14,35,32.06,6,973,28.57,94,10,260,84,344,278,731,171,597,7.23,18,7.77,159,0.7109090909090909,1.2336363636363636,1.5909090909090908,1.4572727272727273,0.2727272727272727,44.22727272727273,1.2986363636363636,4.2727272727272725,0.4545454545454545,11.82,3.82,15.64,12.64,33.23,33.23,27.14,0.33,0.82,0.35,7.23
5,3,Jaipur Pink Panthers,22,10,11,7,8,3,11,10,11,12,11,12,8,11,11,11,9,11,11,16.05,28.68,27,35.29,13,962,28.9,83,9,297,56,353,278,722,172,631,7.36,22,7.82,162,0.7295454545454546,1.3036363636363637,1.2272727272727273,1.604090909090909,0.5909090909090909,43.72727272727273,1.3136363636363635,3.772727272727273,0.4090909090909091,13.5,2.55,16.05,12.64,32.82,32.82,28.68,0.33,1,0.36,7.36
5,4,Bengal Warriors,24,4,9,5,9,6,2,4,9,9,3,2,3,10,5,10,5,10,9,18.96,31.17,29,34.81,11,1079,34.29,87,12,333,122,455,370,757,193,748,7.54,27,8.04,181,0.79,1.29875,1.2083333333333333,1.450416666666667,0.4583333333333333,44.958333333333336,1.42875,3.625,0.5,13.88,5.08,18.96,15.42,31.54,31.54,31.17,0.31,1.13,0.33,7.54
5,5,U Mumba,22,3,4,1,11,8,10,7,12,2,4,9,4,6,7,8,10,6,10,19.05,32.14,36,32.65,10,963,32.71,78,26,298,121,419,315,757,202,707,8,21,9.18,176,0.865909091,1.460909090909091,1.6363636363636365,1.4840909090909091,0.4545454545454545,43.77272727272727,1.4868181818181818,3.5454545454545454,1.181818181818182,13.55,5.5,19.05,14.32,34.41,34.41,32.14,0.36,0.95,0.42,8
5,6,Patna Pirates,26,1,1,6,6,1,1,1,4,1,1,1,1,3,1,4,1,4,3,24.5,40.38,29,36.16,26,1173,41.09,95,26,508,129,637,482,921,253,1050,8.69,55,9.73,226,0.9423076923076924,1.5530769230769232,1.1153846153846154,1.3907692307692303,1,45.11538461538461,1.5803846153846155,3.6538461538461537,1,19.54,4.96,24.5,18.54,35.42,35.42,40.38,0.33,2.12,0.37,8.69
5,7,Puneri Paltan,24,11,5,11,2,4,4,12,1,4,10,10,10,1,3,1,3,1,1,15.79,31.92,23,46.07,12,1042,28.21,119,19,321,58,379,294,683,273,766,10.5,32,11.38,252,0.6579166666666666,1.33,0.9583333333333334,1.9195833333333336,0.5,43.41666666666666,1.1754166666666668,4.958333333333333,0.7916666666666666,13.38,2.42,15.79,12.25,28.46,28.46,31.92,0.44,1.33,0.47,10.5
5,8,Telugu Titans,22,6,6,8,5,9,9,6,8,8,8,7,9,5,8,5,7,5,5,18.18,31.64,26,37.6,10,971,33.88,89,16,301,99,400,329,698,208,696,8.68,25,9.45,191,0.8263636363636363,1.4381818181818182,1.181818181818182,1.7090909090909092,0.4545454545454545,44.13636363636363,1.54,4.045454545454546,0.7272727272727273,13.68,4.5,18.18,14.95,31.73,31.73,31.64,0.39,1.14,0.43,8.68
5,28,Haryana Steelers,23,8,7,10,4,5,5,9,2,3,7,8,7,4,6,3,6,3,4,17.57,31.61,23,37.87,12,1030,31.17,105,21,324,80,404,321,726,227,727,8.96,27,9.87,206,0.7639130434782608,1.3743478260869566,1,1.6465217391304348,0.5217391304347826,44.78260869565217,1.355217391304348,4.565217391304348,0.9130434782608696,14.09,3.48,17.57,13.96,31.57,31.57,31.61,0.39,1.17,0.43,8.96
5,29,Tamil Thalaivas,22,5,10,4,7,12,6,5,7,6,5,4,5,9,10,7,11,8,7,18.59,30.95,31,35.59,5,1015,34.09,91,17,309,101,409,346,752,201,681,8.36,19,9.14,184,0.845,1.4068181818181815,1.4090909090909092,1.617727272727273,0.2272727272727272,46.13636363636363,1.5495454545454548,4.136363636363637,0.7727272727272727,14.05,4.59,18.59,15.73,34.18,34.18,30.95,0.38,0.86,0.42,8.36
5,30,U.P. Yoddhas,23,2,2,3,10,2,7,2,10,5,2,3,2,8,4,9,8,9,8,20.04,33.13,32,33.21,23,1002,35.53,83,18,347,114,461,356,762,202,762,7.96,23,8.78,183,0.8713043478260869,1.4404347826086958,1.391304347826087,1.443913043478261,1,43.56521739130435,1.5447826086956522,3.608695652173913,0.782608696,15.09,4.96,20.04,15.48,33.13,33.13,33.13,0.35,1,0.38,7.96
5,31,Gujarat Giants,24,9,3,12,1,7,3,8,3,10,6,5,12,2,2,2,2,2,2,16.83,32.29,17,48.69,11,1055,31.47,98,12,346,59,404,332,641,254,775,10.08,36,10.58,242,0.7012499999999999,1.3454166666666667,0.7083333333333334,2.02875,0.4583333333333333,43.958333333333336,1.31125,4.083333333333333,0.5,14.42,2.46,16.83,13.83,26.71,26.71,32.29,0.42,1.5,0.44,10.08
8,1,Bengaluru Bulls,24,1,1,4,2,4,3,1,12,2,1,1,2,2,1,3,3,3,2,22.29,37.63,30,41.37,12,992,43.65,38,26,377,158,535,433,835,261,903,9.79,34,10.88,235,0.92875,1.5679166666666668,1.25,1.72375,0.5,41.333333333333336,1.81875,1.5833333333333333,1.0833333333333333,15.71,6.58,22.29,18.04,34.79,34.79,37.63,0.41,1.42,0.45,9.79
8,2,Dabang Delhi K.C.,24,4,8,5,9,7,4,3,10,11,3,2,4,11,5,11,10,11,10,21.04,33.5,28,35.26,10,977,42.37,55,11,353,152,505,414,801,200,804,7.88,25,8.33,189,0.8766666666666666,1.3958333333333333,1.1666666666666667,1.4691666666666665,0.4166666666666667,40.708333333333336,1.7654166666666666,2.2916666666666665,0.4583333333333333,14.71,6.33,21.04,17.25,33.38,33.38,33.5,0.33,1.04,0.35,7.88
8,3,Jaipur Pink Panthers,22,5,5,9,11,9,10,2,3,12,6,4,12,8,6,5,7,8,7,20.5,34.36,26,34.79,9,894,42.62,85,10,329,122,451,381,742,209,756,9.05,26,9.5,199,0.9318181818181818,1.5618181818181818,1.181818181818182,1.5813636363636363,0.4090909090909091,40.63636363636363,1.937272727272728,3.863636363636364,0.4545454545454545,14.95,5.55,20.5,17.32,33.73,33.73,34.36,0.41,1.18,0.43,9.05
8,4,Bengal Warriors,22,2,6,10,12,2,11,4,6,10,4,7,7,12,7,12,5,12,12,21.68,34.27,25,34.02,17,892,39.57,73,12,336,141,477,353,772,178,754,7.55,27,8.09,166,0.9854545454545456,1.5577272727272728,1.1363636363636365,1.5463636363636366,0.7727272727272727,40.54545454545455,1.7986363636363636,3.3181818181818183,0.5454545454545454,15.27,6.41,21.68,16.05,35.09,35.09,34.27,0.34,1.23,0.37,7.55
8,5,U Mumba,22,11,11,7,7,10,12,7,11,3,11,10,10,7,12,8,9,7,8,19.18,32.55,28,37.16,9,876,38.7,53,22,323,99,422,339,750,216,716,8.82,25,9.82,194,0.8718181818181818,1.4795454545454545,1.2727272727272727,1.689090909090909,0.4090909090909091,39.81818181818182,1.7590909090909093,2.409090909090909,1,14.68,4.5,19.18,15.41,34.09,34.09,32.55,0.4,1.14,0.45,8.82
8,6,Patna Pirates,24,8,2,12,1,11,2,9,2,8,5,5,11,1,2,1,1,1,1,19.54,36.5,19,46.1,9,1014,37.48,90,17,372,97,469,380,746,289,876,11.33,38,12.04,272,0.8141666666666666,1.5208333333333333,0.7916666666666666,1.9208333333333336,0.375,42.25,1.5616666666666663,3.75,0.7083333333333334,15.5,4.04,19.54,15.83,31.08,31.08,36.5,0.47,1.58,0.5,11.33
8,7,Puneri Paltan,23,9,4,3,5,8,5,6,1,4,7,6,5,3,4,2,4,2,3,19.52,35.39,32,38.82,10,945,39.05,102,22,330,119,449,369,792,253,814,10.04,33,11,231,0.8486956521739131,1.538695652173913,1.391304347826087,1.6878260869565218,0.4347826086956521,41.08695652173913,1.6978260869565216,4.434782608695652,0.9565217391304348,14.35,5.17,19.52,16.04,34.43,34.43,35.39,0.44,1.43,0.48,10.04
8,8,Telugu Titans,22,7,10,2,8,3,8,11,8,7,10,12,1,9,11,9,12,9,9,19.55,32.77,35,35.51,14,907,35.94,62,17,303,127,430,326,851,207,721,8.64,21,9.41,190,0.8886363636363637,1.4895454545454547,1.5909090909090908,1.614090909090909,0.6363636363636364,41.22727272727273,1.6336363636363636,2.8181818181818183,0.7727272727272727,13.77,5.77,19.55,14.82,38.68,38.68,32.77,0.39,0.95,0.43,8.64
8,28,Haryana Steelers,22,6,7,6,3,5,9,5,9,6,9,8,8,6,8,6,6,6,6,20,33.68,28,39.25,11,898,39.2,56,19,322,118,440,352,769,218,741,9.05,26,9.91,199,0.9090909090909092,1.530909090909091,1.2727272727272727,1.7840909090909092,0.5,40.81818181818182,1.781818181818182,2.5454545454545454,0.8636363636363636,14.64,5.36,20,16,34.95,34.95,33.68,0.41,1.18,0.45,9.05
8,29,Tamil Thalaivas,22,12,9,1,4,12,7,12,4,9,12,11,6,5,10,4,8,4,5,18.95,33.36,36,38.83,8,919,35.58,83,15,287,130,417,327,776,227,734,9.64,25,10.32,212,0.8613636363636363,1.5163636363636364,1.6363636363636365,1.765,0.3636363636363636,41.77272727272727,1.6172727272727272,3.772727272727273,0.6818181818181818,13.05,5.91,18.95,14.86,35.27,35.27,33.36,0.44,1.14,0.47,9.64
8,30,U.P. Yoddhas,24,3,3,11,6,1,1,8,5,1,2,3,3,4,3,7,2,5,4,21.46,36.04,24,37.85,22,1015,38.62,78,27,399,116,515,392,832,242,865,8.96,35,10.08,215,0.8941666666666667,1.5016666666666667,1,1.5770833333333334,0.9166666666666666,42.29166666666666,1.6091666666666666,3.25,1.125,16.63,4.83,21.46,16.33,34.67,34.67,36.04,0.37,1.46,0.42,8.96
8,31,Gujarat Giants,23,10,12,8,10,6,6,10,7,5,8,9,9,10,9,10,11,10,11,19.3,32.04,27,34.97,11,941,36.98,68,22,338,106,444,348,755,207,737,8.04,23,9,185,0.8391304347826087,1.3930434782608696,1.173913043478261,1.5204347826086957,0.4782608695652174,40.91304347826087,1.6078260869565215,2.9565217391304346,0.9565217391304348,14.7,4.61,19.3,15.13,32.83,32.83,32.04,0.35,1,0.39,8.04
6,1,Bengaluru Bulls,24,1,2,9,,1,,,7,12,1,1,7,5,1,,2,7,4,22.79,36.96,24,,19,,,73,11,428,119,547,431,766,230,887,,37,9.58,219,0.9495833333333332,1.54,1,,0.7916666666666666,,,3.0416666666666665,0.4583333333333333,17.83,4.96,22.79,17.96,31.92,31.92,36.96,0,1.54,0.4,9.13
6,2,Dabang Delhi K.C.,24,4,5,6,,10,,,8,5,3,3,3,8,4,,4,9,7,20.13,34.25,28,,9,,,73,18,367,116,483,401,824,216,822,,34,9,198,0.83875,1.4270833333333333,1.1666666666666667,,0.375,,,3.0416666666666665,0.75,15.29,4.83,20.13,16.71,34.33,34.33,34.25,0,1.42,0.38,8.25
6,3,Jaipur Pink Panthers,22,9,8,2,,4,,,5,4,10,10,5,6,9,,8,5,5,18.86,32.32,32,,13,,,75,23,313,102,415,334,780,225,711,,22,10.23,202,0.8572727272727273,1.469090909090909,1.4545454545454546,,0.5909090909090909,,,3.409090909090909,1.0454545454545454,14.23,4.64,18.86,15.18,35.45,35.45,32.32,0,1,0.47,9.18
