,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles
Attacking Skill,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Harayana Steelers,Jaipur Pink Panther,Patna Pirates,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Running Hand Touch,74,69,62,40,63,47,55,68,63,32,54,56
Hand Touch,31,38,34,28,31,30,24,35,32,32,27,30
Toe Touch,22,16,19,19,19,23,12,12,19,21,17,13
Side Kick,10,11,6,6,5,8,5,6,3,7,2,5
Running Kick,10,11,3,2,7,3,3,2,11,2,1,1
Defender self out,7,7,9,10,8,4,6,7,12,19,9,7
Reverse Kick,3,7,8,8,4,16,4,8,7,7,4,9
Defender self out (lobby s..),3,2,1,1,5,2,0,2,4,2,4,3
Leg Thrust,2,6,5,,,,,1,1,1,,2
