,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,Successful Tackles,
Defensive Skill,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha
Thigh Hold,52,63,51,41,43,30,56,29,38,42,66,56
Ankle Hold,17,57,27,29,43,36,58,75,31,45,36,53
Block,15,27,50,38,42,36,48,36,43,24,27,29
Dive,39,46,18,37,17,50,47,25,24,29,30,43
Push,19,17,28,18,33,19,29,43,28,23,16,14
Body Hold,15,15,12,8,9,19,9,7,25,20,10,4
Chain_def,8,9,2,14,12,9,25,15,22,5,10,16
Self-out,4,3,4,15,3,2,4,5,3,3,2,
Follow,1,0,,,,0,,,0,0,,
