Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Abozar Mohajermighani,97,42,43%
Ran Singh,77,34,44%
Amit Nirwal,67,30,45%
Esmaeil Nabibakhsh,44,18,41%
Darshan J,38,14,37%
Vishal Mane,19,5,26%
Sachin Vittala,19,5,26%
Rohit,16,5,31%
Rinku Narwal,16,5,31%
Vijin Thangadurai,12,3,25%
Parveen Satpal,12,1,8%
Maninder Singh,10,2,20%
Tapas Pal,5,1,20%
Sukesh Hegde,5,0,0%
Ravindra Kumawat,5,1,20%
Manoj Gowda,5,2,40%
Rohit Banne,4,1,25%
Akash Pikalmunde,4,1,25%
Rishank Devadiga,3,0,0%
Anand V,2,0,0%
