Defender Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Defender Name,Total Tackles,Successful Tackles,,Color % Successful Tac..,
,453,12,3%,0,1
Girish Maruti Ernak,111,45,41%,,
Parvesh Bhainswal,105,47,45%,,
Sunil Kumar,83,37,45%,,
Hadi Oshtorak,42,16,38%,,
Ravinder Pahal,36,13,36%,,
Ankit,27,8,30%,,
Rakesh Narwal,17,6,35%,,
Sumit Malik,16,4,25%,,
Pardeep Kumar,16,4,25%,,
Mahendra Rajput,8,4,50%,,
Rathan K,6,3,50%,,
Rakesh Sungroya,6,0,0%,,
Soleiman Pahlevani,5,1,20%,,
Ajay Kumar,5,1,20%,,
Harmanjit Singh,1,0,0%,,
Bhuvneshwar Gaur,1,0,0%,,
