Defender Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Defender Name,Total Tackles,Successful Tackles,,Color % Successful Tac..,
Nitin Rawal,80,33,41%,0,1
Jaideep Dahiya,66,30,45%,,
Amirhossein Bastami,62,22,35%,,
Mohit Nandal,52,24,46%,,
Jaideep,40,19,48%,,
Monu,33,16,48%,,
Mohit,28,16,57%,,
Sunny,20,8,40%,,
Manjeet Dahiya,20,7,35%,,
Joginder Singh Narwal,18,5,28%,,
Rakesh Narwal,13,2,15%,,
Naveen,13,9,69%,,
Manjeet,11,6,55%,,
Harsh,9,5,56%,,
Meetu Mahender,4,1,25%,,
Lovepreet Singh,4,2,50%,,
Manish Gulia,3,1,33%,,
Vinay Tevatia,2,0,0%,,
Sushil,2,0,0%,,
Mohammad Esmaeil Mag..,2,1,50%,,
Ankit Dhull,2,0,0%,,
Vinay,1,0,0%,,
Navneet,1,0,0%,,
Ankit,1,0,0%,,
