Season,Team Name,Total matches,Total touch points,Total bonus points,Total tackle points,Total super raids,Touch raid points per match,Bonus raid points per match,Tackle points per match,Super raids per match
PKL7,Bengal Warriors,24,416,97,229,15,17.3,4,9.5,0.6
PKL7,Bengaluru Bulls,24,402,131,232,13,16.8,5.5,9.7,0.5
PKL7,Dabang Delhi,24,385,147,222,8,16,6.1,9.3,0.3
PKL7,Gujarat Fortunegiants,22,300,72,224,7,13.6,3.3,10.2,0.3
PKL7,Haryana Steelers,23,384,106,225,15,16.7,4.6,9.8,0.7
PKL7,Jaipur Pink Panthers,22,278,107,240,11,12.6,4.9,10.9,0.5
PKL7,Patna Pirates,22,359,88,225,14,16.3,4,10.2,0.6
PKL7,Puneri Paltan,22,307,102,264,9,14,4.6,12,0.4
PKL7,Tamil Thalaivas,22,291,87,192,4,13.2,4,8.7,0.2
PKL7,Telugu Titans,22,307,129,224,11,14,5.9,10.2,0.5
PKL7,U Mumba,24,336,102,233,10,14,4.3,9.7,0.4
PKL7,UP Yoddha,23,312,96,260,6,13.6,4.2,11.3,0.3
