team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Puneri Paltan,PKL-S5,Deepak Hooda,360,132,37%
Puneri Paltan,PKL-S5,Rajesh Mondal,269,79,29%
Puneri Paltan,PKL-S5,Sandeep Narwal,117,30,26%
Puneri Paltan,PKL-S5,Monu,77,16,21%
Puneri Paltan,PKL-S5,Rohit Kumar Choudary,46,10,22%
Puneri Paltan,PKL-S5,More G B,45,13,29%
Puneri Paltan,PKL-S5,Akshay Jadhav,39,9,23%
Puneri Paltan,PKL-S5,Suresh Kumar,35,12,34%
Puneri Paltan,PKL-S5,Girish Maruti Ernak,18,1,6%
Puneri Paltan,PKL-S5,Dharmaraj Cheralathan,15,0,0%
Puneri Paltan,PKL-S5,Umesh Mhatre,11,1,9%
Puneri Paltan,PKL-S5,Rinku Narwal,8,1,13%
Puneri Paltan,PKL-S5,Ravi Kumar,2,0,0%
Tamil Thailaivas,PKL-S5,Ajay Thakur,400,186,47%
Tamil Thailaivas,PKL-S5,K. Prapanjan,306,105,34%
Tamil Thailaivas,PKL-S5,Vineet Kumar,104,16,15%
Tamil Thailaivas,PKL-S5,Dong Geon Lee,68,25,37%
Tamil Thailaivas,PKL-S5,D. Pradap,49,6,12%
Tamil Thailaivas,PKL-S5,M. Thivakaran,36,11,31%
Tamil Thailaivas,PKL-S5,C. Arun,16,0,0%
Tamil Thailaivas,PKL-S5,Bhavani Rajput,10,2,20%
Tamil Thailaivas,PKL-S5,Amit Hooda,7,0,0%
Tamil Thailaivas,PKL-S5,Sujit Maharana,5,0,0%
Tamil Thailaivas,PKL-S5,Anil Kumar,4,0,0%
Tamil Thailaivas,PKL-S5,Vijay Kumar,3,0,0%
Tamil Thailaivas,PKL-S5,Darshan J.,3,0,0%
Tamil Thailaivas,PKL-S5,Vijin Thangadurai,2,0,0%
Tamil Thailaivas,PKL-S5,Sanket Chavan,1,0,0%
Tamil Thailaivas,PKL-S5,Muruthu M,1,0,0%
Dabang Delhi,PKL-S5,Meraj Sheykh,292,79,27%
Dabang Delhi,PKL-S5,Abolfazl Maghsodlou,230,80,35%
Dabang Delhi,PKL-S5,Rohit Baliyan,165,55,33%
Dabang Delhi,PKL-S5,Anand Patil,102,25,25%
Dabang Delhi,PKL-S5,R. Sriram,79,29,37%
Dabang Delhi,PKL-S5,Ravi Dalal,28,4,14%
