team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Patna Pirates,PKL-S6,Pardeep Narwal,391,192,49%
Patna Pirates,PKL-S6,Manjeet,189,78,41%
Patna Pirates,PKL-S6,Deepak Narwal,140,58,41%
Patna Pirates,PKL-S6,Vijay,111,50,45%
Patna Pirates,PKL-S6,Vikas Jaglan,42,13,31%
Patna Pirates,PKL-S6,Tushar Patil,38,13,34%
Patna Pirates,PKL-S6,Jaideep,8,0,0%
Patna Pirates,PKL-S6,Jawahar Dagar,5,1,20%
Patna Pirates,PKL-S6,Vikas Kale,4,0,0%
Patna Pirates,PKL-S6,Vijay Kumar,2,1,50%
Patna Pirates,PKL-S6,Tae Deok Eom,2,0,0%
Patna Pirates,PKL-S6,Surender Singh,1,0,0%
Patna Pirates,PKL-S6,Kuldeep Singh,1,0,0%
Bengaluru Bulls,PKL-S6,Pawan Sehrawat,375,214,57%
Bengaluru Bulls,PKL-S6,Rohit Kumar,341,134,39%
Bengaluru Bulls,PKL-S6,Kashiling Adake,164,51,31%
Bengaluru Bulls,PKL-S6,Harish Naik,29,14,48%
Bengaluru Bulls,PKL-S6,Sumit Singh,27,7,26%
Bengaluru Bulls,PKL-S6,Ashish Kumar,27,3,11%
Bengaluru Bulls,PKL-S6,Anand V,15,3,20%
Bengaluru Bulls,PKL-S6,Mahesh Maruti Magdum,12,5,42%
Bengaluru Bulls,PKL-S6,Mahender Singh,10,0,0%
Bengaluru Bulls,PKL-S6,Sandeep,2,0,0%
Bengaluru Bulls,PKL-S6,Ankit,2,0,0%
Bengaluru Bulls,PKL-S6,Gyung Tae Kim,1,0,0%
Bengal Warriors,PKL-S6,Maninder Singh,377,163,43%
Bengal Warriors,PKL-S6,Jang Kun Lee,171,63,37%
Bengal Warriors,PKL-S6,Mahesh Goud,92,27,29%
Bengal Warriors,PKL-S6,Ravindra Ramesh Kumaw..,91,30,33%
Bengal Warriors,PKL-S6,Ran Singh,72,23,32%
Bengal Warriors,PKL-S6,Surjeet Singh,54,2,4%
