Skill Type,Skill Name,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Harayana Steelers,Jaipur Pink Panther,Patna Pirates,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Counter Action Skill,Release,104,86,99,118,75,97,97,48,49,64,109,96
Counter Action Skill,Struggle,25,27,18,27,25,17,21,21,17,14,36,25
Counter Action Skill,Out Turn,14,35,29,35,24,17,30,26,19,22,19,14
Counter Action Skill,Jump,9,19,14,12,8,3,6,13,17,5,8,7
Counter Action Skill,In Turn,6,7,10,2,7,2,6,5,9,5,6,7
Counter Action Skill,Create Gap,4,,,4,6,1,1,1,9,3,1,3
Counter Action Skill,Dubki,0,9,5,5,1,1,10,2,3,3,4,2
Attacking Skill,Running Hand Touch,57,97,69,75,58,73,95,34,91,37,33,59
Attacking Skill,Hand Touch,29,62,36,45,41,35,43,27,56,32,34,33
Attacking Skill,Leg Thrust,24,11,15,11,27,11,30,12,14,4,24,22
Attacking Skill,Toe Touch,23,12,23,19,23,18,13,19,10,9,19,12
Attacking Skill,Defender self out,16,10,19,19,13,7,13,15,6,9,8,11
Attacking Skill,Reverse Kick,9,15,21,7,9,9,4,6,7,12,16,6
Attacking Skill,Side Kick,6,2,7,0,2,8,3,5,3,7,17,6
Attacking Skill,Running Kick,1,1,3,2,0,,3,4,,6,16,
Defensive Skill,Dive,44,44,43,61,46,41,49,52,28,39,33,51
Defensive Skill,Block,33,37,41,30,45,57,39,52,41,49,23,54
Defensive Skill,Ankle Hold,37,30,26,39,33,29,38,31,37,34,35,48
Defensive Skill,Thigh Hold,33,38,28,38,39,34,42,32,24,32,39,32
Defensive Skill,Push,20,22,27,28,30,24,15,18,28,23,28,27
Defensive Skill,Body Hold,8,15,24,17,19,15,20,21,24,19,10,18
Defensive Skill,Self-out,11,11,24,26,10,12,8,11,16,24,13,10
Defensive Skill,Follow,1,2,1,1,,,,1,2,2,2,1
Defensive Skill,Chain_def,,,,3,2,,,2,1,,,2
