Bengal Warriors,,,,Bengaluru Bulls,,,,Dabang Delhi,,,,Gujarat Fortunegiants,,,,Harayana Steelers,,,,Jaipur Pink Panthers,,,,Patna Pirates,,,,Puneri Paltan,,,,Tamil Thailaivas,,,,Telugu Titans,,,,U Mumba,,,,UP Yoddha,
Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids
Release,83,,,Release,75,,,Release,72,,,Release,75,,,Release,72,,,Release,92,,,Release,75,,,Release,85,,,Release,64,,,Release,54,,,Release,69,,,Release,66
Struggle,66,,,Struggle,44,,,Struggle,65,,,Struggle,64,,,Struggle,47,,,Struggle,24,,,Struggle,45,,,Struggle,53,,,Struggle,44,,,Struggle,39,,,Struggle,28,,,Struggle,55
Out Turn,14,,,Out Turn,18,,,Create Gap,15,,,Out Turn,18,,,Jump,15,,,In Turn,16,,,Jump,13,,,Jump,17,,,Out Turn,18,,,Out Turn,12,,,Out Turn,15,,,Out Turn,17
Create Gap,10,,,Jump,16,,,Out Turn,14,,,Jump,18,,,Out Turn,13,,,Out Turn,13,,,Out Turn,11,,,Create Gap,17,,,Dubki,11,,,Create Gap,12,,,Jump,14,,,Dubki,15
Jump,7,,,Create Gap,8,,,Jump,14,,,In Turn,11,,,Create Gap,10,,,Create Gap,11,,,In Turn,7,,,In Turn,16,,,Jump,10,,,Jump,8,,,Create Gap,11,,,Jump,14
In Turn,6,,,In Turn,5,,,In Turn,14,,,Dubki,10,,,In Turn,9,,,Jump,7,,,Dubki,4,,,Out Turn,12,,,In Turn,5,,,In Turn,6,,,In Turn,8,,,In Turn,8
Dubki,1,,,Push,2,,,Dubki,7,,,Create Gap,10,,,Dubki,4,,,Dubki,1,,,Create Gap,1,,,Dubki,6,,,Create Gap,4,,,Dubki,2,,,Dubki,4,,,Create Gap,8
,,,,Dubki,1,,,,,,,,,,,,,,,Create Gap,11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Create gap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids
Running Hand Touch,39,,,Running hand touch,100,,,Running hand touch,77,,,Running Hand Touch,68,,,Running Hand Touch,64,,,Running Hand Touch,84,,,Running Hand Touch,70,,,Running Hand Touch,66,,,Running Hand Touch,54,,,Running Hand Touch,45,,,Running Hand Touch,44,,,Running Hand Touch,52
Hand Touch,37,,,Hand Touch,56,,,Hand Touch,29,,,Hand Touch,31,,,Hand Touch,34,,,Hand Touch,74,,,Hand Touch,30,,,Hand Touch,50,,,Hand Touch,46,,,Side Kick,23,,,Hand Touch,29,,,Hand Touch,42
