team,season,Raider Name,Total Raids,Successful Raids,Unnamed: 3
Jaipur Pink Panthers,PKL-S9,Arjun Deshwal,449,241,54%
Jaipur Pink Panthers,PKL-S9,Ajith V Kumar,182,72,40%
Jaipur Pink Panthers,PKL-S9,Rahul Chaudhari,180,58,32%
Jaipur Pink Panthers,PKL-S9,Bhavani Rajput,77,28,36%
Jaipur Pink Panthers,PKL-S9,Sunil Kumar,29,1,3%
Jaipur Pink Panthers,PKL-S9,V Ajith Kumar,17,5,29%
Jaipur Pink Panthers,PKL-S9,Devank,11,2,18%
Jaipur Pink Panthers,PKL-S9,Navneet,10,4,40%
Jaipur Pink Panthers,PKL-S9,Sahul Kumar,8,1,13%
Jaipur Pink Panthers,PKL-S9,Nitin Panwar (JP),6,0,0%
Jaipur Pink Panthers,PKL-S9,Nitin Panwar,4,3,75%
Jaipur Pink Panthers,PKL-S9,Rahul Gorakh Dhanawade,1,0,0%
Jaipur Pink Panthers,PKL-S9,Lucky Sharma,1,0,0%
Haryana Steelers,PKL-S9,Meetu Mahender,318,116,36%
Haryana Steelers,PKL-S9,Manjeet Dahiya,185,81,44%
Haryana Steelers,PKL-S9,Rakesh Narwal,110,33,30%
Haryana Steelers,PKL-S9,Manjeet,89,39,44%
Haryana Steelers,PKL-S9,K Prapanjan,66,30,45%
Haryana Steelers,PKL-S9,Vinay Tevatia,35,15,43%
Haryana Steelers,PKL-S9,Nitin Rawal,29,4,14%
Haryana Steelers,PKL-S9,Sushil,27,17,63%
Haryana Steelers,PKL-S9,Manish Gulia,20,9,45%
Haryana Steelers,PKL-S9,Vinay,18,6,33%
Haryana Steelers,PKL-S9,Lovepreet Singh,15,6,40%
Haryana Steelers,PKL-S9,Jaideep Dahiya,4,1,25%
Haryana Steelers,PKL-S9,Mohit Nandal,1,0,0%
Haryana Steelers,PKL-S9,Mohit,1,0,0%
Haryana Steelers,PKL-S9,Joginder Singh Narwal,1,0,0%
Haryana Steelers,PKL-S9,Harsh,1,0,0%
Haryana Steelers,PKL-S9,Amirhossein Bastami,1,0,0%
Tamil Thailaivas,PKL-S9,Narender,371,184,50%
Tamil Thailaivas,PKL-S9,Ajinkya Ashok Pawar,282,90,32%
Tamil Thailaivas,PKL-S9,Himanshu,138,27,20%
Tamil Thailaivas,PKL-S9,Himanshu Singh,95,27,28%
Tamil Thailaivas,PKL-S9,Visvanath V,34,10,29%
Tamil Thailaivas,PKL-S9,Sachin Nehra,26,9,35%
Tamil Thailaivas,PKL-S9,Narender,11,6,55%
Tamil Thailaivas,PKL-S9,Himanshu Narwal,10,4,40%
Tamil Thailaivas,PKL-S9,Mohit,9,2,22%
Tamil Thailaivas,PKL-S9,Sachin,5,1,20%
Tamil Thailaivas,PKL-S9,Mohit Jakhar,4,0,0%
Tamil Thailaivas,PKL-S9,K Abhimanyu,3,1,33%
Tamil Thailaivas,PKL-S9,Pawan Sehrawat,2,1,50%
Tamil Thailaivas,PKL-S9,Md. Arif Rabbani,2,0,0%
Tamil Thailaivas,PKL-S9,Aashish,2,1,50%
Dabang Delhi,PKL-S9,Naveen Kumar,439,223,51%
Dabang Delhi,PKL-S9,Ashu Malik,277,109,39%
Dabang Delhi,PKL-S9,Vijay Jaglan,114,53,46%
Dabang Delhi,PKL-S9,Manjeet,105,41,39%
Dabang Delhi,PKL-S9,Ashish Narwal,20,6,30%
Dabang Delhi,PKL-S9,Vishal Lather,6,0,0%
Dabang Delhi,PKL-S9,Vijay,6,1,17%
Dabang Delhi,PKL-S9,Tejas Maruti Patil,4,1,25%
Dabang Delhi,PKL-S9,Ravi Kumar,2,0,0%
Dabang Delhi,PKL-S9,Vishal,1,0,0%
Puneri Paltan,PKL-S9,Aslam Mustafa Inamdar,268,118,44%
Puneri Paltan,PKL-S9,Mohit Goyat,257,100,39%
Puneri Paltan,PKL-S9,Akash Santosh Shinde,195,101,52%
Puneri Paltan,PKL-S9,Pankaj Mohite,110,48,44%
Puneri Paltan,PKL-S9,Mohammad Esmaeil Nabi..,62,11,18%
Puneri Paltan,PKL-S9,Akash Shinde,27,6,22%
Puneri Paltan,PKL-S9,Aditya Tushar Shinde,23,10,43%
Puneri Paltan,PKL-S9,Saurabh,16,7,44%
Puneri Paltan,PKL-S9,Mohammad Nabibakhsh,14,4,29%
