Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful,,
Akshay Jadhav,3,5,5%,60.00%,,40.00%,,
,4,15,14%,53.30%,6.70%,40.00%,,
,5,20,19%,55.00%,10.00%,35.00%,,
,6,24,22%,45.80%,25.00%,29.20%,,
,7,44,41%,52.30%,38.60%,9.10%,,
Amit Kumar,3,2,7%,100.00%,,,,
,4,3,10%,66.70%,,33.30%,,
,5,9,31%,66.70%,22.20%,11.10%,,
,6,5,17%,80.00%,20.00%,,,
,7,10,34%,30.00%,20.00%,50.00%,,
Deepak Kumar Dahiya,1,1,1%,,100.00%,,,
,3,2,2%,100.00%,,,,
,4,6,7%,33.30%,33.30%,33.30%,,
,5,20,23%,75.00%,5.00%,20.00%,,
,6,22,25%,36.40%,27.30%,36.40%,,
,7,37,42%,27.00%,43.20%,29.70%,,
Girish Maruti Ernak,5,3,38%,100.00%,,,,
,6,4,50%,100.00%,,,,
,7,1,13%,,,100.00%,,
Monu,2,3,2%,,100.00%,,,
,3,5,4%,40.00%,20.00%,40.00%,,
,4,11,9%,54.50%,9.10%,36.40%,,
,5,34,28%,44.10%,20.60%,35.30%,,
,6,33,27%,30.30%,36.40%,33.30%,,
,7,37,30%,37.80%,40.50%,21.60%,,
More G B,2,6,3%,33.30%,33.30%,33.30%,,
,3,7,4%,57.10%,14.30%,28.60%,,
,4,14,8%,35.70%,14.30%,50.00%,,
,5,39,23%,61.50%,20.50%,17.90%,,
,6,40,23%,40.00%,35.00%,25.00%,,
,7,67,39%,19.40%,49.30%,31.30%,,
Nitin Tomar,1,2,1%,,100.00%,,,
,2,8,4%,12.50%,75.00%,12.50%,,
,3,17,9%,70.60%,17.60%,11.80%,,
,4,21,11%,47.60%,23.80%,28.60%,,
,5,30,16%,66.70%,16.70%,16.70%,,
,6,49,26%,20.40%,69.40%,10.20%,,
,7,65,34%,26.20%,53.80%,20.00%,,
Parvesh,2,1,3%,,,100.00%,,
,3,2,7%,,50.00%,50.00%,,
,4,2,7%,50.00%,50.00%,,,
,5,13,43%,61.50%,7.70%,30.80%,,
,6,8,27%,50.00%,25.00%,25.00%,,
,7,4,13%,25.00%,,75.00%,,
Rajesh Mondal,3,5,7%,40.00%,20.00%,40.00%,,
,4,10,13%,40.00%,10.00%,50.00%,,
,5,22,29%,59.10%,18.20%,22.70%,,
,6,15,20%,40.00%,20.00%,40.00%,,
,7,23,31%,65.20%,17.40%,17.40%,,
Ravi Kumar,7,1,100%,100.00%,,,,
Rinku Narwal,4,1,14%,,,100.00%,,
,5,4,57%,75.00%,,25.00%,,
,7,2,29%,50.00%,50.00%,,,
Sandeep,5,2,22%,,50.00%,50.00%,,
,7,7,78%,28.60%,42.90%,28.60%,,
Sandeep Narwal,1,2,2%,,100.00%,,,
,2,1,1%,100.00%,,,,
,3,7,8%,85.70%,,14.30%,,
,4,9,10%,66.70%,11.10%,22.20%,,
,5,12,14%,91.70%,,8.30%,,
,6,17,20%,88.20%,11.80%,,,
,7,38,44%,50.00%,31.60%,18.40%,,
Shubham Shinde,5,4,36%,75.00%,,25.00%,,
,6,4,36%,75.00%,,25.00%,,
,7,3,27%,100.00%,,,,
