Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Azad Singh,3,2,4%,50.00%,50.00%,
,4,4,8%,50.00%,50.00%,
,5,9,19%,44.40%,33.30%,22.20%
,6,11,23%,45.50%,18.20%,36.40%
,7,22,46%,31.80%,27.30%,40.90%
Bhanu Tomar,4,1,5%,,100.00%,
,5,5,23%,40.00%,,60.00%
,6,7,32%,28.60%,28.60%,42.90%
,7,9,41%,11.10%,33.30%,55.60%
Jeeva Kumar,7,1,100%,100.00%,,
Md Masud Karim,5,2,67%,,50.00%,50.00%
,6,1,33%,,100.00%,
MD.Masud Karim,6,1,100%,,,100.00%
Nitesh Kumar,6,2,33%,100.00%,,
,7,4,67%,75.00%,,25.00%
Prashanth Kumar Rai,1,2,1%,,100.00%,
,2,5,2%,,80.00%,20.00%
,3,8,3%,75.00%,25.00%,
,4,18,7%,55.60%,27.80%,16.70%
,5,35,13%,51.40%,14.30%,34.30%
,6,86,33%,39.50%,51.20%,9.30%
,7,108,41%,29.60%,49.10%,21.30%
Rishank Devadiga,1,3,1%,33.30%,66.70%,
,2,9,3%,11.10%,55.60%,33.30%
,3,17,6%,52.90%,23.50%,23.50%
,4,34,13%,67.60%,11.80%,20.60%
,5,49,19%,67.30%,16.30%,16.30%
,6,62,24%,35.50%,45.20%,19.40%
,7,88,34%,40.90%,37.50%,21.60%
Rohit Kumar Choudary,5,6,27%,50.00%,16.70%,33.30%
,6,5,23%,20.00%,,80.00%
,7,11,50%,63.60%,9.10%,27.30%
Sachin Kumar,2,5,6%,,100.00%,
,3,11,12%,45.50%,36.40%,18.20%
,4,12,13%,50.00%,16.70%,33.30%
,5,22,25%,77.30%,13.60%,9.10%
,6,14,16%,64.30%,14.30%,21.40%
,7,25,28%,68.00%,20.00%,12.00%
Sagar Krishna,5,3,33%,100.00%,,
,6,1,11%,100.00%,,
,7,5,56%,80.00%,,20.00%
Shrikant Jadhav,1,1,0%,,100.00%,
,2,12,4%,33.30%,58.30%,8.30%
,3,18,5%,22.20%,50.00%,27.80%
,4,41,12%,39.00%,29.30%,31.70%
,5,84,25%,52.40%,14.30%,33.30%
Shrikant Jadhav,6,60,18%,26.70%,40.00%,33.30%
,7,116,35%,32.80%,40.50%,26.70%
Vishav Chaudhary,5,5,45%,40.00%,,60.00%
,6,2,18%,50.00%,50.00%,
,7,4,36%,75.00%,,25.00%
