Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Thakur,2,6,4%,,50.00%,50.00%
,3,21,12%,57.10%,28.60%,14.30%
,4,23,13%,73.90%,17.40%,8.70%
,5,42,25%,57.10%,14.30%,28.60%
,6,30,18%,36.70%,43.30%,20.00%
,7,49,29%,28.60%,36.70%,34.70%
Anand,5,3,23%,,33.30%,66.70%
,7,10,77%,50.00%,20.00%,30.00%
Hemant Chauhan,5,1,17%,,100.00%,
,6,2,33%,100.00%,,
,7,3,50%,66.70%,,33.30%
Himanshu,7,7,100%,42.90%,28.60%,28.60%
Manjeet Chhillar,3,1,5%,100.00%,,
,4,1,5%,100.00%,,
,5,1,5%,100.00%,,
,6,6,32%,100.00%,,
,7,10,53%,40.00%,,60.00%
Milad Sheibak,5,1,100%,100.00%,,
Mohit Chhillar,3,1,50%,100.00%,,
,6,1,50%,100.00%,,
Rahul Chaudhari,1,3,1%,,100.00%,
,2,13,4%,23.10%,61.50%,15.40%
,3,34,10%,52.90%,23.50%,23.50%
,4,39,12%,46.20%,20.50%,33.30%
,5,46,14%,37.00%,15.20%,47.80%
,6,93,29%,34.40%,48.40%,17.20%
,7,97,30%,39.20%,34.00%,26.80%
Ran Singh,3,1,6%,100.00%,,
,4,3,18%,66.70%,,33.30%
,6,3,18%,66.70%,33.30%,
,7,10,59%,10.00%,60.00%,30.00%
Sagar,7,1,100%,,,100.00%
Shabeer Bappu,2,1,1%,100.00%,,
,3,5,5%,80.00%,20.00%,
,4,8,9%,87.50%,12.50%,
,5,27,29%,81.50%,,18.50%
,6,15,16%,60.00%,40.00%,
,7,37,40%,56.80%,24.30%,18.90%
V. Ajith Kumar,2,9,4%,,66.70%,33.30%
,3,11,5%,18.20%,36.40%,45.50%
,4,29,13%,31.00%,24.10%,44.80%
,5,51,24%,35.30%,31.40%,33.30%
,6,38,18%,15.80%,60.50%,23.70%
,7,79,36%,19.00%,58.20%,22.80%
Victor Obiero,5,6,35%,50.00%,16.70%,33.30%
,6,5,29%,20.00%,60.00%,20.00%
,7,6,35%,,66.70%,33.30%
Vineet Kumar,3,1,5%,100.00%,,
,4,1,5%,100.00%,,
,5,4,19%,100.00%,,
,6,2,10%,,50.00%,50.00%
,7,13,62%,38.50%,23.10%,38.50%
Yashwant Bishnoi,5,1,11%,,,100.00%
,6,1,11%,,100.00%,
,7,7,78%,42.90%,14.30%,42.90%
