Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abdul Insamam S,5,1,6%,100.00%,,
,6,5,28%,40.00%,40.00%,20.00%
,7,12,67%,16.70%,25.00%,58.30%
Anand Surendra Tomar,2,1,4%,,100.00%,
,3,2,8%,50.00%,50.00%,
,4,2,8%,50.00%,,50.00%
,5,4,17%,50.00%,50.00%,
,6,5,21%,20.00%,80.00%,
,7,10,42%,30.00%,60.00%,10.00%
Anuj Kumar,4,1,3%,,,100.00%
,5,9,24%,55.60%,22.20%,22.20%
,6,10,27%,40.00%,10.00%,50.00%
,7,17,46%,35.30%,23.50%,41.20%
Daniel Omondi Odhiambo,1,1,6%,,100.00%,
,2,2,13%,,100.00%,
,3,4,25%,,75.00%,25.00%
,5,3,19%,66.70%,,33.30%
,6,3,19%,,66.70%,33.30%
,7,3,19%,33.30%,33.30%,33.30%
Manish,7,1,100%,,,100.00%
Monu Sandhu,3,8,8%,100.00%,,
,4,12,13%,91.70%,8.30%,
,5,15,16%,93.30%,,6.70%
,6,18,19%,72.20%,16.70%,11.10%
,7,43,45%,67.40%,18.60%,14.00%
Naveen Sharma,7,1,100%,,,100.00%
Neeraj Kumar,3,1,8%,100.00%,,
,4,1,8%,100.00%,,
,5,5,42%,100.00%,,
,6,1,8%,100.00%,,
,7,4,33%,75.00%,,25.00%
Ranjit Venkatramana Naik,2,2,6%,,50.00%,50.00%
,3,2,6%,50.00%,50.00%,
,4,3,9%,33.30%,33.30%,33.30%
,5,8,24%,25.00%,25.00%,50.00%
,6,8,24%,25.00%,50.00%,25.00%
,7,10,30%,20.00%,50.00%,30.00%
Rohit Gulia,2,7,2%,,71.40%,28.60%
,3,21,7%,66.70%,23.80%,9.50%
,4,36,12%,47.20%,27.80%,25.00%
,5,51,17%,64.70%,15.70%,19.60%
,6,57,19%,17.50%,63.20%,19.30%
,7,121,41%,28.10%,47.90%,24.00%
Sachin,2,10,10%,,90.00%,10.00%
,3,13,12%,53.80%,38.50%,7.70%
,4,9,9%,55.60%,11.10%,33.30%
Sachin,5,20,19%,45.00%,30.00%,25.00%
,6,14,13%,64.30%,21.40%,14.30%
,7,39,37%,38.50%,43.60%,17.90%
Sachin Tanwar,1,3,1%,,100.00%,
,2,12,4%,8.30%,75.00%,16.70%
,3,23,8%,52.20%,34.80%,13.00%
,4,47,17%,53.20%,25.50%,21.30%
,5,42,15%,50.00%,23.80%,26.20%
,6,61,22%,37.70%,52.50%,9.80%
,7,84,31%,36.90%,41.70%,21.40%
Shadloui Chianeh,3,1,5%,100.00%,,
,5,4,20%,75.00%,,25.00%
,6,7,35%,57.10%,14.30%,28.60%
,7,8,40%,62.50%,37.50%,
Sukesh Hegde,7,2,100%,50.00%,,50.00%
Sunil,7,2,100%,,,100.00%
Vishwas S,5,6,29%,83.30%,,16.70%
,6,7,33%,,57.10%,42.90%
,7,8,38%,37.50%,25.00%,37.50%
