Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Bengal Warriors,Maninder Singh,Null,21,21
Bengal Warriors,Shrikant Jadhav,Null,20,20
Bengal Warriors,Shubham Shinde,Null,19,18
Bengal Warriors,Vaibhav Garje,Null,18,17
Bengal Warriors,Balaji D,Null,18,17
Bengal Warriors,Girish Maruti Ernak,Null,17,17
Bengal Warriors,Deepak Hooda,Null,16,15
Bengal Warriors,Manoj Gowda,Null,14,3
Bengal Warriors,Surender Nada,Null,9,3
Bengal Warriors,Sakthivel R,Null,7,3
Bengal Warriors,Ashish Sangwan,Null,7,4
Bengal Warriors,Ajinkya Kapre,Null,7,1
Bengal Warriors,Parveen Satpal,Null,5,4
Bengal Warriors,Aslam Thambi,Null,5,2
Bengal Warriors,Vinod Kumar,Null,3,1
Bengal Warriors,R Guhan,Null,3,0
Bengal Warriors,Akash Pikalmunde,Null,3,0
Bengal Warriors,Suyog Gaikar,Null,2,1
Bengal Warriors,Soleiman Pahlevani,Null,2,1
Bengal Warriors,Rohit,Null,2,0
Bengal Warriors,Amit Sheoran,Null,2,1
Bengal Warriors,Parshant Kumar,Null,1,1
Bengaluru Bulls,Vikash Kandola,Null,24,23
Bengaluru Bulls,Saurabh Nandal,Null,24,24
Bengaluru Bulls,Neeraj Narwal,Null,24,23
Bengaluru Bulls,Aman,Null,24,24
Bengaluru Bulls,Mahender Singh,Null,23,23
Bengaluru Bulls,Bharat,Null,23,23
Bengaluru Bulls,Mayur Kadam,Null,17,16
Bengaluru Bulls,,Null,15,3
Bengaluru Bulls,Sachin Narwal,,,
Bengaluru Bulls,,All Rounder,1,0
Bengaluru Bulls,More G B,Null,10,2
Bengaluru Bulls,Sudhakar Krishant,Null,9,2
Bengaluru Bulls,Narender Hooda,Null,9,0
Bengaluru Bulls,Ran Singh,Null,8,1
Bengaluru Bulls,Rajnesh,Null,5,3
Bengaluru Bulls,Ponparthiban Subramanian,Null,4,4
Bengaluru Bulls,Harmanjit Singh,Null,3,0
Bengaluru Bulls,Rajesh Narwal,Null,1,0
Bengaluru Bulls,Yash Hooda,Null,0,0
Bengaluru Bulls,Nageshor Tharu,Null,0,0
Bengaluru Bulls,Lal Mohar Yadav,Null,0,0
Dabang Delhi,Naveen Kumar,Null,23,23
Dabang Delhi,Ashu Malik,Null,23,23
Dabang Delhi,Vishal,Null,22,22
Dabang Delhi,Krishan,Null,21,15
Dabang Delhi,Manjeet,Null,20,11
Dabang Delhi,Ravi Kumar,Null,19,17
Dabang Delhi,Vijay Kumar,Null,18,10
Dabang Delhi,Sandeep Dhull,Null,17,13
Dabang Delhi,Amit Hooda,Null,13,8
Dabang Delhi,Vijay Malik,Null,11,11
Dabang Delhi,Dipak,Null,9,6
Dabang Delhi,Ashish Narwal,Null,7,0
Dabang Delhi,Anil Kumar,Null,5,2
Dabang Delhi,Tejas Patil,Null,2,0
Dabang Delhi,Vinay Kumar,Null,0,0
Dabang Delhi,Suraj Panwar,Null,0,0
Dabang Delhi,Reza Katoulinezhad,Null,0,0
Dabang Delhi,Monu,Null,0,0
Dabang Delhi,Md. Liton Ali,Null,0,0
Gujarat Giants,Arkam Shaikh,Null,22,22
Gujarat Giants,Shankar Gadai,Null,20,16
Gujarat Giants,Rinku Narwal,Null,20,17
Gujarat Giants,Rakesh,Null,17,17
Gujarat Giants,Chandran Ranjit,Null,17,15
Gujarat Giants,Sourav Gulia,Null,16,16
Gujarat Giants,Mahendra Rajput,Null,15,1
Gujarat Giants,Sandeep Kandola,Null,14,5
Gujarat Giants,Parteek Dhaiya,Null,13,11
Gujarat Giants,Sonu,Null,12,6
Gujarat Giants,Dong Geon Lee,Null,12,5
Gujarat Giants,Manuj,Null,10,5
Gujarat Giants,Baldev Singh,Null,8,1
Gujarat Giants,Kapil,Null,7,4
Gujarat Giants,Parteek Dahiya,Null,6,6
Gujarat Giants,Pardeep Kumar,Null,5,1
Gujarat Giants,Vijin Thangadurai,Null,4,2
Gujarat Giants,Sandeep,Null,3,0
Gujarat Giants,Priyank Chandel,Null,3,0
Gujarat Giants,Prashanth Kumar Rai,Null,3,3
Gujarat Giants,Rohit Kumar,Null,2,1
Gujarat Giants,Purna Singh,Null,2,0
Gujarat Giants,Rohan Singh,Null,1,0
Gujarat Giants,Rakesh Sangroya,,1,1
Gujarat Giants,Mohammad Ghorbani,Null,1,0
Gujarat Giants,Sawin,Null,0,0
Haryana Steelers,Nitin Rawal,Null,21,21
Haryana Steelers,Manjeet,Null,21,21
Haryana Steelers,Jaideep Dahiya,Null,20,20
Haryana Steelers,Mohit Nandal,Null,16,15
Haryana Steelers,Vinay,Null,15,3
Haryana Steelers,Rakesh Narwal,Null,15,11
Haryana Steelers,Meetu Sharma,Null,15,14
Haryana Steelers,Amirhossein Bastami,Null,15,13
Haryana Steelers,K. Prapanjan,Null,12,4
Haryana Steelers,Monu Hooda,Null,10,5
Haryana Steelers,Joginder Narwal,Null,8,7
Haryana Steelers,Sushil,Null,5,0
Haryana Steelers,Harsh,Null,5,1
Haryana Steelers,Sunny Sehrawat,Null,4,2
Haryana Steelers,Monu,Null,4,3
Haryana Steelers,Mohit,Null,4,4
Haryana Steelers,Meetu,Null,4,3
Haryana Steelers,Manish Gulia,Null,4,0
Haryana Steelers,Lovepreet Singh,Null,3,0
Haryana Steelers,Sunny,Null,2,0
Haryana Steelers,Naveen Kundu,Null,2,0
Haryana Steelers,Mohammad Mahalli,Null,2,0
Haryana Steelers,Ankit,Null,2,0
Haryana Steelers,Navneet,Null,1,0
Haryana Steelers,Maninder Singh,Null,1,0
Jaipur Pink Panthers,Sahul Kumar,Null,24,23
Jaipur Pink Panthers,Arjun Deshwal,Null,24,23
Jaipur Pink Panthers,Ankush,Null,24,24
Jaipur Pink Panthers,Sunil Kumar,Null,23,23
Jaipur Pink Panthers,V Ajith Kumar,Null,21,20
Jaipur Pink Panthers,Rahul Chaudhari,Null,21,20
Jaipur Pink Panthers,Abhishek KS,Null,18,17
Jaipur Pink Panthers,Reza Mirbagheri,Null,16,13
Jaipur Pink Panthers,Lucky Sharma,Null,15,0
Jaipur Pink Panthers,Bhavani Rajput,Null,14,2
Jaipur Pink Panthers,Devank,Null,5,0
Jaipur Pink Panthers,Nitin Panwar,Null,4,0
Jaipur Pink Panthers,Ashish,Null,4,0
Jaipur Pink Panthers,Nitin Chandel,Null,3,1
Jaipur Pink Panthers,Navneet,Null,3,1
Jaipur Pink Panthers,Deepak Singh,Null,3,1
Jaipur Pink Panthers,Rahul Dhanawade,Null,1,0
Jaipur Pink Panthers,Woosan Ko,Null,0,0
Jaipur Pink Panthers,Marimuthu Kamaraj,Null,0,0
Patna Pirates,Sunil,Null,22,21
Patna Pirates,Neeraj Kumar,Null,21,21
Patna Pirates,Sachin,Null,20,20
Patna Pirates,Mohammadreza Chiyaneh,Null,20,20
Patna Pirates,Rohit Gulia,Null,19,19
Patna Pirates,Monu,Null,18,17
Patna Pirates,Sajin C,Null,13,12
Patna Pirates,Manish,Null,13,10
Patna Pirates,Naveen Sharma,Null,8,1
Patna Pirates,Ranjit Naik,Null,6,1
Patna Pirates,Ranjit Naik,Null,1,0
Patna Pirates,Abdul Insamam,Null,7,2
Patna Pirates,Anuj Kumar,Null,5,3
Patna Pirates,Vishwas S,Null,4,2
Patna Pirates,Anand Tomar,Null,4,1
Patna Pirates,Thiyagarajan Yuvaraj,Null,3,2
Patna Pirates,Shivam Chaudhary,Null,2,1
Patna Pirates,Shivam Chaudhary,Null,0,0
Patna Pirates,Daniel Odhiambo,Null,2,1
Patna Pirates,Sukesh Hegde,Null,1,0
Patna Pirates,Sager Kumar,Null,1,0
Patna Pirates,Akshay Jaywant Bodake,Null,0,0
Puneri Paltan,Sanket Sawant,Null,24,23
Puneri Paltan,Akash Shinde,Null,22,14
Puneri Paltan,Fazel Atrachali,Null,21,21
Puneri Paltan,Sombir,Null,18,17
Puneri Paltan,Mohit Goyat,Null,17,17
Puneri Paltan,Aslam Inamdar,Null,17,17
Puneri Paltan,Gaurav Khatri,Null,16,4
Puneri Paltan,Mohammad Nabibakhsh,Null,15,15
Puneri Paltan,Abinesh Nadarajan,Null,15,15
Puneri Paltan,Pankaj Mohite,Null,13,6
Puneri Paltan,Badal Singh,Null,12,3
Puneri Paltan,Rakesh Ram,Null,8,4
Puneri Paltan,Balasaheb Jadhav,Null,6,5
