Raider Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Sachin,295,134,45%,,
Sukesh Hegde,235,59,25%,0.000,1.0
Rohit Gulia,160,33,21%,,
Chandran Ranjit,122,44,36%,,
Mahendra Rajput,109,44,40%,,
Rakesh Narwal,56,15,27%,,
Sunil Kumar,31,1,3%,,
Pawan Sehrawat,24,5,21%,,
Fazel Atrachali,11,0,0%,,
Abozar Mighani,6,0,0%,,
Amit Rathi,3,0,0%,,
Manoj Kumar,2,0,0%,,
Mahipal Narwal,1,0,0%,,
Defensive Skill,Unsuccessful Raids,,,,
Push,,24,,,
