Raider Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Pawan Kumar,284,97,34%,,
Jasvir Singh,210,56,27%,0.000,1.0
Tushar Patil,156,54,35%,,
Nitin Rawal,148,49,33%,,
Ajit Singh,57,17,30%,,
Sidharth,32,3,9%,,
Manjeet Chhillar,29,4,14%,,
Rahul Choudhary,17,5,29%,,
Selvamani K,14,3,21%,,
Kamal Kishor,9,0,0%,,
Sunil Siddhgavali,2,0,0%,,
Navneet Gautam,2,0,0%,,
Abhishek N,2,0,0%,,
Defensive Skill,Unsuccessful Raids,,,,
Push,,26,,,
