Raider Success rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Raider Name,Total Raids,Successful Raids,,Color % Successful Raids,
Anup Kumar,281,85,30%,,
Kashiling Adake,223,84,38%,0.000,1.0
Shrikant Jadhav,170,72,42%,,
Shabeer Bappu,108,32,30%,,
Darshan Kadian,72,25,35%,,
Nitin Madane,51,12,24%,,
Kuldeep Singh,41,7,17%,,
Mohan Raman G,9,4,44%,,
Surinder Singh,3,0,0%,,
Yong Joo Ok,2,1,50%,,
Deepak Yadav,2,0,0%,,
Dong Ju Hong,1,0,0%,,
Attacking Skill,Successful Raids,,,,
Running Hand Touch,1,,,,
Hand Touch,1,,,,
Defensive Skill,,Unsuccessful Raids,,,
Push,,,25,,
Block,,4,,,
Dive,1,,,,
Ankle Hold,1,,,,
