Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Wazir Singh,271,90,33%
Deepak Kumar Dahiya,196,62,32%
Prashanth Kumar Rai,149,63,42%
Surjeet Singh,146,47,32%
Vikash Khandola,136,45,33%
Ashish Chhokar,32,6,19%
Mayur Shivtarkar,25,6,24%
Surender Nada,22,2,9%
Deepak Kumar,17,3,18%
Parmod Narwal,12,0,0%
Mohit Chhillar,9,1,11%
David Mosambayi,6,2,33%
Rakesh Singh Kumar,3,0,0%
Vikas,2,0,0%
Khomsan Thongkham,2,0,0%
Neeraj Kumar,1,0,0%
Kuldeep Singh,1,0,0%
,,,
Defensive Skill,Unsuccessful Raids,,
Push,23,,
