Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Ajay Thakur,400,186,47%
K. Prapanjan,306,105,34%
Vineet Kumar,104,16,15%
Dong Geon Lee,68,25,37%
D. Pradap,49,6,12%
M. Thivakaran,36,11,31%
C. Arun,16,0,0%
Bhavani Rajput,10,2,20%
Amit Hooda,7,0,0%
Sujit Maharana,5,0,0%
Anil Kumar,4,0,0%
Vijay Kumar,3,0,0%
Darshan J.,3,0,0%
Vijin Thangadurai,2,0,0%
Sanket Chavan,1,0,0%
Muruthu M,1,0,0%
,,,
Attacking Skill,Successful Raids,,
Running Hand Touch,3,,
Hand Touch,2,,
Toe Touch,1,,
,,,
Defensive Skill,Unsuccessful Raids,,
Push,26,,
Block,3,,
Thigh Hold,2,,
Dive,2,,
Ankle Hold,2,,
